match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,aerialWon,clearanceOffLine,outfielderBlock,totalTackle,wonTackle,penaltyConceded,bigChanceCreated,shotOffTarget,interceptionWon,challengeLost,hitWoodwork,blockedScoringAttempt,bigChanceMissed,goals,goodHighClaim,penaltyWon,penaltyMiss
14015477,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,1.0,,,,0.0,,1.0,,,,,,,,,,13.0,2.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1617763,Saladin Mecinovic,saladin-mecinovic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,33.0,25.0,19.0,11.0,0.0,21.0,22.0,4.0,11.0,1.0,9.0,7.0,,,9.0,,90.0,50.0,9.9,8.0,1.8345,"{'original': 9.9, 'alternative': 8.6}",0,0.12,-0.01,0.24,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.75757575757575,57.89473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
14015477,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,D,17,False,13.0,7.0,5.0,1.0,0.0,5.0,6.0,2.0,7.0,3.0,,,,,,,45.0,22.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.04,0.0,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,53.84615384615385,20.0,,100.0,,1.0,,1.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,60.0,48.0,15.0,10.0,0.0,22.0,24.0,26.0,36.0,3.0,7.0,,,,,,90.0,72.0,7.2,12.0,,"{'original': 7.2, 'alternative': 7.4}",1,0.33,0.07,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,80.0,66.66666666666666,,100.0,,,,1.0,5.0,,1.0,1.0,1.0,,1.0,,,0.02,1.0,1.0,,,2.0,1.0,,,,2.0,,,,1.0,,,,
14015477,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,17.0,11.0,3.0,,0.0,9.0,14.0,2.0,3.0,2.0,4.0,,,,,,45.0,23.0,6.7,6.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.01,-0.01,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,64.70588235294117,,,,,,,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,
14015477,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,45.0,40.0,8.0,5.0,0.0,25.0,26.0,15.0,19.0,15.0,3.0,,,,,,90.0,67.0,7.0,7.0,,"{'original': 7, 'alternative': 7.2}",0,0.1,0.18,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,2,0,88.88888888888889,62.5,,,,,,2.0,6.0,,,,,2.0,2.0,,,,2.0,4.0,,,,,,,,2.0,,,,,,,,
14015477,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,27.0,19.0,7.0,5.0,0.0,9.0,9.0,10.0,18.0,3.0,1.0,,,,,,90.0,50.0,6.7,13.0,,"{'original': 6.7, 'alternative': 6.9}",2,0.04,0.3,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,70.37037037037037,71.42857142857143,,100.0,,2.0,,1.0,3.0,,2.0,2.0,,,,,,-0.2,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,
14015477,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,11.0,10.0,1.0,1.0,0.0,6.0,6.0,4.0,5.0,1.0,1.0,,,,,,45.0,15.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.04,0.16,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,90.9090909090909,100.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.12,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,
