match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,errorLeadToAShot,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,interceptionWon,unsuccessfulTouch,fouls,aerialWon,dispossessed,bigChanceCreated,wonTackle,accurateCross,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,shotOffTarget,bigChanceMissed,wasFouled,penaltyWon,goals,penaltyConceded,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper
14015576,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,20.0,16.0,1.0,1.0,0.0,4.0,5.0,1.0,2.0,,,,82.0,31.0,8.9,8.0,89.561523170391,12.0,9.106682914605,1.0,,"{'original': 8.9, 'alternative': 8.1}",2,0.7,0.1,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,3,0,80.0,100.0,,100.0,,12.0,15.0,1.0,1.0,7.0,,1.0,,2.0,,8.3096635807289,12.487059541782,3.0,1.0,,3.0,,4.0,,2.0,1.0,,1.0,1.0,,1.0,0.5,1.0,,,,1.0,,,,
14015576,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,6.0,3.0,,,0.0,,,,1.0,,,,26.0,13.0,7.5,7.0,46.421787060204,5.0,16.451169205678,2.0,,"{'original': 7.5, 'alternative': 7.3}",1,-0.28,0.23,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,50.0,,,100.0,,3.0,6.0,,1.0,2.0,,1.0,,,,17.812623425982,30.713404244176,1.0,,,2.0,,,1.0,1.0,,,1.0,1.0,,,0.53,,,1.0,,1.0,,,,
14015576,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,28.0,25.0,2.0,,0.0,16.0,17.0,2.0,2.0,,,,26.0,32.0,7.0,3.0,80.239165088068,14.0,22.707837269419,0.0,,"{'original': 7, 'alternative': 6.7}",0,0.13,0.05,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,89.28571428571429,,,,,9.0,11.0,,1.0,2.0,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,5.0,4.0,,,0.0,,,,1.0,,,,15.0,8.0,6.6,1.0,43.269008421072,4.0,26.953625656875,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.21,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,80.0,,,,,4.0,5.0,,,1.0,,,,,,13.778458765884,31.191516905115,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
14015576,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,7.0,5.0,,,1.0,,1.0,,2.0,,,,14.0,10.0,6.8,3.0,54.050964673801,6.0,7.0960558227327,1.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.21,0.28,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,,50.0,,,5.0,6.0,2.0,,,,,,,,13.884666635115,13.884695207314,1.0,,,,,,,,,1.0,,,,,-0.51,1.0,1.0,,,,,,,
14015576,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,0.0,,,,,,,,8.0,,6.4,,,,,,,"{'original': 6.4, 'alternative': 6.4}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
