match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,dribbleValueNormalized,aerialWon,dispossessed,bigChanceCreated,keyPass,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,shotOffTarget
14015490,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,23.0,14.0,16.0,7.0,0.0,8.0,8.0,6.0,15.0,10.0,2.0,2.0,4.0,90.0,31.0,6.8,9.0,0.2046,"{'original': 6.8, 'alternative': 6.7}",0,0.15,0.13,0.24,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.86956521739131,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,29.0,19.0,3.0,1.0,0.0,5.0,10.0,14.0,19.0,5.0,,,,90.0,58.0,7.1,18.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.39,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,65.51724137931035,33.33333333333333,33.33333333333333,50.0,,3.0,1.0,2.0,7.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,0.08,,,,,,,,,,,,,,
14015490,home,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,39.0,35.0,7.0,6.0,0.0,22.0,23.0,13.0,16.0,5.0,,,,83.0,53.0,7.0,7.0,,"{'original': 7, 'alternative': 6.8}",0,0.18,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,89.74358974358975,85.71428571428571,,100.0,,1.0,,,3.0,5.0,,1.0,1.0,3.0,,2.0,3.0,2.0,1.0,,2.0,0.28,1.0,1.0,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,32.0,27.0,5.0,1.0,0.0,16.0,17.0,11.0,15.0,3.0,,,,90.0,39.0,6.2,7.0,,"{'original': 6.2, 'alternative': 6.3}",0,0.17,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,84.375,20.0,,,,1.0,,2.0,7.0,3.0,2.0,,,3.0,,,2.0,1.0,1.0,,3.0,0.03,1.0,,,,,,,,,,,,,
14015490,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,27.0,21.0,3.0,1.0,1.0,10.0,10.0,11.0,17.0,2.0,,,,90.0,58.0,7.1,16.0,,"{'original': 7.1, 'alternative': 7.5}",0,0.5,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,77.77777777777779,33.33333333333333,40.0,,,5.0,2.0,,3.0,5.0,,1.0,,4.0,,1.0,3.0,3.0,3.0,1.0,2.0,-0.12,1.0,,1.0,2.0,,,,,,,,,,
14015490,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,28.0,20.0,4.0,1.0,0.0,10.0,12.0,10.0,16.0,4.0,,,,58.0,37.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.4}",1,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,71.42857142857143,25.0,,,,,,,1.0,3.0,,1.0,,1.0,,1.0,2.0,,,,,0.08,1.0,,,,1.0,-0.15,,,,,,,,
14015490,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,40.0,33.0,2.0,2.0,0.0,15.0,19.0,18.0,21.0,3.0,,,,83.0,55.0,7.2,12.0,,"{'original': 7.2, 'alternative': 7.2}",2,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,82.5,100.0,,100.0,,1.0,,2.0,7.0,3.0,,2.0,2.0,2.0,,1.0,,,4.0,1.0,5.0,0.18,,,,,1.0,0.49,1.0,1.0,,,,,,
14015490,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,23.0,16.0,2.0,1.0,0.0,8.0,9.0,8.0,14.0,2.0,,,,88.0,40.0,6.0,15.0,,"{'original': 6, 'alternative': 6.7}",2,0.29,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,69.56521739130434,50.0,16.666666666666664,100.0,,6.0,1.0,2.0,3.0,3.0,,1.0,1.0,,,,1.0,1.0,3.0,,1.0,0.27,1.0,,,1.0,2.0,-0.52,,,,,,,,
14015490,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,29.0,23.0,4.0,4.0,0.0,7.0,8.0,16.0,21.0,4.0,,,,90.0,47.0,8.9,11.0,,"{'original': 8.9, 'alternative': 9.3}",2,0.26,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,79.3103448275862,100.0,,,,2.0,,2.0,6.0,8.0,2.0,,,1.0,,1.0,2.0,2.0,2.0,3.0,1.0,0.11,3.0,1.0,,4.0,,0.83,2.0,2.0,,,,,,
14015490,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,15.0,12.0,3.0,3.0,1.0,,1.0,12.0,14.0,2.0,,,,90.0,32.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.8}",2,0.46,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,80.0,100.0,33.33333333333333,,,3.0,1.0,1.0,9.0,2.0,4.0,1.0,,1.0,,,1.0,,3.0,,1.0,0.22,1.0,2.0,1.0,1.0,1.0,-0.41,1.0,,,,,,,
