match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,aerialLost,bigChanceMissed,shotOffTarget,clearanceOffLine,outfielderBlock,lastManTackle,wonTackle,totalCross,accurateCross,dispossessed,errorLeadToAShot,keyPass,bigChanceCreated,blockedScoringAttempt,totalOffside,goals,goodHighClaim
14015558,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,30.0,24.0,13.0,7.0,0.0,18.0,19.0,6.0,11.0,2.0,8.0,1.0,5.0,1.0,1.0,90.0,44.0,6.9,7.0,16.653501741462,3.0,-1.26,4.515,0.5868,"{'original': 6.9, 'alternative': 7.2}",0,0.07,-0.04,-0.05,0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,53.84615384615385,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015558,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,43.0,35.0,3.0,3.0,0.0,21.0,24.0,14.0,19.0,3.0,6.0,,,,,90.0,74.0,6.6,17.0,292.28142757393,29.0,169.575,36.12,,"{'original': 6.6, 'alternative': 6.8}",1,-0.01,0.28,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,81.3953488372093,100.0,,25.0,,1.0,5.0,6.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,96.515523149055,4.0,0.0,,,,,,,,,,,,,,,,,
14015558,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,50.0,42.0,9.0,3.0,0.0,30.0,33.0,12.0,17.0,6.0,,,,,,90.0,69.0,7.9,8.0,180.63480300914,25.0,104.16,18.795,,"{'original': 7.9, 'alternative': 8}",1,-0.07,0.3,0.92,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,84.0,33.33333333333333,,,,1.0,3.0,6.0,,,,,2.0,4.0,,1.0,1.0,25.155180184251,2.0,-0.03,2.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,
14015558,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,63.0,54.0,11.0,3.0,0.0,48.0,48.0,6.0,15.0,8.0,8.0,,,,,90.0,78.0,6.9,9.0,278.95672580908,30.0,95.34,24.465,,"{'original': 6.9, 'alternative': 7}",0,0.12,0.1,0.73,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,85.71428571428571,27.27272727272727,,,,,1.0,2.0,,,,,,2.0,,,,,,,1.0,,,,3.0,1.0,1.0,,,,,,,,,,
14015558,home,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,45.0,36.0,8.0,3.0,0.0,22.0,25.0,14.0,20.0,1.0,6.0,,,,,90.0,67.0,6.2,18.0,221.47475105762,25.0,78.645,16.485,,"{'original': 6.2, 'alternative': 6.2}",0,0.2,0.01,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,80.0,37.5,50.0,,,2.0,5.0,4.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,
14015558,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,41.0,33.0,4.0,2.0,0.0,22.0,26.0,11.0,15.0,2.0,5.0,,,,,82.0,53.0,7.8,9.0,124.52391411256,16.0,57.435,31.92,,"{'original': 7.8, 'alternative': 7.4}",1,0.32,0.39,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,80.48780487804879,50.0,,100.0,,3.0,2.0,5.0,2.0,2.0,2.0,,4.0,,,,,31.958293070813,1.0,0.01,,,1.0,,,,,,,,,1.0,1.0,,,,
14015558,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,50.0,41.0,9.0,3.0,0.0,24.0,29.0,17.0,21.0,1.0,4.0,,,,,90.0,66.0,7.2,14.0,234.47401382157,23.0,-40.32,15.33,,"{'original': 7.2, 'alternative': 7}",0,0.26,0.03,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,82.0,33.33333333333333,20.0,,,,1.0,3.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,16.882597075095,1.0,,,,,,,,1.0,5.0,1.0,,,1.0,,,,,
14015558,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,13.0,11.0,2.0,2.0,0.0,7.0,9.0,4.0,4.0,1.0,5.0,,,,,63.0,24.0,7.0,6.0,92.156501625529,12.0,41.79,15.54,,"{'original': 7, 'alternative': 6.7}",1,0.28,0.13,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,84.61538461538461,100.0,33.33333333333333,,,,2.0,2.0,,,,,1.0,,2.0,2.0,1.0,,,0.02,1.0,,,,,,,3.0,1.0,,,1.0,,1.0,1.0,,
14015558,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,15.0,12.0,3.0,1.0,1.0,6.0,6.0,6.0,9.0,,1.0,,,,,63.0,31.0,7.0,3.0,59.963563918178,5.0,40.845,16.17,,"{'original': 7, 'alternative': 7.7}",2,0.37,0.11,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,80.0,33.33333333333333,100.0,100.0,,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,,,-0.16,2.0,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,
14015558,home,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,20.0,12.0,,,0.0,4.0,5.0,8.0,15.0,1.0,1.0,,,,,73.0,39.0,6.2,17.0,89.054583212655,10.0,0.42000000000003,13.65,,"{'original': 6.2, 'alternative': 6.7}",1,-0.08,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,60.0,,,,,3.0,7.0,5.0,,1.0,,,1.0,1.0,5.0,1.0,,13.959666041851,1.0,-0.16,4.0,,1.0,,,,1.0,,,2.0,,1.0,,,,,
