match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed
14147310,home,6223,FK Arsenal Tivat,881019,Vanja Vučićević,vanja-vucicevic,F,22,False,14.0,10.0,1.0,1.0,0.0,3.0,3.0,7.0,11.0,1.0,0.0,6.0,0.0,17.0,7.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,,,,,,,90.0,33.0,6.9,11.0,0.13,0.13,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,6,18,7,11,71.42857142857143,100.0,0.0,100.0,,1.0,,,1.0,2.0,,
14147310,home,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,M,11,True,6.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,30.0,8.0,7.0,2.0,0.11,0.13,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,0,6,66.66666666666666,100.0,,,,1.0,,,1.0,,,
14147310,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,9.0,6.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,30.0,18.0,7.3,7.0,0.42,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,66.66666666666666,,,100.0,,,,,,1.0,,
14147310,home,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,D,4,True,8.0,4.0,3.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.0,10.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,50.0,0.0,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,1799087,Mihailo Živaljević,mihailo-zivaljevic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,2210663,Aleksa Kralj,aleksa-kralj,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,2210662,Vasilije Kašćelan,vasilije-kascelan,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
