player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Vasilije Novičić', 'firstName': 'Vasilije Novicic', 'slug': 'vasilije-novicic', 'shortName': 'V. Novićić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 343, 'gender': 'M', 'id': 1957265, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي نوفتيتش'}, 'shortNameTranslation': {'ar': 'ف. نوفتيتش'}}}",False,goal,regular,set-piece,"{'x': 4.2, 'y': 50.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 0.6}",5364846,90,4.0,5593,"{'start': {'x': 50.7, 'y': 4.2}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 99.4}}",1,707,193,shot,
"{'name': 'Vasilije Novičić', 'firstName': 'Vasilije Novicic', 'slug': 'vasilije-novicic', 'shortName': 'V. Novićić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 343, 'gender': 'M', 'id': 1957265, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي نوفتيتش'}, 'shortNameTranslation': {'ar': 'ف. نوفتيتش'}}}",False,save,,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 4.4}",5364845,90,4.0,5591,"{'start': {'x': 50, 'y': 11.5}, 'block': {'x': 50.9, 'y': 1.5}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 95.6}}",1,709,191,shot,"{'x': 1.5, 'y': 50.9, 'z': 0}"
"{'name': 'Samson Iyede', 'firstName': '', 'lastName': '', 'slug': 'samson-iyede', 'shortName': 'S. Iyede', 'position': 'F', 'jerseyNumber': '9', 'userCount': 75, 'gender': 'M', 'id': 887054, 'fieldTranslations': {'nameTranslation': {'ar': 'سامسون إيدي'}, 'shortNameTranslation': {'ar': 'س. إيدي'}}}",True,goal,regular,assisted,"{'x': 5.1, 'y': 46.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 1.3}",5364834,88,,5258,"{'start': {'x': 46.7, 'y': 5.1}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 98.7}}",3,142,2558,shot,
"{'name': 'Semir Alić', 'firstName': '', 'lastName': '', 'slug': 'semir-alic', 'shortName': 'S. Alić', 'position': 'M', 'jerseyNumber': '14', 'userCount': 55, 'gender': 'M', 'id': 1102770, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمير عليتش'}, 'shortNameTranslation': {'ar': 'س. عليتش'}}}",True,block,,assisted,"{'x': 7.4, 'y': 62, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 19}",5364695,84,,5030,"{'start': {'x': 62, 'y': 7.4}, 'block': {'x': 59.2, 'y': 5}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 81}}",7,370,2330,shot,"{'x': 5, 'y': 59.2, 'z': 0}"
"{'name': 'Bob Murphy Omoregbe', 'firstName': 'Bob Murphy', 'lastName': 'Omoregbe', 'slug': 'omoregbe-bob-murphy', 'shortName': 'B. M. Omoregbe', 'position': 'M', 'jerseyNumber': '7', 'userCount': 193, 'gender': 'M', 'id': 1175945, 'fieldTranslations': {'nameTranslation': {'ar': 'بوب ميرفي أومورغبي'}, 'shortNameTranslation': {'ar': 'ب. أومورغبي'}}}",True,save,,regular,"{'x': 6.4, 'y': 64, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51, 'z': 6.3}",5364689,83,,4944,"{'start': {'x': 64, 'y': 6.4}, 'block': {'x': 61.2, 'y': 4.6}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 93.7}}",8,456,2244,shot,"{'x': 4.6, 'y': 61.2, 'z': 0}"
"{'name': 'Bob Murphy Omoregbe', 'firstName': 'Bob Murphy', 'lastName': 'Omoregbe', 'slug': 'omoregbe-bob-murphy', 'shortName': 'B. M. Omoregbe', 'position': 'M', 'jerseyNumber': '7', 'userCount': 193, 'gender': 'M', 'id': 1175945, 'fieldTranslations': {'nameTranslation': {'ar': 'بوب ميرفي أومورغبي'}, 'shortNameTranslation': {'ar': 'ب. أومورغبي'}}}",True,miss,,assisted,"{'x': 15, 'y': 83.3, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 41.7}",5383260,80,,4798,"{'start': {'x': 83.3, 'y': 15}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 58.3}}",11,602,2098,shot,
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",True,block,,assisted,"{'x': 9.4, 'y': 60.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 19}",5364559,74,,4406,"{'start': {'x': 60.6, 'y': 9.4}, 'block': {'x': 58.1, 'y': 7.3}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 81}}",17,994,1706,shot,"{'x': 7.3, 'y': 58.1, 'z': 0}"
"{'name': 'Abdulsamed Abdullahi', 'slug': 'abdulsamed-abdullahi', 'shortName': 'A. Abdullahi', 'position': 'M', 'jerseyNumber': '8', 'userCount': 106, 'gender': 'M', 'id': 907763, 'fieldTranslations': {'nameTranslation': {'ar': 'عبدالسلام عبد اللهي'}, 'shortNameTranslation': {'ar': 'ع. اللهي'}}}",True,block,,assisted,"{'x': 14.3, 'y': 60.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 19}",5364858,73,,4371,"{'start': {'x': 60.8, 'y': 14.3}, 'block': {'x': 58.5, 'y': 11.6}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 81}}",18,1029,1671,shot,"{'x': 11.6, 'y': 58.5, 'z': 0}"
"{'name': 'Vasilije Novičić', 'firstName': 'Vasilije Novicic', 'slug': 'vasilije-novicic', 'shortName': 'V. Novićić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 343, 'gender': 'M', 'id': 1957265, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي نوفتيتش'}, 'shortNameTranslation': {'ar': 'ف. نوفتيتش'}}}",False,save,,fast-break,"{'x': 16.4, 'y': 27, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 11.4}",5364556,70,,4157,"{'start': {'x': 27, 'y': 16.4}, 'block': {'x': 45.7, 'y': 2.8}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 88.6}}",21,1243,1457,shot,"{'x': 2.8, 'y': 45.7, 'z': 0}"
"{'name': 'Adem Ljajić', 'slug': 'adem-ljajic', 'shortName': 'A. Ljajić', 'position': 'M', 'jerseyNumber': '88', 'userCount': 990, 'gender': 'M', 'id': 39587, 'fieldTranslations': {'nameTranslation': {'ar': 'آدم لياييتش', 'bn': 'অ্যাডেম লাজাজিক', 'hi': 'एडेम लजाजिक'}, 'shortNameTranslation': {'ar': 'آ. لياييتش', 'bn': 'এ. লাজাজিক', 'hi': 'ए. लजाजिक'}}}",True,block,,assisted,"{'x': 17.9, 'y': 45.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 19}",5364485,62,,3691,"{'start': {'x': 45.4, 'y': 17.9}, 'block': {'x': 46.8, 'y': 12.5}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 81}}",29,1709,991,shot,"{'x': 12.5, 'y': 46.8, 'z': 0}"
