match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,penaltyConceded,wasFouled,shotValueNormalized,aerialLost,bigChanceMissed,blockedScoringAttempt,dispossessed,totalContest,outfielderBlock,hitWoodwork,wonContest,onTargetScoringAttempt,goals,totalOffside,errorLeadToAShot,penaltyMiss,penaltyWon
14015408,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,19.0,17.0,1.0,,0.0,4.0,5.0,13.0,14.0,,1.0,,,,,,,,,45.0,35.0,6.6,10.0,,"{'original': 6.6, 'alternative': 6.9}",3,0.25,0.32,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,89.47368421052632,,28.57142857142857,100.0,,7.0,2.0,,,1.0,,1.0,1.0,,,3.0,,1.0,,,,-0.41,,,2.0,,1.0,,,1.0,1.0,,,,,
14015408,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,True,21.0,16.0,4.0,2.0,0.0,7.0,8.0,9.0,13.0,,4.0,,,,,,,,,22.0,24.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.02,0.08,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,76.19047619047619,50.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
14015408,home,5149,FK Novi Pazar,1152937,Dragan Bojat,dragan-bojat,D,2,True,18.0,16.0,,,0.0,5.0,5.0,11.0,13.0,,1.0,,,,,,,,,22.0,27.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.06,0.14,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,,25.0,,,4.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,11.0,9.0,7.3,2.0,,"{'original': 7.3, 'alternative': 6.7}",2,0.53,0.41,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,100.0,,100.0,,,1.0,1.0,,2.0,2.0,,2.0,,2.0,1.0,,,2.0,1.0,,,-0.51,,1.0,,,2.0,,,,1.0,,,,,
14015408,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,6.0,4.0,1.0,,0.0,2.0,2.0,2.0,4.0,,,,,,,,,,,11.0,9.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",1,0.04,0.18,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,66.66666666666666,,100.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,-0.26,,1.0,1.0,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
