match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,blockedScoringAttempt,interceptionWon,bigChanceMissed,accurateCross,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,dispossessed,shotOffTarget,bigChanceCreated,totalOffside,savedShotsFromInsideTheBox,punches
14015575,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,23.0,14.0,14.0,5.0,0.0,10.0,10.0,4.0,13.0,1.0,6.0,1.0,90.0,29.0,6.6,9.0,44.797868285263,9.0,22.480889442165,0.0,0.0121,"{'original': 6.6, 'alternative': 6.8}",0,0.01,-0.08,-0.01,0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.86956521739131,35.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015575,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,26.0,22.0,4.0,3.0,0.0,13.0,16.0,9.0,10.0,8.0,5.0,,90.0,62.0,7.6,12.0,112.55064645229,15.0,-31.993697764263,0.0,,"{'original': 7.6, 'alternative': 7.8}",1,-0.02,-0.52,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,8,5,84.61538461538461,75.0,,40.0,,1.0,1.0,2.0,6.0,10.0,1.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,-0.07,,,,,,,,,,,,,
14015575,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,66.0,58.0,11.0,7.0,0.0,45.0,46.0,13.0,20.0,7.0,,,90.0,80.0,7.7,10.0,257.34460868915,33.0,94.050619059978,0.0,,"{'original': 7.7, 'alternative': 7.8}",1,0.27,0.23,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,87.87878787878788,63.63636363636363,,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,,-0.06,1.0,1.0,,,,,,,,,,,
14015575,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,False,64.0,62.0,2.0,,0.0,54.0,55.0,8.0,9.0,4.0,1.0,,90.0,76.0,7.9,2.0,156.56209986343,21.0,53.296585577233,0.0,,"{'original': 7.9, 'alternative': 7.7}",1,0.08,0.04,0.58,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,96.875,,,,,,,1.0,,2.0,,,,1.0,3.0,,,,1.0,,-0.22,,1.0,1.0,,,,,,,,,,
14015575,home,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,50.0,42.0,14.0,9.0,0.0,31.0,33.0,11.0,17.0,3.0,7.0,,90.0,73.0,8.0,10.0,206.9325402578,19.0,100.31623561749,3.0,,"{'original': 8, 'alternative': 7.5}",0,0.28,0.15,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,84.0,64.28571428571429,100.0,,,1.0,,1.0,1.0,5.0,,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,2.0,,1.0,30.437458473219,81.297908626807,1.0,,,,,,
14015575,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,43.0,38.0,6.0,3.0,0.0,22.0,22.0,16.0,21.0,1.0,6.0,,90.0,57.0,7.1,10.0,52.942217623511,8.0,12.285357748917,0.0,,"{'original': 7.1, 'alternative': 7}",1,0.34,0.04,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,88.37209302325581,50.0,,100.0,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,,4.0,,,-0.31,,,,,,,1.0,1.0,1.0,,,,
14015575,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,43.0,34.0,9.0,3.0,0.0,20.0,20.0,14.0,23.0,6.0,5.0,,90.0,66.0,7.6,17.0,121.52242154729,15.0,52.511580122001,0.0,,"{'original': 7.6, 'alternative': 7.4}",0,0.47,-0.18,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,79.06976744186046,33.33333333333333,40.0,50.0,,10.0,,2.0,2.0,5.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,4.0,,,4.0,,,1.0,,,
14015575,home,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,12.0,8.0,,,0.0,6.0,6.0,2.0,6.0,,2.0,,73.0,24.0,6.7,10.0,86.898051847091,8.0,48.413748698693,2.0,,"{'original': 6.7, 'alternative': 7.1}",1,-0.33,0.27,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,66.66666666666666,,,,,3.0,,2.0,3.0,6.0,,1.0,,1.0,,2.0,2.0,1.0,2.0,2.0,-0.19,,,,,25.094943046744,49.732058303324,,,,,,,
14015575,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,25.0,20.0,3.0,1.0,0.0,10.0,11.0,10.0,14.0,,3.0,,88.0,37.0,6.4,14.0,127.33798286691,16.0,1.028985688125,1.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.11,0.21,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,80.0,33.33333333333333,,50.0,,1.0,1.0,2.0,7.0,4.0,,2.0,1.0,,,1.0,1.0,5.0,,4.0,,,1.0,,,15.002842146845,16.598527675671,1.0,1.0,,,,,
14015575,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,18.0,10.0,1.0,1.0,0.0,3.0,6.0,7.0,12.0,,4.0,,61.0,29.0,7.7,12.0,144.07212469318,11.0,89.330843337323,2.0,,"{'original': 7.7, 'alternative': 7.2}",1,0.5,0.19,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,55.55555555555556,100.0,,100.0,,,,3.0,3.0,7.0,,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,-0.08,,1.0,,,39.723432462474,80.102898052249,1.0,1.0,,,1.0,,
14015575,home,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,3.0,2.0,,,0.0,,,2.0,3.0,,,,73.0,10.0,6.4,3.0,52.985092172128,5.0,33.91458189918,1.0,,"{'original': 6.4, 'alternative': 7}",3,-0.08,-0.54,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,66.66666666666666,,,,,,4.0,2.0,6.0,3.0,,1.0,,2.0,,,,,1.0,,-0.48,,,,,31.225184928283,33.45573529307,,1.0,1.0,,,,
14015575,home,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,F,28,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,29.0,8.0,6.4,4.0,52.154848128653,4.0,30.195109749156,1.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.04,0.14,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,66.66666666666666,,,,,,1.0,1.0,3.0,1.0,,1.0,,1.0,,,,1.0,,,0.16,,,,,23.811661905432,23.811683182841,,1.0,,,,,
