player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,save,assisted,"{'x': 12, 'y': 68.9, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 19}","{'x': 1.8, 'y': 54, 'z': 0}",5311036,60,3580,"{'start': {'x': 68.9, 'y': 12}, 'block': {'x': 54, 'y': 1.8}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 81}}",31,1820,880,shot
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,miss,set-piece,"{'x': 18.9, 'y': 65.1, 'z': 0}",left-foot,high,"{'x': 0, 'y': 50.4, 'z': 77.8}",,5310993,57,3395,"{'start': {'x': 65.1, 'y': 18.9}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 22.2}}",34,2005,695,shot
"{'name': 'David Stojanović', 'slug': 'david-stojanovic', 'shortName': 'D. Stojanović', 'position': 'D', 'jerseyNumber': '6', 'userCount': 16, 'gender': 'M', 'id': 1215907, 'fieldTranslations': {'nameTranslation': {'ar': 'ديفيد ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستويانوفيتش'}}}",True,save,corner,"{'x': 6.4, 'y': 51.5, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.8, 'z': 12}","{'x': 1.1, 'y': 51.1, 'z': 0}",5310985,55,3296,"{'start': {'x': 51.5, 'y': 6.4}, 'block': {'x': 51.1, 'y': 1.1}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 88}}",36,2104,596,shot
"{'name': 'Đorđe Jovanović', 'slug': 'dorde-jovanovic', 'shortName': 'Đ. Jovanović', 'position': 'M', 'jerseyNumber': '88', 'userCount': 37, 'gender': 'M', 'id': 1130262, 'fieldTranslations': {'nameTranslation': {'ar': 'جورجي يوفانوفيتش'}, 'shortNameTranslation': {'ar': 'ج. يوفانوفيتش'}}}",True,miss,assisted,"{'x': 6.1, 'y': 29.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 58, 'z': 62.5}",,5310974,51,3033,"{'start': {'x': 29.3, 'y': 6.1}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 37.5}}",40,2367,333,shot
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",False,save,assisted,"{'x': 12.3, 'y': 59.7, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 1.3}","{'x': 2.3, 'y': 51.1, 'z': 0}",5310806,38,2227,"{'start': {'x': 59.7, 'y': 12.3}, 'block': {'x': 51.1, 'y': 2.3}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 98.7}}",8,473,2227,shot
"{'name': 'Đorđe Jovanović', 'slug': 'dorde-jovanovic', 'shortName': 'Đ. Jovanović', 'position': 'M', 'jerseyNumber': '88', 'userCount': 37, 'gender': 'M', 'id': 1130262, 'fieldTranslations': {'nameTranslation': {'ar': 'جورجي يوفانوفيتش'}, 'shortNameTranslation': {'ar': 'ج. يوفانوفيتش'}}}",True,miss,assisted,"{'x': 6.9, 'y': 48.3, 'z': 0}",right-foot,high,"{'x': 0, 'y': 48.7, 'z': 72.2}",,5310691,29,1732,"{'start': {'x': 48.3, 'y': 6.9}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 27.8}}",17,968,1732,shot
"{'name': 'Sadick Abubakar', 'firstName': 'Sadick Abubakar', 'lastName': '', 'slug': 'sadick-abubakar', 'shortName': 'S. Abubakar', 'position': 'D', 'jerseyNumber': '37', 'userCount': 47, 'gender': 'M', 'id': 1147568, 'fieldTranslations': {'nameTranslation': {'ar': 'سادك أبو بكر'}, 'shortNameTranslation': {'ar': 'س. بكر'}}}",True,miss,corner,"{'x': 8.6, 'y': 55.4, 'z': 0}",right-foot,left,"{'x': 0, 'y': 65.4, 'z': 18.1}","{'x': 4.5, 'y': 40.1, 'z': 0}",5310851,28,1649,"{'start': {'x': 55.4, 'y': 8.6}, 'block': {'x': 40.1, 'y': 4.5}, 'end': {'x': 34.6, 'y': 0}, 'goal': {'x': 34.6, 'y': 81.9}}",18,1051,1649,shot
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,save,assisted,"{'x': 8, 'y': 71.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 0.6}","{'x': 0.90000000000001, 'y': 53.4, 'z': 0}",5310609,27,1614,"{'start': {'x': 71.4, 'y': 8}, 'block': {'x': 53.4, 'y': 0.90000000000001}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 99.4}}",19,1086,1614,shot
"{'name': 'Mlađan Stevanović', 'slug': 'mladjan-stevanovic', 'shortName': 'M. Stevanović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 7, 'gender': 'M', 'id': 938002, 'fieldTranslations': {'nameTranslation': {'ar': 'ملادجان ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. ستيفانوفيتش'}}}",True,save,assisted,"{'x': 23.2, 'y': 71.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 3.2}","{'x': 1.4, 'y': 52.3, 'z': 0}",5310690,27,1564,"{'start': {'x': 71.4, 'y': 23.2}, 'block': {'x': 52.3, 'y': 1.4}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 96.8}}",19,1136,1564,shot
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,block,assisted,"{'x': 23.5, 'y': 38.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 19}","{'x': 20.5, 'y': 39.5, 'z': 0}",5310847,16,942,"{'start': {'x': 38.3, 'y': 23.5}, 'block': {'x': 39.5, 'y': 20.5}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 81}}",30,1758,942,shot
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,save,corner,"{'x': 13.9, 'y': 54.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 16.5}","{'x': 1.5, 'y': 50.7, 'z': 0}",5310841,16,905,"{'start': {'x': 54.6, 'y': 13.9}, 'block': {'x': 50.7, 'y': 1.5}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 83.5}}",30,1795,905,shot
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",True,save,assisted,"{'x': 20, 'y': 34.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 2.5}","{'x': 0.90000000000001, 'y': 46.8, 'z': 0}",5310591,15,866,"{'start': {'x': 34.4, 'y': 20}, 'block': {'x': 46.8, 'y': 0.90000000000001}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 97.5}}",31,1834,866,shot
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,save,assisted,"{'x': 3.9, 'y': 66, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 3.2}","{'x': 1, 'y': 55.4, 'z': 0}",5310805,13,749,"{'start': {'x': 66, 'y': 3.9}, 'block': {'x': 55.4, 'y': 1}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 96.8}}",33,1951,749,shot
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,miss,assisted,"{'x': 14.4, 'y': 68.7, 'z': 0}",left-foot,left,"{'x': 0, 'y': 62.9, 'z': 18.1}",,5310577,10,572,"{'start': {'x': 68.7, 'y': 14.4}, 'end': {'x': 37.1, 'y': 0}, 'goal': {'x': 37.1, 'y': 81.9}}",36,2128,572,shot
"{'name': 'Aleksandar Pejović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-pejovic', 'shortName': 'A. Pejović', 'position': 'M', 'jerseyNumber': '28', 'userCount': 45, 'gender': 'M', 'id': 804662, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر بيجوفيتش', 'bn': 'আলেকসান্ডার পেজোভিচ', 'hi': 'एलेक्ज़ेंडर पेजोविक'}, 'shortNameTranslation': {'ar': 'أ. بيجوفيتش', 'bn': 'এ. পেজোভিচ', 'hi': 'ए. पेजोविक'}}}",True,miss,assisted,"{'x': 17.6, 'y': 46, 'z': 0}",left-foot,high,"{'x': 0, 'y': 45, 'z': 94.4}",,5310576,9,529,"{'start': {'x': 46, 'y': 17.6}, 'end': {'x': 55, 'y': 0}, 'goal': {'x': 55, 'y': 5.6}}",37,2171,529,shot
"{'name': 'Sadick Abubakar', 'firstName': 'Sadick Abubakar', 'lastName': '', 'slug': 'sadick-abubakar', 'shortName': 'S. Abubakar', 'position': 'D', 'jerseyNumber': '37', 'userCount': 47, 'gender': 'M', 'id': 1147568, 'fieldTranslations': {'nameTranslation': {'ar': 'سادك أبو بكر'}, 'shortNameTranslation': {'ar': 'س. بكر'}}}",True,miss,corner,"{'x': 21.3, 'y': 34.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 73.4, 'z': 27.8}",,5310568,8,423,"{'start': {'x': 34.6, 'y': 21.3}, 'end': {'x': 26.6, 'y': 0}, 'goal': {'x': 26.6, 'y': 72.2}}",38,2277,423,shot
"{'name': 'Sadick Abubakar', 'firstName': 'Sadick Abubakar', 'lastName': '', 'slug': 'sadick-abubakar', 'shortName': 'S. Abubakar', 'position': 'D', 'jerseyNumber': '37', 'userCount': 47, 'gender': 'M', 'id': 1147568, 'fieldTranslations': {'nameTranslation': {'ar': 'سادك أبو بكر'}, 'shortNameTranslation': {'ar': 'س. بكر'}}}",True,save,corner,"{'x': 7.9, 'y': 43.6, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.4, 'z': 7}","{'x': 1, 'y': 46.8, 'z': 0}",5310731,7,415,"{'start': {'x': 43.6, 'y': 7.9}, 'block': {'x': 46.8, 'y': 1}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 93}}",39,2285,415,shot
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,block,regular,"{'x': 22.9, 'y': 50.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 19}","{'x': 17.3, 'y': 50.9, 'z': 0}",5310567,7,374,"{'start': {'x': 50.7, 'y': 22.9}, 'block': {'x': 50.9, 'y': 17.3}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 81}}",39,2326,374,shot
