match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,interceptionWon,dispossessed,totalContest,wonContest,shotOffTarget,challengeLost,totalOffside,accurateCross,bigChanceCreated,bigChanceMissed,outfielderBlock
14015399,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,33.0,22.0,4.0,4.0,0.0,,1.0,22.0,32.0,1.0,4.0,,,,,90.0,59.0,7.1,22.0,,"{'original': 7.1, 'alternative': 7.7}",4,0.3,0.32,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,8,7,66.66666666666666,100.0,,100.0,,1.0,3.0,,10.0,8.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0,-0.49,,,5.0,3.0,3.0,2.0,1.0,,,,,
14015399,home,111127,FK Radnik Surdulica,2198964,Stefan Vidaković,stefan-vidakovic,F,91,True,2.0,2.0,,,0.0,2.0,2.0,,,1.0,,,,,,13.0,6.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.01,-0.13,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,,,
14015399,home,301263,FK Radnik Surdulica,155537,Dino Dolmagić,dino-dolmagic,D,13,True,4.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,,,,,,,12.0,9.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.01,-0.28,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,75.0,100.0,,,,1.0,2.0,1.0,4.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
14015399,home,301263,FK Radnik Surdulica,72116,Evgen Pavlov,evgen-pavlov,F,17,True,3.0,,,,0.0,,,,3.0,,,,,,,1.0,3.0,,3.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,35326,FK Radnik Surdulica,1166049,Andrija Lazarević,andrija-lazarevic,F,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,203041,FK Radnik Surdulica,904377,Vladimir Petrović,vladimir-petrovic,M,10,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,3115,FK TSC Bačka Topola,1132010,Veljko Ilić,veljko-ilic,G,12,False,39.0,18.0,26.0,5.0,0.0,14.0,18.0,4.0,21.0,,9.0,7.0,10.0,,,90.0,52.0,8.2,21.0,1.118,"{'original': 8.2, 'alternative': 8.9}",0,0.03,-0.02,0.27,0.78,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,46.15384615384615,19.230769230769234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,28.0,25.0,2.0,,0.0,16.0,18.0,9.0,10.0,7.0,1.0,,,,,90.0,62.0,7.6,11.0,,"{'original': 7.6, 'alternative': 7.5}",0,0.05,0.14,0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,8,2,89.28571428571429,,,75.0,,,2.0,1.0,4.0,9.0,,2.0,1.0,3.0,3.0,1.0,,,,2.0,,4.0,3.0,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,43.0,32.0,9.0,2.0,0.0,29.0,33.0,3.0,10.0,11.0,3.0,,,,,90.0,63.0,7.9,13.0,,"{'original': 7.9, 'alternative': 7.3}",0,0.28,0.04,0.79,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,5,2,74.4186046511628,22.22222222222222,,,,,1.0,4.0,3.0,9.0,,4.0,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0
14015399,away,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,49.0,36.0,14.0,4.0,0.0,27.0,33.0,9.0,16.0,5.0,4.0,,,,,90.0,63.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7.1}",0,-0.09,-0.27,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,73.46938775510205,28.57142857142857,,,,,1.0,1.0,3.0,2.0,,,,,1.0,2.0,,,,1.0,,,,,,,,,,2.0
14015399,away,2505,FK TSC Bačka Topola,1146156,Viktor Radojević,viktor-radojevic,D,60,False,30.0,17.0,6.0,1.0,0.0,14.0,20.0,3.0,10.0,5.0,3.0,,,,,90.0,60.0,7.2,20.0,,"{'original': 7.2, 'alternative': 7}",0,0.07,0.08,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,8,2,56.666666666666664,16.666666666666664,,100.0,,,,2.0,2.0,10.0,,4.0,3.0,1.0,2.0,1.0,,,,,1.0,2.0,2.0,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,45.0,33.0,7.0,2.0,0.0,23.0,25.0,10.0,20.0,1.0,3.0,,,,,90.0,52.0,6.4,14.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.12,0.04,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,73.33333333333333,28.57142857142857,,100.0,,,1.0,3.0,6.0,5.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,2.0,,,,,
14015399,away,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,17.0,13.0,1.0,1.0,0.0,5.0,5.0,8.0,12.0,,3.0,,,,,90.0,30.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.7}",1,0.01,0.19,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,5,3,76.47058823529412,100.0,,50.0,,,3.0,1.0,6.0,6.0,,,,3.0,4.0,1.0,,-0.17,,,1.0,2.0,1.0,1.0,1.0,,,,,
14015399,away,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,23.0,17.0,3.0,1.0,0.0,10.0,11.0,7.0,12.0,1.0,2.0,,,,,89.0,39.0,6.9,12.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.13,0.31,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,73.91304347826086,33.33333333333333,,,,2.0,,1.0,3.0,3.0,,2.0,1.0,2.0,,2.0,,0.11,1.0,,,2.0,,,,,,,,1.0
14015399,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,29.0,21.0,3.0,2.0,0.0,11.0,14.0,10.0,15.0,1.0,4.0,,,,,64.0,42.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.07,0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,72.41379310344827,66.66666666666666,,100.0,,2.0,,2.0,5.0,3.0,,,,,,3.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,
14015399,away,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,17.0,9.0,2.0,1.0,0.0,3.0,4.0,6.0,13.0,2.0,5.0,,,,,81.0,35.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.6}",0,-0.22,0.2,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,8,12,6,6,52.94117647058824,50.0,,50.0,,,3.0,5.0,9.0,11.0,,,,1.0,4.0,2.0,,,,,2.0,4.0,2.0,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,14.0,6.0,3.0,,0.0,1.0,1.0,5.0,13.0,2.0,,,,,,90.0,30.0,6.3,17.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.5,0.21,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,42.857142857142854,,,,,2.0,,1.0,8.0,3.0,,2.0,,1.0,1.0,3.0,1.0,,,,4.0,1.0,,,,1.0,,,,
14015399,away,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,True,7.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,,1.0,,,,,26.0,12.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.01,-0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,57.14285714285714,100.0,,100.0,,,2.0,,3.0,3.0,,,,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,
14015399,away,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,True,,,,,0.0,,,0.0,0.0,,1.0,,,,,9.0,4.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.12,-0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,100.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,
14015399,away,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,True,2.0,,,,0.0,,1.0,,1.0,,,,,,,8.0,5.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.04,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,100.0,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,away,2040,FK TSC Bačka Topola,1497358,Miloš Jovičić,milos-jovicic,F,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
