match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,interceptionWon,dispossessed,totalContest,wonContest,shotOffTarget,challengeLost,totalOffside,accurateCross,bigChanceCreated,bigChanceMissed,outfielderBlock
14015399,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,18.0,12.0,9.0,4.0,0.0,10.0,12.0,2.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,22.0,6.7,6.0,0.3259,"{'original': 6.7, 'alternative': 7}",0,-0.03,-0.06,0.0,0.32,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,44.44444444444444,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,31.0,26.0,4.0,3.0,0.0,10.0,11.0,16.0,20.0,5.0,2.0,,,,,90.0,59.0,7.9,12.0,,"{'original': 7.9, 'alternative': 7.7}",1,0.26,0.26,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,4,1,83.87096774193549,75.0,,,,5.0,3.0,3.0,4.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,22.0,14.0,11.0,3.0,0.0,10.0,10.0,4.0,12.0,8.0,1.0,,,,,90.0,39.0,7.0,8.0,,"{'original': 7, 'alternative': 7.7}",1,0.08,0.05,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,63.63636363636363,27.27272727272727,,,,,1.0,,1.0,3.0,,1.0,1.0,,2.0,,,-0.37,1.0,2.0,,,,,,,,,,
14015399,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,25.0,20.0,5.0,1.0,0.0,15.0,17.0,5.0,8.0,5.0,2.0,,,,,90.0,40.0,6.6,6.0,,"{'original': 6.6, 'alternative': 7.3}",4,0.07,0.05,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,80.0,20.0,,100.0,,,2.0,,4.0,4.0,,2.0,2.0,,1.0,2.0,,-0.51,1.0,,1.0,1.0,1.0,3.0,,,,,,
14015399,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,False,27.0,14.0,6.0,2.0,0.0,6.0,7.0,8.0,20.0,1.0,2.0,,,,,90.0,44.0,6.9,18.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.19,-0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,51.85185185185185,33.33333333333333,,,,,,4.0,4.0,5.0,,1.0,1.0,,,3.0,,,,1.0,,1.0,,,,,,,,
14015399,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,29.0,22.0,3.0,2.0,0.0,7.0,10.0,15.0,19.0,,7.0,,,,,90.0,55.0,6.8,16.0,,"{'original': 6.8, 'alternative': 8.1}",7,0.08,0.42,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,75.86206896551724,66.66666666666666,,,,2.0,2.0,,8.0,5.0,,3.0,3.0,4.0,2.0,2.0,3.0,0.05,4.0,1.0,1.0,1.0,,3.0,2.0,1.0,,,,
14015399,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,40.0,32.0,8.0,3.0,0.0,9.0,10.0,23.0,30.0,1.0,6.0,,,,,90.0,51.0,6.8,8.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.51,0.02,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,4,7,80.0,37.5,100.0,,,1.0,3.0,1.0,10.0,5.0,,2.0,,,2.0,2.0,1.0,0.01,1.0,2.0,,,,,5.0,,1.0,1.0,,
14015399,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,43.0,28.0,10.0,3.0,0.0,6.0,8.0,22.0,35.0,,4.0,,,,,90.0,70.0,7.3,25.0,,"{'original': 7.3, 'alternative': 7.9}",3,0.73,0.1,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,65.11627906976744,30.0,45.45454545454545,50.0,,11.0,2.0,,7.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,6.0,-0.52,,2.0,,2.0,1.0,2.0,1.0,,5.0,,,
14015399,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,13.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,12.0,,,,,,,72.0,34.0,7.0,14.0,,"{'original': 7, 'alternative': 7.4}",4,0.29,0.22,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,76.92307692307693,100.0,,,,1.0,1.0,1.0,6.0,5.0,,2.0,2.0,8.0,2.0,2.0,2.0,-0.56,2.0,1.0,1.0,,,2.0,3.0,,,,1.0,
14015399,home,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,27.0,20.0,1.0,,0.0,5.0,6.0,15.0,21.0,1.0,1.0,,,,,89.0,46.0,6.4,13.0,,"{'original': 6.4, 'alternative': 6.9}",1,-0.25,0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,74.07407407407408,,,,,,3.0,3.0,7.0,6.0,,,,3.0,3.0,1.0,,0.0,1.0,2.0,3.0,,,,,1.0,,,,
