match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,bigChanceMissed,shotOffTarget,penaltyWon,blockedScoringAttempt,bigChanceCreated,penaltyConceded
14147324,home,6226,FK Dečić Tuzi,838300,Stefan Golubović,stefan-golubovic,F,27,False,19.0,13.0,0.0,0.0,0.0,5.0,7.0,8.0,12.0,1.0,0.0,8.0,3.0,17.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,,,,,,,89.0,33.0,7.0,13.0,0.13,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,11,15,6,9,68.42105263157895,,0.0,,,,1.0,,,,,,
14147324,home,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,True,12.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,6.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,23.0,13.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,83.33333333333334,100.0,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,True,4.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,16.0,7.0,6.9,3.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,True,6.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16.0,8.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,True,2.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,8.0,,3.0,0.07,0.0,,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,50.0,,,100.0,,,1.0,,,,,,
14147324,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,2.0,2.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,3.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147324,home,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
