match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,aerialWon,interceptionWon,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,wasFouled,blockedScoringAttempt,keyPass,shotValueNormalized,dispossessed,bigChanceMissed,shotOffTarget,errorLeadToAShot,bigChanceCreated,onTargetScoringAttempt,goals,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,errorLeadToAGoal,totalOffside
14015566,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,21.0,20.0,2.0,1.0,0.0,19.0,19.0,1.0,2.0,2.0,11.0,1.0,1.0,1.0,90.0,31.0,6.7,2.0,28.720925752496,6.0,3.2035379625992,0.1939,"{'original': 6.7, 'alternative': 6.6}",0,0.0,0.0,-0.18,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.23809523809523,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,D,23,False,19.0,18.0,3.0,3.0,0.0,10.0,11.0,8.0,8.0,1.0,2.0,,,,45.0,39.0,6.2,8.0,95.671811406352,13.0,14.252433038106,,"{'original': 6.2, 'alternative': 6.6}",0,0.03,0.02,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,94.73684210526315,100.0,,80.0,,1.0,2.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,72.0,59.0,10.0,5.0,0.0,35.0,40.0,24.0,32.0,4.0,5.0,,,,69.0,82.0,6.5,13.0,314.42199174426,36.0,196.66663415288,,"{'original': 6.5, 'alternative': 6.7}",0,0.25,0.18,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,0,6,81.94444444444444,50.0,,,,,1.0,7.0,2.0,2.0,,,2.0,,,,2.0,1.0,4.0,21.877632756646,42.886686503851,2.0,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,95.0,84.0,5.0,1.0,0.0,35.0,36.0,49.0,59.0,3.0,6.0,,,,90.0,113.0,7.9,12.0,592.7136784288,61.0,378.25911640024,,"{'original': 7.9, 'alternative': 7.5}",0,0.46,0.4,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,9,1,88.42105263157895,20.0,,50.0,,,2.0,3.0,9.0,,2.0,1.0,1.0,6.0,6.0,,,1.0,,36.021350993281,108.1665210922,4.0,2.0,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,51.0,46.0,1.0,,0.0,16.0,18.0,30.0,33.0,1.0,3.0,,,,90.0,72.0,6.7,7.0,190.69297768912,28.0,26.54769702273,,"{'original': 6.7, 'alternative': 6.9}",1,0.22,0.04,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,6,4,90.19607843137256,,,,,1.0,4.0,8.0,8.0,4.0,,,,2.0,2.0,,2.0,1.0,,,,,4.0,1.0,1.0,-0.39,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,False,72.0,61.0,1.0,1.0,0.0,28.0,30.0,33.0,42.0,,2.0,,,,90.0,87.0,7.0,15.0,248.7776406321,37.0,49.417439945199,,"{'original': 7, 'alternative': 7.2}",0,-0.11,0.22,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,6,1,84.72222222222221,100.0,,66.66666666666666,,1.0,,1.0,9.0,,3.0,2.0,,3.0,3.0,2.0,3.0,,,19.378936711142,54.378682038833,3.0,1.0,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,21.0,14.0,,,1.0,5.0,8.0,9.0,13.0,1.0,1.0,,,,90.0,47.0,6.6,18.0,160.77949012698,22.0,13.993575952289,,"{'original': 6.6, 'alternative': 6.8}",0,-0.01,-0.52,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,66.66666666666666,,,50.0,,6.0,,6.0,5.0,,2.0,1.0,,,,1.0,1.0,2.0,3.0,,,,3.0,,2.0,,2.0,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,M,9,False,22.0,19.0,,,0.0,10.0,11.0,9.0,11.0,1.0,3.0,,,,45.0,31.0,6.4,4.0,77.847809004554,14.0,12.582265969661,,"{'original': 6.4, 'alternative': 6.5}",1,0.15,0.39,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,86.36363636363636,,,,,,,2.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,-0.61,,1.0,1.0,1.0,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,55.0,48.0,1.0,1.0,0.0,10.0,11.0,38.0,44.0,,5.0,,,,90.0,70.0,7.0,13.0,374.20035578521,44.0,45.831062573307,,"{'original': 7, 'alternative': 7}",1,0.41,0.04,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,87.27272727272727,100.0,,,,3.0,3.0,6.0,5.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,25.712597615364,41.13553694953,2.0,4.0,1.0,1.0,-0.01,1.0,,,,1.0,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1616139,Nikola Skrobonja,nikola-skrobonja,M,44,False,17.0,12.0,1.0,,0.0,6.0,8.0,6.0,9.0,,,,,,45.0,19.0,6.4,5.0,88.624952400416,7.0,49.753256114184,,"{'original': 6.4, 'alternative': 6.7}",1,0.01,0.05,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,70.58823529411765,,,,,,,,1.0,,,,,1.0,1.0,,,,,34.294622998567,34.323146839997,1.0,,,,-0.3,,,,,,1.0,,,,,,,
14015566,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,24.0,18.0,1.0,1.0,0.0,7.0,8.0,11.0,16.0,1.0,5.0,,,,82.0,33.0,8.0,6.0,178.77395746106,20.0,55.305512584112,,"{'original': 8, 'alternative': 7.7}",2,-0.37,0.61,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,5,0,75.0,100.0,,100.0,,,,,5.0,,1.0,1.0,,1.0,1.0,,,,,21.714263091563,67.82160581881,3.0,3.0,,1.0,0.51,,,1.0,,,1.0,1.0,,,,,,
14015566,home,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,True,21.0,19.0,,,0.0,6.0,7.0,13.0,14.0,,3.0,,,,45.0,39.0,6.8,11.0,107.18181090992,17.0,-1.8115702349539,,"{'original': 6.8, 'alternative': 6.8}",1,0.16,-0.51,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,90.47619047619048,,,33.33333333333333,,5.0,,3.0,3.0,,3.0,1.0,,,,1.0,,,,,,,2.0,1.0,,0.02,1.0,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,25.0,21.0,2.0,1.0,0.0,9.0,10.0,12.0,15.0,,3.0,,,,45.0,32.0,6.7,8.0,135.9105937334,16.0,37.836291039796,,"{'original': 6.7, 'alternative': 6.6}",0,-0.15,0.21,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,84.0,50.0,,,,2.0,2.0,3.0,2.0,1.0,,,,,,2.0,,,,18.048772678119,21.045013684956,1.0,2.0,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,35.0,33.0,,,0.0,12.0,12.0,21.0,23.0,,2.0,,,,45.0,48.0,6.7,10.0,149.63217462002,24.0,12.839072780156,,"{'original': 6.7, 'alternative': 6.9}",1,0.0,-0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,94.28571428571428,,,100.0,,2.0,,1.0,3.0,,2.0,2.0,,,,5.0,1.0,,,,,,,,,0.02,1.0,,,,,1.0,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,True,26.0,25.0,,,0.0,14.0,14.0,11.0,12.0,1.0,2.0,,,,21.0,29.0,7.1,1.0,105.98418687856,12.0,62.505091832871,,"{'original': 7.1, 'alternative': 6.8}",0,0.1,0.05,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,96.15384615384616,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1166063,Uroš Sremčević,uros-sremcevic,F,17,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,8.0,1.0,6.3,,10.029582294393,1.0,-9.3540792453663,,"{'original': 6.3, 'alternative': 6.5}",0,-0.02,-0.4,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,F,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,F,91,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,home,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,22.0,12.0,18.0,8.0,0.0,4.0,4.0,8.0,18.0,2.0,5.0,,2.0,,90.0,28.0,6.8,11.0,9.8246527719401,2.0,1.5451305016251,0.0882,"{'original': 6.8, 'alternative': 6.7}",0,0.13,0.0,-0.03,0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,54.54545454545454,44.44444444444444,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
14015566,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,11.0,8.0,1.0,,1.0,6.0,7.0,2.0,4.0,1.0,2.0,,,,64.0,21.0,7.0,5.0,75.802857663902,6.0,41.961292293098,,"{'original': 7, 'alternative': 7.1}",0,0.52,0.14,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,72.72727272727273,,100.0,,,1.0,,3.0,2.0,1.0,1.0,,,1.0,1.0,,,2.0,,23.873421813543,43.807545209962,2.0,1.0,,3.0,,1.0,,,,1.0,,,,,,1.0,,
14015566,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,18.0,14.0,6.0,5.0,0.0,7.0,8.0,7.0,10.0,6.0,2.0,,,,90.0,33.0,8.3,4.0,50.879347305495,9.0,-1.2307760440722,,"{'original': 8.3, 'alternative': 8.1}",2,0.17,0.1,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,77.77777777777779,83.33333333333334,,,,,,1.0,5.0,,,,1.0,1.0,1.0,,3.0,2.0,1.0,,,,1.0,,,0.45,,,1.0,,,1.0,1.0,,,,,,
14015566,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,29.0,23.0,6.0,3.0,1.0,15.0,18.0,8.0,11.0,6.0,3.0,,,,90.0,39.0,7.2,6.0,137.98063625001,17.0,12.184026341016,,"{'original': 7.2, 'alternative': 7.4}",1,0.38,0.17,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,79.3103448275862,50.0,,100.0,,,,3.0,1.0,,1.0,1.0,1.0,,,,,,3.0,25.106340486405,29.329783650753,1.0,,,1.0,-0.24,,,1.0,,1.0,,,,,,,1.0,
14015566,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,12.0,7.0,5.0,2.0,0.0,5.0,7.0,2.0,5.0,3.0,3.0,,,,90.0,56.0,6.7,17.0,78.973682227315,11.0,13.596271369004,,"{'original': 6.7, 'alternative': 6.6}",0,0.04,0.08,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,58.333333333333336,40.0,20.0,100.0,,5.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,4.0,3.0,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,
14015566,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,27.0,22.0,3.0,3.0,0.0,13.0,15.0,9.0,12.0,6.0,8.0,,,,90.0,48.0,6.1,8.0,110.5122210623,14.0,-16.835101840875,,"{'original': 6.1, 'alternative': 7}",0,0.21,0.14,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,81.48148148148148,100.0,,66.66666666666666,,1.0,,9.0,5.0,3.0,3.0,2.0,,2.0,,1.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,1.0
14015566,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,31.0,26.0,4.0,3.0,0.0,16.0,18.0,10.0,13.0,1.0,7.0,,,,90.0,41.0,6.9,8.0,112.3231826414,15.0,-3.9571820739778,,"{'original': 6.9, 'alternative': 6.8}",1,0.53,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,83.87096774193549,75.0,,50.0,,1.0,2.0,7.0,1.0,1.0,2.0,1.0,,,,1.0,,2.0,3.0,21.825447326409,24.729742436993,1.0,,,1.0,-0.22,,,1.0,,1.0,,,,,,,,
14015566,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,18.0,12.0,1.0,,0.0,8.0,8.0,4.0,10.0,,3.0,,,,89.0,30.0,6.5,14.0,137.73674272478,13.0,60.413925992312,,"{'original': 6.5, 'alternative': 6.2}",2,0.1,0.37,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,1,5,66.66666666666666,,,50.0,,1.0,3.0,8.0,4.0,1.0,2.0,1.0,,,,3.0,3.0,,1.0,28.913534152347,81.107502295974,3.0,,2.0,,-0.25,2.0,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,19.0,17.0,2.0,2.0,0.0,5.0,5.0,12.0,14.0,,2.0,,,,54.0,30.0,6.5,8.0,89.193841172676,12.0,11.082925669488,,"{'original': 6.5, 'alternative': 6.7}",0,0.25,-0.18,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,89.47368421052632,100.0,,,,,2.0,5.0,1.0,,1.0,,,,,4.0,,2.0,1.0,20.190369405532,22.175444279653,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,28.0,19.0,2.0,2.0,0.0,4.0,4.0,15.0,24.0,3.0,7.0,,,,89.0,44.0,6.4,15.0,244.18837747263,22.0,108.86730026621,,"{'original': 6.4, 'alternative': 6.9}",2,0.0,0.57,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,3,10,67.85714285714286,100.0,66.66666666666666,50.0,,3.0,1.0,11.0,7.0,1.0,2.0,1.0,,2.0,1.0,1.0,4.0,,6.0,35.287293612024,128.66216818083,5.0,,2.0,3.0,-0.22,2.0,,,,,,,,,,2.0,,
14015566,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,13.0,10.0,,,0.0,4.0,5.0,6.0,8.0,,3.0,,,,64.0,25.0,7.9,5.0,59.046472983667,10.0,28.994050084682,,"{'original': 7.9, 'alternative': 7.6}",4,0.03,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,6,0,76.92307692307693,,,100.0,,,1.0,1.0,8.0,,3.0,3.0,,,,1.0,2.0,,,7.4247707139879,7.7711901276446,1.0,3.0,1.0,,0.09,,1.0,1.0,,,2.0,1.0,,,,,,1.0
14015566,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,True,7.0,4.0,1.0,,0.0,4.0,5.0,0.0,2.0,,2.0,,,,36.0,18.0,5.9,9.0,45.685347098416,5.0,25.87357019981,,"{'original': 5.9, 'alternative': 6.6}",0,0.33,-0.71,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,57.14285714285714,,33.33333333333333,,,3.0,1.0,3.0,,1.0,,,,,,2.0,,1.0,,17.471232837743,17.617389590969,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,
14015566,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,3.0,,2.0,,0.0,,,,3.0,,1.0,,,,26.0,9.0,6.8,6.0,10.25540433142,2.0,-4.8043652455504,,"{'original': 6.8, 'alternative': 6.7}",0,-0.01,0.01,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,,,,,,,,1.0,3.0,,,,,2.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,3.0,,,,26.0,5.0,6.6,2.0,185.87134137066,6.0,54.718644712149,,"{'original': 6.6, 'alternative': 6.5}",0,-0.08,0.18,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,48.938047878454,99.154988409097,2.0,,,,,1.0,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,1150815,Andreja Ristic,andreja-ristic,F,8,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,1473508,Mass Sise,mass-sise,M,24,True,4.0,3.0,,,0.0,2.0,3.0,1.0,1.0,,2.0,,,,1.0,6.0,,3.0,8.3951848207146,2.0,-1.8072919913463,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,
14015566,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,F,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
