match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalClearance,unsuccessfulTouch,fouls,keyPass,challengeLost,shotOffTarget,interceptionWon,totalTackle,wonTackle,shotValueNormalized,totalContest,wonContest,outfielderBlock,totalOffside,dispossessed,blockedScoringAttempt,onTargetScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox,hitWoodwork
14015555,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,28.0,16.0,15.0,3.0,0.0,14.0,18.0,2.0,10.0,1.0,4.0,1.0,2.0,90.0,33.0,6.7,12.0,42.429762524972,6.0,26.355,9.555,0.0573,"{'original': 6.7, 'alternative': 6.7}",0,0.01,0.0,0.17,0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,57.14285714285714,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015555,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,34.0,27.0,7.0,3.0,0.0,6.0,7.0,21.0,27.0,1.0,1.0,,,78.0,56.0,6.8,12.0,92.631513377897,14.0,72.135,11.865,,"{'original': 6.8, 'alternative': 6.7}",0,0.18,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,79.41176470588235,42.857142857142854,25.0,,,4.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14015555,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,52.0,48.0,6.0,5.0,0.0,31.0,32.0,17.0,20.0,3.0,4.0,,,90.0,67.0,7.3,7.0,134.7295464638,18.0,41.58,14.175,,"{'original': 7.3, 'alternative': 7.3}",1,0.25,0.08,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,92.3076923076923,83.33333333333334,,,,3.0,,,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,-0.16,,,,,,,,,,
14015555,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,69.0,66.0,4.0,4.0,0.0,47.0,48.0,19.0,21.0,6.0,8.0,,,90.0,88.0,7.9,4.0,174.72979043185,24.0,93.24,13.545,,"{'original': 7.9, 'alternative': 7.7}",0,0.27,0.04,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,95.65217391304348,100.0,,100.0,,,,1.0,3.0,2.0,6.0,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,
14015555,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,72.0,65.0,9.0,5.0,0.0,49.0,52.0,16.0,20.0,7.0,3.0,2.0,,90.0,87.0,7.4,12.0,156.25664816779,23.0,70.665,16.17,,"{'original': 7.4, 'alternative': 7.4}",2,0.22,0.05,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,4,3,90.27777777777779,55.55555555555556,,,,,,2.0,3.0,5.0,2.0,3.0,2.0,,,2.0,,2.0,1.0,-0.17,1.0,,1.0,,,,,,,
14015555,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,59.0,45.0,5.0,2.0,0.0,24.0,27.0,21.0,32.0,3.0,3.0,1.0,,90.0,86.0,6.9,24.0,227.26023105795,27.0,103.95,12.075,,"{'original': 6.9, 'alternative': 7.2}",1,0.44,-0.53,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,76.27118644067797,40.0,,50.0,,7.0,,,1.0,2.0,,,1.0,1.0,,1.0,,,,-0.12,2.0,1.0,,,,,,,,
14015555,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,35.0,31.0,2.0,1.0,0.0,9.0,9.0,22.0,26.0,9.0,2.0,2.0,,90.0,49.0,6.4,9.0,105.70855939719,12.0,31.71,20.055,,"{'original': 6.4, 'alternative': 6.8}",1,0.01,0.21,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,9,11,4,7,88.57142857142857,50.0,,100.0,,,,4.0,5.0,11.0,,3.0,5.0,1.0,1.0,1.0,,,,-0.24,2.0,2.0,,,2.0,,,,,
14015555,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,84.0,70.0,5.0,4.0,0.0,27.0,30.0,43.0,54.0,3.0,3.0,,,78.0,101.0,7.2,18.0,285.52770674331,37.0,105.21,15.75,,"{'original': 7.2, 'alternative': 7}",1,0.25,0.27,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,83.33333333333334,80.0,,50.0,,1.0,,1.0,2.0,5.0,1.0,1.0,1.0,,1.0,1.0,4.0,,,-0.08,2.0,1.0,,,1.0,,,,,
14015555,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,49.0,41.0,2.0,1.0,0.0,20.0,21.0,21.0,28.0,12.0,10.0,3.0,,90.0,82.0,7.0,24.0,149.34693840519,17.0,77.28,21.42,,"{'original': 7, 'alternative': 7.5}",0,-0.21,0.31,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,10,6,83.6734693877551,50.0,20.0,100.0,,10.0,2.0,,2.0,6.0,1.0,8.0,4.0,1.0,2.0,,1.0,4.0,3.0,,3.0,3.0,,,,,,,,
14015555,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,F,22,False,6.0,3.0,,,0.0,,1.0,3.0,5.0,2.0,1.0,1.0,,54.0,14.0,6.4,6.0,44.384248777595,5.0,25.305,19.11,,"{'original': 6.4, 'alternative': 6.6}",1,-0.09,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,50.0,,,100.0,,2.0,,2.0,,4.0,,1.0,2.0,,,,,,,-0.17,1.0,1.0,,2.0,,1.0,,,,
