match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,duelLost,totalContest,bigChanceCreated,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,possessionLostCtrl,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,challengeLost,dispossessed,wonContest,wasFouled,aerialLost,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,goals
14015616,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,31.0,31.0,3.0,3.0,0.0,31.0,31.0,1.0,1.0,1.0,11.0,1.0,2.0,1.0,90.0,40.0,6.7,90.975812813653,14.0,26.302908640903,0.0,0.2595,"{'original': 6.7, 'alternative': 6.9}",0,0.02,0.01,-0.21,0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015616,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,50.0,40.0,9.0,4.0,0.0,14.0,14.0,1.0,5.0,1.0,3.0,,,,90.0,82.0,7.3,186.73740258793,26.0,63.378051274283,2.0,,"{'original': 7.3, 'alternative': 7.3}",1,0.48,0.21,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.0,44.44444444444444,50.0,,,26.0,36.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,14.0,6.4959186451194,15.340363627409,1.0,-0.21,,,,,,,,,,,
14015616,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,77.0,70.0,5.0,3.0,0.0,42.0,43.0,,5.0,2.0,4.0,,,,90.0,90.0,6.9,507.50988786453,50.0,247.27031997835,5.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.16,0.25,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,90.9090909090909,60.0,,100.0,,28.0,34.0,,,2.0,1.0,,,1.0,,3.0,2.0,,,8.0,29.595219478481,118.06212778507,,,1.0,1.0,1.0,1.0,,,,,,,
14015616,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,107.0,97.0,15.0,9.0,0.0,61.0,65.0,1.0,2.0,,2.0,,,,90.0,117.0,6.7,500.03506124591,59.0,111.00804410925,3.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.44,0.03,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,90.65420560747664,60.0,,,,36.0,42.0,1.0,,4.0,,1.0,,,4.0,,,,1.0,12.0,28.372607723159,83.833542755469,1.0,,2.0,,,1.0,1.0,,,,,,
14015616,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,69.0,61.0,8.0,5.0,0.0,14.0,16.0,,4.0,,3.0,,,,90.0,96.0,6.9,366.73015682563,41.0,133.39986908442,1.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.48,0.12,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,88.40579710144928,62.5,66.66666666666666,,,47.0,53.0,3.0,2.0,5.0,2.0,,,,,2.0,1.0,1.0,3.0,12.0,36.246572479994,39.952116339438,1.0,,,,,2.0,,,,,,,
14015616,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,48.0,40.0,5.0,4.0,0.0,18.0,19.0,1.0,5.0,,3.0,,,,90.0,62.0,7.2,290.05260100361,32.0,16.002768968342,2.0,,"{'original': 7.2, 'alternative': 6.8}",1,0.02,0.17,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,83.33333333333334,80.0,,25.0,,22.0,29.0,,,5.0,4.0,,,,1.0,2.0,1.0,2.0,,14.0,17.991555671352,39.769394124757,,0.11,1.0,1.0,1.0,1.0,,1.0,1.0,,,,
14015616,home,25737,FK Radnički Niš,370644,Gboly Ariyibi,gboly-ariyibi,M,11,False,33.0,28.0,3.0,2.0,0.0,8.0,8.0,,6.0,,2.0,,,,90.0,59.0,7.0,278.24197204216,30.0,97.743556026358,5.0,,"{'original': 7, 'alternative': 6.9}",2,0.33,0.49,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,84.84848484848484,66.66666666666666,20.0,66.66666666666666,,20.0,25.0,5.0,1.0,3.0,3.0,,,,,1.0,1.0,8.0,,20.0,25.269141184724,99.120205694513,1.0,-0.26,,1.0,2.0,3.0,1.0,,,2.0,,,
14015616,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,39.0,27.0,6.0,4.0,0.0,7.0,10.0,,7.0,,4.0,,,,90.0,55.0,6.9,205.43691951932,24.0,67.343734937611,3.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.22,0.32,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,7,2,69.23076923076923,66.66666666666666,,50.0,,20.0,29.0,3.0,,4.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,19.0,22.7104513443,68.066747872556,,-0.06,,,1.0,4.0,2.0,,,1.0,1.0,,
14015616,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,14.0,7.0,3.0,1.0,0.0,4.0,6.0,,3.0,,1.0,,,,45.0,34.0,6.4,157.65877441507,14.0,-33.991299378545,2.0,,"{'original': 6.4, 'alternative': 6.8}",2,0.2,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,50.0,33.33333333333333,80.0,100.0,,3.0,8.0,5.0,4.0,4.0,1.0,,1.0,,,,,2.0,,14.0,22.1240480393,35.844584094092,1.0,-0.2,,3.0,1.0,2.0,1.0,,1.0,,,,
14015616,home,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,M,23,False,42.0,33.0,1.0,1.0,0.0,9.0,9.0,2.0,4.0,,6.0,,,,75.0,58.0,6.6,256.62884245085,19.0,-31.729471608741,0.0,,"{'original': 6.6, 'alternative': 7.4}",1,0.26,-0.2,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,78.57142857142857,100.0,,,,24.0,33.0,,,3.0,2.0,1.0,1.0,,1.0,2.0,2.0,4.0,,16.0,,,3.0,-0.54,,1.0,,,,,,,,,
