player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Aranđel Stojković', 'slug': 'arandel-stojkovic', 'shortName': 'A. Stojković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 334, 'gender': 'M', 'id': 805932, 'fieldTranslations': {'nameTranslation': {'ar': 'أرانيل ستويكوفيتش', 'bn': 'আরন্দজেল স্টোজকোভিচ', 'hi': 'अरंडेल स्टोजकोविक'}, 'shortNameTranslation': {'ar': 'أ. ستويكوفيتش', 'bn': 'এ. স্টোজকোভিচ', 'hi': 'ए. स्टोजकोविक'}}}",True,goal,regular,assisted,"{'x': 10.7, 'y': 45, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.3, 'z': 3.2}",5357597,90,3.0,5533,"{'start': {'x': 45, 'y': 10.7}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 96.8}}",1,767,133,shot,
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,save,,assisted,"{'x': 20.7, 'y': 65.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 5.7}",5357614,90,,5383,"{'start': {'x': 65.8, 'y': 20.7}, 'block': {'x': 53.2, 'y': 4.8}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 94.3}}",1,17,2683,shot,"{'x': 4.8, 'y': 53.2, 'z': 0}"
"{'name': 'Bibars\xa0Natcho', 'firstName': '', 'lastName': '', 'slug': 'bibars-natcho', 'shortName': 'Bibars\xa0Natcho', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1028, 'gender': 'M', 'id': 19191, 'fieldTranslations': {'nameTranslation': {'ar': 'بيبراس ناتخو', 'bn': 'বিবরস নাচো', 'hi': 'बिबर्स नैचो'}, 'shortNameTranslation': {'ar': 'ب. ناتخو', 'bn': 'নাচো বিবার্স', 'hi': 'बिबर्स नैचो'}}}",True,block,,regular,"{'x': 12, 'y': 42.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}",5357607,90,,5358,"{'start': {'x': 42.7, 'y': 12}, 'block': {'x': 44.9, 'y': 8.1}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",1,42,2658,shot,"{'x': 8.1, 'y': 44.9, 'z': 0}"
"{'name': 'Nikola Simic', 'firstName': 'Nikola Simic', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'D', 'jerseyNumber': '40', 'userCount': 685, 'gender': 'M', 'id': 1427163, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش'}, 'shortNameTranslation': {'ar': 'ن. سيميتش'}}}",True,miss,,corner,"{'x': 6.9, 'y': 40.5, 'z': 0}",head,high,"{'x': 0, 'y': 54.5, 'z': 70.8}",5357584,88,,5236,"{'start': {'x': 40.5, 'y': 6.9}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 29.2}}",3,164,2536,shot,
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,save,,regular,"{'x': 7.1, 'y': 45, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 10.1}",5357600,87,,5205,"{'start': {'x': 45, 'y': 7.1}, 'block': {'x': 46.8, 'y': 4.6}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 89.9}}",4,195,2505,shot,"{'x': 4.6, 'y': 46.8, 'z': 0}"
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,save,,assisted,"{'x': 12.8, 'y': 53.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 4.4}",5357583,87,,5202,"{'start': {'x': 53.4, 'y': 12.8}, 'block': {'x': 51.3, 'y': 5.8}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 95.6}}",4,198,2502,shot,"{'x': 5.8, 'y': 51.3, 'z': 0}"
"{'name': 'Aranđel Stojković', 'slug': 'arandel-stojkovic', 'shortName': 'A. Stojković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 334, 'gender': 'M', 'id': 805932, 'fieldTranslations': {'nameTranslation': {'ar': 'أرانيل ستويكوفيتش', 'bn': 'আরন্দজেল স্টোজকোভিচ', 'hi': 'अरंडेल स्टोजकोविक'}, 'shortNameTranslation': {'ar': 'أ. ستويكوفيتش', 'bn': 'এ. স্টোজকোভিচ', 'hi': 'ए. स्टोजकोविक'}}}",True,save,,regular,"{'x': 12.7, 'y': 38.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 18.4}",5357479,80,,4779,"{'start': {'x': 38.7, 'y': 12.7}, 'block': {'x': 47.5, 'y': 2.7}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 81.6}}",11,621,2079,shot,"{'x': 2.7, 'y': 47.5, 'z': 0}"
"{'name': 'Jovan Milošević', 'firstName': 'Jovan Milosevic', 'lastName': '', 'slug': 'jovan-milosevic', 'shortName': 'J. Milošević', 'position': 'F', 'jerseyNumber': '7', 'userCount': 2321, 'gender': 'M', 'id': 1154491, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان ميلوسيفيتش', 'bn': 'জোভান মিলোসেভিচ', 'hi': 'जोवन मिलोसेवीक'}, 'shortNameTranslation': {'ar': 'ي. ميلوسيفيتش', 'bn': 'জে. মিলোসেভিচ', 'hi': 'जे. मिलोसेवीक'}}}",True,save,,assisted,"{'x': 11.4, 'y': 37.6, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 7}",5357418,64,,3783,"{'start': {'x': 37.6, 'y': 11.4}, 'block': {'x': 45.8, 'y': 3.8}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 93}}",27,1617,1083,shot,"{'x': 3.8, 'y': 45.8, 'z': 0}"
"{'name': 'Bogdan Kostić', 'firstName': 'Bogdan Kostic', 'slug': 'bogdan-kostic', 'shortName': 'B. Kostić', 'position': 'M', 'jerseyNumber': '99', 'userCount': 564, 'gender': 'M', 'id': 1584964, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان كوستيتش'}, 'shortNameTranslation': {'ar': 'ب. كوستيتش'}}}",True,save,,assisted,"{'x': 12.6, 'y': 30.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.6, 'z': 1.9}",5357358,60,,3565,"{'start': {'x': 30.7, 'y': 12.6}, 'block': {'x': 46.2, 'y': 1.1}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 98.1}}",31,1835,865,shot,"{'x': 1.1, 'y': 46.2, 'z': 0}"
"{'name': 'Jovan Milošević', 'firstName': 'Jovan Milosevic', 'lastName': '', 'slug': 'jovan-milosevic', 'shortName': 'J. Milošević', 'position': 'F', 'jerseyNumber': '7', 'userCount': 2321, 'gender': 'M', 'id': 1154491, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان ميلوسيفيتش', 'bn': 'জোভান মিলোসেভিচ', 'hi': 'जोवन मिलोसेवीक'}, 'shortNameTranslation': {'ar': 'ي. ميلوسيفيتش', 'bn': 'জে. মিলোসেভিচ', 'hi': 'जे. मिलोसेवीक'}}}",True,miss,,corner,"{'x': 5.4, 'y': 46.6, 'z': 0}",head,left,"{'x': 0, 'y': 61.5, 'z': 25}",5357348,57,,3399,"{'start': {'x': 46.6, 'y': 5.4}, 'end': {'x': 38.5, 'y': 0}, 'goal': {'x': 38.5, 'y': 75}}",34,2001,699,shot,
