match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,interceptionWon,shotValueNormalized,aerialLost,outfielderBlock,blockedScoringAttempt,goals,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue
14015410,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,29.0,23.0,9.0,4.0,0.0,23.0,24.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,31.0,6.2,6.0,"{'original': 6.2, 'alternative': 6.4}",0,-0.02,-0.1,-0.15,-0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,79.3103448275862,44.44444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,37.0,34.0,2.0,1.0,1.0,13.0,14.0,23.0,1.0,6.0,1.0,6.0,,,90.0,61.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.5}",0,0.31,0.05,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,91.8918918918919,50.0,33.33333333333333,100.0,,21.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,96.0,88.0,12.0,7.0,0.0,47.0,47.0,49.0,4.0,10.0,3.0,4.0,,,90.0,113.0,7.9,9.0,"{'original': 7.9, 'alternative': 7.8}",2,0.33,0.41,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,6,0,91.66666666666666,58.333333333333336,,100.0,,41.0,,,,,,1.0,1.0,,4.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,0.16,,,,,,,,
14015410,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,95.0,89.0,4.0,2.0,0.0,45.0,45.0,50.0,3.0,5.0,3.0,5.0,,,90.0,106.0,7.2,7.0,"{'original': 7.2, 'alternative': 7.4}",1,0.25,0.18,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,93.6842105263158,50.0,,,,44.0,,,2.0,,,1.0,,,2.0,1.0,,,,1.0,,1.0,,1.0,0.0,1.0,2.0,,,,,,
14015410,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,44.0,35.0,4.0,1.0,0.0,14.0,15.0,29.0,1.0,4.0,2.0,3.0,,,90.0,65.0,8.0,12.0,"{'original': 8, 'alternative': 7.8}",3,0.17,0.08,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,79.54545454545455,25.0,,,,21.0,,,2.0,,,1.0,,,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,,0.56,,,1.0,1.0,,,,
14015410,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,48.0,40.0,6.0,3.0,0.0,14.0,15.0,33.0,,4.0,1.0,9.0,,,45.0,56.0,7.1,9.0,"{'original': 7.1, 'alternative': 7}",1,0.2,0.18,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,83.33333333333334,50.0,,100.0,,26.0,,,1.0,,,1.0,1.0,,3.0,3.0,1.0,,1.0,,,,,1.0,-0.03,,,1.0,,,,,
14015410,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,22.0,14.0,1.0,1.0,0.0,5.0,6.0,16.0,,3.0,,1.0,,,45.0,34.0,6.2,14.0,"{'original': 6.2, 'alternative': 6.7}",1,-0.31,0.36,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,63.63636363636363,100.0,100.0,33.33333333333333,,9.0,1.0,1.0,6.0,1.0,,6.0,2.0,,,,1.0,1.0,1.0,2.0,,1.0,,,-0.14,,,,,,,,
14015410,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,46.0,37.0,5.0,3.0,1.0,17.0,18.0,28.0,,3.0,1.0,2.0,,,70.0,56.0,6.7,12.0,"{'original': 6.7, 'alternative': 7.1}",1,0.13,0.19,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,80.43478260869566,60.0,,100.0,,20.0,,,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,1.0,,-0.24,1.0,,,,1.0,,,
14015410,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,29.0,24.0,1.0,1.0,0.0,4.0,4.0,25.0,,9.0,,3.0,,,90.0,62.0,6.8,20.0,"{'original': 6.8, 'alternative': 7.1}",2,0.01,0.38,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,9,6,82.75862068965517,100.0,9.090909090909092,42.857142857142854,,20.0,11.0,1.0,7.0,1.0,1.0,7.0,3.0,,3.0,2.0,,3.0,,1.0,,1.0,,1.0,-0.18,1.0,,1.0,,,,,
14015410,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,12.0,9.0,2.0,1.0,0.0,3.0,3.0,9.0,,3.0,,1.0,,,45.0,21.0,6.7,6.0,"{'original': 6.7, 'alternative': 6.6}",1,0.22,0.3,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,75.0,50.0,,66.66666666666666,,6.0,,,6.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,-0.4,1.0,,,,,,,
