match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,interceptionWon,shotValueNormalized,aerialLost,outfielderBlock,blockedScoringAttempt,goals,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue
14015410,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,F,11,False,47.0,37.0,10.0,5.0,0.0,12.0,13.0,34.0,,5.0,,4.0,,,77.0,70.0,8.4,19.0,"{'original': 8.4, 'alternative': 7.7}",5,0.17,0.38,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,78.72340425531915,50.0,,33.33333333333333,,25.0,4.0,,5.0,1.0,1.0,3.0,1.0,,3.0,3.0,2.0,1.0,,1.0,,1.0,2.0,,0.56,1.0,,2.0,1.0,,,,
14015410,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,15.0,10.0,,,0.0,3.0,4.0,11.0,,1.0,1.0,2.0,,,45.0,23.0,6.6,8.0,"{'original': 6.6, 'alternative': 6.9}",1,0.11,0.09,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,66.66666666666666,,,100.0,,7.0,1.0,,2.0,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,,,1.0,,-0.06,,,,,,,,
14015410,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,True,7.0,6.0,,,0.0,,,7.0,1.0,1.0,1.0,1.0,,,45.0,12.0,6.2,2.0,"{'original': 6.2, 'alternative': 6.9}",3,-0.09,-0.21,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,85.71428571428571,,,,,6.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,-0.56,,,1.0,,,,,
14015410,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,29.0,22.0,2.0,1.0,0.0,2.0,3.0,26.0,,1.0,,,,,45.0,38.0,7.1,10.0,"{'original': 7.1, 'alternative': 7.4}",1,0.44,0.4,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,75.86206896551724,50.0,50.0,100.0,,20.0,6.0,3.0,2.0,1.0,,1.0,1.0,2.0,,,,,1.0,5.0,,,,,-0.38,,,1.0,,,,,
14015410,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,26.0,22.0,3.0,2.0,0.0,9.0,10.0,16.0,1.0,3.0,,3.0,,,20.0,33.0,7.4,5.0,"{'original': 7.4, 'alternative': 6.7}",3,0.2,0.18,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,84.61538461538461,66.66666666666666,,,,13.0,,,1.0,,,,,,2.0,2.0,1.0,,1.0,,2.0,,3.0,,0.29,,,,,,,,
14015410,home,251278,FK Partizan,801067,Aldo Kalulu,aldo-kalulu,F,15,True,12.0,10.0,,,0.0,3.0,4.0,8.0,,,,3.0,,,13.0,15.0,6.3,5.0,"{'original': 6.3, 'alternative': 6.5}",0,-0.11,0.32,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,83.33333333333334,,,,,7.0,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14015410,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,home,25736,FK Partizan,1493919,Zoran Alilović,zoran-alilovic,M,90,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,False,27.0,11.0,21.0,6.0,0.0,9.0,16.0,11.0,,1.0,,9.0,,,90.0,43.0,8.0,16.0,"{'original': 8, 'alternative': 8.5}",0,0.04,-0.01,-0.03,0.9,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,40.74074074074074,28.57142857142857,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,8.0,10.0,1.6007
14015410,away,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,11.0,6.0,4.0,1.0,0.0,2.0,5.0,6.0,1.0,5.0,3.0,2.0,,,59.0,36.0,6.2,11.0,"{'original': 6.2, 'alternative': 6.5}",1,-0.01,0.06,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,54.54545454545454,25.0,,50.0,,4.0,,,7.0,2.0,1.0,2.0,1.0,,3.0,2.0,2.0,,1.0,,,1.0,,1.0,-0.07,2.0,1.0,,,,,,
14015410,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,31.0,24.0,8.0,3.0,0.0,16.0,18.0,13.0,1.0,5.0,8.0,6.0,,,90.0,49.0,6.9,8.0,"{'original': 6.9, 'alternative': 7.1}",0,0.08,0.13,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,4,0,77.41935483870968,37.5,,,,8.0,,,2.0,,,,,,2.0,,1.0,2.0,,,,,,1.0,,2.0,2.0,,,,,,
14015410,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,23.0,21.0,2.0,,0.0,18.0,19.0,4.0,1.0,7.0,6.0,4.0,,,90.0,42.0,6.6,4.0,"{'original': 6.6, 'alternative': 6.9}",0,0.01,0.03,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,91.30434782608695,,,,,3.0,,,4.0,3.0,,,,,4.0,3.0,2.0,2.0,1.0,,,,,3.0,,,,,,,,,
14015410,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,34.0,28.0,4.0,3.0,0.0,17.0,20.0,14.0,,4.0,8.0,4.0,,,90.0,67.0,6.6,12.0,"{'original': 6.6, 'alternative': 7.3}",1,0.11,0.33,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,82.35294117647058,75.0,33.33333333333333,100.0,,11.0,3.0,1.0,4.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,1.0,,1.0,,2.0,-0.34,,1.0,,,,,,
14015410,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,27.0,19.0,3.0,,0.0,13.0,19.0,8.0,,6.0,4.0,8.0,,,90.0,47.0,6.8,12.0,"{'original': 6.8, 'alternative': 6.8}",1,-0.1,0.31,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,70.37037037037037,,,100.0,,6.0,1.0,,3.0,1.0,1.0,1.0,1.0,,5.0,3.0,2.0,,,,,,,,-0.09,1.0,1.0,1.0,,,,,
14015410,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,20.0,16.0,2.0,2.0,0.0,7.0,10.0,10.0,1.0,4.0,1.0,5.0,,,70.0,34.0,8.2,5.0,"{'original': 8.2, 'alternative': 7.8}",1,-0.01,0.33,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,80.0,100.0,,100.0,,9.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,0.58,,1.0,,1.0,,,,
14015410,away,34318,FK Radnički 1923,1147561,Matija Glušćević,matija-gluscevic,M,7,False,7.0,4.0,,,0.0,3.0,4.0,3.0,,,1.0,1.0,,,59.0,15.0,6.2,8.0,"{'original': 6.2, 'alternative': 6.2}",1,-0.04,0.17,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,57.14285714285714,,,,,1.0,,,3.0,,2.0,,,,,,3.0,,,,,,,,-0.13,1.0,,1.0,,1.0,,,
14015410,away,35268,FK Radnički 1923,1382153,Bogdan Mirčetić,bogdan-mircetic,M,44,False,19.0,16.0,1.0,1.0,0.0,8.0,9.0,10.0,,2.0,,5.0,,,70.0,43.0,6.3,18.0,"{'original': 6.3, 'alternative': 6.3}",0,-0.03,0.18,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,84.21052631578947,100.0,,25.0,,8.0,1.0,,9.0,2.0,3.0,4.0,1.0,,1.0,,7.0,,,1.0,,,,1.0,,1.0,,,,,,,
14015410,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,26.0,23.0,,,1.0,6.0,8.0,18.0,,4.0,,4.0,,,90.0,41.0,6.7,10.0,"{'original': 6.7, 'alternative': 6.7}",0,0.19,0.25,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,88.46153846153845,,,25.0,,17.0,1.0,,6.0,2.0,,4.0,1.0,,2.0,1.0,3.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,
14015410,away,5150,FK Radnički 1923,858238,Milutin Vidosavljević,milutin-vidosavljevic,F,55,False,6.0,4.0,,,0.0,1.0,2.0,4.0,,1.0,,3.0,,,34.0,13.0,6.4,5.0,"{'original': 6.4, 'alternative': 6.5}",0,-0.08,0.11,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,66.66666666666666,,,50.0,,3.0,,,3.0,,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,
14015410,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,18.0,14.0,,,0.0,7.0,8.0,10.0,,4.0,1.0,1.0,,,56.0,37.0,6.6,15.0,"{'original': 6.6, 'alternative': 6.6}",1,-0.16,0.38,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,77.77777777777779,,,60.0,,7.0,1.0,,8.0,,2.0,5.0,3.0,,,,6.0,1.0,2.0,,,1.0,,,-0.21,2.0,,,,,,,
14015410,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,5.0,2.0,1.0,,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,31.0,10.0,6.1,5.0,"{'original': 6.1, 'alternative': 6.2}",0,-0.06,,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,40.0,,,,,1.0,,,4.0,,1.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,
14015410,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,7.0,6.0,1.0,1.0,0.0,3.0,4.0,3.0,,1.0,,2.0,,,31.0,17.0,6.4,3.0,"{'original': 6.4, 'alternative': 6.5}",0,0.05,0.03,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,85.71428571428571,100.0,,,,3.0,,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
14015410,away,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,7.0,6.0,,,0.0,2.0,2.0,5.0,,,,,,,20.0,10.0,6.2,4.0,"{'original': 6.2, 'alternative': 6.3}",0,-0.01,0.01,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,85.71428571428571,,,,,4.0,1.0,,3.0,,,,,,,,2.0,,1.0,,,,,,,2.0,,,,,,,
14015410,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,7.0,6.0,,,0.0,1.0,1.0,6.0,,,,1.0,,,20.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': 6.6}",0,-0.07,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015410,away,287019,FK Radnički 1923,999008,Stephen Chinedu,chinedu-stephen,F,9,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,D,27,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015410,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
