match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,bigChanceMissed,shotOffTarget,wasFouled,shotValueNormalized,keyPass,accurateCross,bigChanceCreated,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,hitWoodwork,goals,errorLeadToAShot,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
14015513,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,3.0,2.0,1.0,,0.0,,,2.0,3.0,,,,73.0,12.0,6.5,3.0,,"{'original': 6.5, 'alternative': 7.1}",5,-0.06,-0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,66.66666666666666,,,,,,4.0,2.0,4.0,,,,,,1.0,1.0,1.0,,2.0,,-0.59,,,,,,,2.0,3.0,1.0,,,,,,,,
14015513,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,5.0,2.0,,,0.0,1.0,1.0,1.0,4.0,1.0,,,17.0,7.0,6.7,3.0,,"{'original': 6.7, 'alternative': 7.4}",2,-0.05,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,40.0,,,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,0.24,,,,,,,1.0,,,,1.0,,,,,,
14015513,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,13.0,1.0,6.5,,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015513,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,0.0,,,,,,,,1.0,2.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14015513,home,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,6224,FK Novi Pazar,1149283,Milos Vracar,milos-vracar,D,19,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,44355,FK Novi Pazar,1417030,Burak Ingenç,burak-ingenc,M,30,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
