match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,interceptionWon,blockedScoringAttempt,shotOffTarget,keyPass,clearanceOffLine
14833029,home,509406,FK Arsenal Tivat,941693,Aleksandar Katanić,aleksandar-katanic,F,9,False,8.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,60.0,19.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,37.5,,,,,1.0,,,,,
14833029,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,True,16.0,13.0,1.0,0.0,0.0,2.0,3.0,10.0,12.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,30.0,21.0,6.6,3.0,0.0,0.01,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,81.25,0.0,100.0,,,,,,,1.0,
14833029,home,6223,FK Arsenal Tivat,881019,Vanja Vučićević,vanja-vucicevic,F,22,True,5.0,2.0,1.0,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,30.0,11.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,40.0,0.0,,,,1.0,,,,,
14833029,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,6.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,21.0,12.0,6.0,6.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,66.66666666666666,0.0,,0.0,,,,,,,
14833029,home,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,D,20,True,4.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,2.0,7.0,,0.0,0.05,0.0,,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,1.0,,,
14833029,home,37956,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,home,37956,FK Arsenal Tivat,1799087,Mihailo Živaljević,mihailo-zivaljevic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,home,37956,FK Arsenal Tivat,2210663,Aleksa Kralj,aleksa-kralj,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,home,37956,FK Arsenal Tivat,2296517,Marko Telesmanić,marko-telesmanic,F,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,home,37956,FK Arsenal Tivat,2210662,Vasilije Kašćelan,vasilije-kascelan,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
