minute,value
1.0,-8
2.0,-5
3.0,13
4.0,13
5.0,18
6.0,16
7.0,15
8.0,13
9.0,12
10.0,12
11.0,40
12.0,27
13.0,24
14.0,22
15.0,34
16.0,54
17.0,39
18.0,22
19.0,3
20.0,-64
21.0,-40
22.0,-37
23.0,-25
24.0,-14
25.0,-22
26.0,-43
27.0,-21
28.0,-9
29.0,-2
30.0,-35
31.0,-16
32.0,42
33.0,25
34.0,35
35.0,19
36.0,10
37.0,28
38.0,30
39.0,13
40.0,8
41.0,3
42.0,-4
43.0,-7
44.0,39
45.0,-39
45.5,-42
46.0,-1
47.0,-8
48.0,-6
49.0,-6
50.0,-7
51.0,-40
52.0,-28
53.0,-75
54.0,-49
55.0,-41
56.0,-69
57.0,-31
58.0,-10
59.0,-3
60.0,-2
61.0,3
62.0,-1
63.0,-27
64.0,-17
65.0,19
66.0,59
67.0,95
68.0,56
69.0,25
70.0,10
71.0,59
72.0,29
73.0,27
74.0,10
75.0,10
76.0,-2
77.0,23
78.0,-15
79.0,22
80.0,13
81.0,-9
82.0,-2
83.0,23
84.0,10
85.0,9
86.0,10
87.0,20
88.0,11
89.0,3
90.0,11
90.5,17
