match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,aerialLost,duelLost,outfielderBlock,unsuccessfulTouch,fouls,keyPass,wasFouled,totalCross,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,shotValueNormalized,blockedScoringAttempt,goals,totalOffside,bigChanceCreated,bigChanceMissed,accurateCross,totalKeeperSweeper,accurateKeeperSweeper
14015515,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,44.0,34.0,20.0,11.0,0.0,31.0,34.0,3.0,10.0,7.0,1.0,2.0,4.0,90.0,53.0,7.5,10.0,0.4965,"{'original': 7.5, 'alternative': 7.7}",0,0.06,-0.09,0.18,0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.27272727272727,55.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,45.0,40.0,4.0,2.0,0.0,26.0,30.0,14.0,15.0,5.0,,,,90.0,61.0,7.5,5.0,,"{'original': 7.5, 'alternative': 7.5}",0,0.16,0.04,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,88.88888888888889,50.0,,,,3.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,58.0,50.0,7.0,3.0,0.0,40.0,44.0,10.0,14.0,8.0,,,,90.0,72.0,7.5,9.0,,"{'original': 7.5, 'alternative': 7.4}",0,0.17,0.14,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,3,1,86.20689655172413,42.857142857142854,,,,3.0,6.0,4.0,,3.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,58.0,51.0,7.0,1.0,0.0,31.0,31.0,20.0,27.0,2.0,,,,90.0,64.0,7.4,7.0,,"{'original': 7.4, 'alternative': 7}",0,0.27,0.17,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,87.93103448275862,14.285714285714285,,,,2.0,4.0,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,False,34.0,30.0,4.0,3.0,0.0,23.0,26.0,7.0,8.0,1.0,,,,69.0,51.0,6.9,9.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.06,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,2,4,88.23529411764706,75.0,,50.0,,3.0,5.0,5.0,2.0,,,3.0,7.0,,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
14015515,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,46.0,35.0,4.0,2.0,0.0,25.0,32.0,10.0,14.0,10.0,,,,90.0,64.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7.1}",2,0.04,0.09,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,6,3,76.08695652173914,50.0,,50.0,,,6.0,3.0,1.0,3.0,2.0,3.0,6.0,1.0,1.0,3.0,,2.0,,,,2.0,1.0,1.0,1.0,-0.17,,,,,,,,
14015515,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,14.0,12.0,,,0.0,6.0,6.0,6.0,8.0,2.0,,,,85.0,24.0,6.3,5.0,,"{'original': 6.3, 'alternative': 6.5}",2,-0.16,0.2,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,85.71428571428571,,,,,1.0,3.0,,,1.0,,1.0,8.0,,1.0,3.0,,1.0,,2.0,1.0,1.0,,1.0,,-0.45,1.0,,,,,,,
14015515,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,16.0,13.0,,,0.0,7.0,8.0,6.0,8.0,,,,,69.0,30.0,8.0,3.0,,"{'original': 8, 'alternative': 7.6}",2,0.1,0.11,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,81.25,,,,,1.0,5.0,4.0,,1.0,,1.0,1.0,,,,,3.0,,,,,,1.0,1.0,0.5,,1.0,,,,,,
14015515,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,36.0,31.0,2.0,1.0,0.0,17.0,17.0,14.0,19.0,3.0,,,,90.0,62.0,7.3,15.0,,"{'original': 7.3, 'alternative': 7.3}",2,0.37,0.09,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,8,5,86.11111111111111,50.0,,66.66666666666666,,,8.0,1.0,,,,,5.0,,6.0,,4.0,4.0,,3.0,,6.0,4.0,1.0,,-0.02,1.0,,1.0,,,,,
14015515,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,12.0,10.0,2.0,2.0,0.0,3.0,4.0,7.0,8.0,3.0,,,,58.0,26.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.5}",2,0.23,0.31,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,83.33333333333334,100.0,,20.0,,,3.0,1.0,,,,,6.0,,1.0,2.0,1.0,2.0,,,,5.0,1.0,2.0,,-0.55,,,1.0,,,,,
14015515,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,23.0,16.0,2.0,1.0,1.0,2.0,2.0,14.0,21.0,,,,,85.0,36.0,7.2,14.0,,"{'original': 7.2, 'alternative': 7.9}",3,0.48,0.28,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,69.56521739130434,50.0,,66.66666666666666,,4.0,6.0,,,,,,2.0,,5.0,,4.0,,,1.0,,3.0,2.0,,3.0,-0.45,,,,1.0,1.0,,,
14015515,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,23.0,20.0,,,0.0,6.0,6.0,14.0,17.0,3.0,,,,32.0,29.0,8.1,5.0,,"{'original': 8.1, 'alternative': 7.7}",1,0.3,0.49,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,86.95652173913044,,66.66666666666666,,,1.0,1.0,,1.0,,,,1.0,,,,3.0,,3.0,,,1.0,,,1.0,0.51,,1.0,,1.0,,2.0,,
14015515,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,16.0,16.0,2.0,2.0,0.0,10.0,10.0,6.0,6.0,1.0,,,,21.0,23.0,7.0,1.0,,"{'original': 7, 'alternative': 7.1}",0,0.04,-0.05,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,100.0,100.0,,,,,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14015515,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,True,16.0,14.0,1.0,,1.0,10.0,10.0,4.0,6.0,5.0,,,,21.0,21.0,7.0,5.0,,"{'original': 7, 'alternative': 7.1}",1,0.32,0.22,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,87.5,,,,,,,,1.0,,,,2.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,0.19,,,,1.0,1.0,,,
14015515,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,,,,,0.0,,,,,,,,,9.0,1.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015515,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,9.0,4.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.6}",1,-0.12,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.17,,,,,,,,
14015515,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015515,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,30.0,23.0,12.0,5.0,0.0,20.0,21.0,3.0,9.0,4.0,,3.0,5.0,90.0,40.0,6.5,8.0,1.0113,"{'original': 6.5, 'alternative': 7}",0,0.03,0.02,-0.18,0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.66666666666667,41.66666666666667,,,100.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
14015515,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,False,28.0,18.0,5.0,,0.0,12.0,16.0,6.0,12.0,3.0,,,,90.0,46.0,6.0,14.0,,"{'original': 6, 'alternative': 6.1}",0,-0.03,0.19,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,64.28571428571429,,,50.0,,,4.0,2.0,,2.0,1.0,1.0,6.0,,,2.0,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,
14015515,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,62.0,51.0,9.0,2.0,0.0,45.0,48.0,6.0,14.0,9.0,,,,90.0,73.0,6.4,11.0,,"{'original': 6.4, 'alternative': 6.6}",1,0.2,0.07,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,82.25806451612904,22.22222222222222,,100.0,,,4.0,,1.0,2.0,1.0,1.0,4.0,2.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,,-0.04,,,,,,,,
