player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,addedTime
"{'name': 'Sylvester Jasper', 'firstName': '', 'lastName': '', 'slug': 'jasper-sylvester', 'shortName': 'S. Jasper', 'position': 'M', 'jerseyNumber': '27', 'userCount': 191, 'gender': 'M', 'id': 1013994, 'fieldTranslations': {'nameTranslation': {'ar': 'جاسبر، سيلفستر', 'bn': 'জ্যাসপার, সিলভেস্টার', 'hi': 'जैस्पर, सिल्वेस्टर'}, 'shortNameTranslation': {'ar': 'ج. سيلفستر', 'bn': 'এস. জ্যাসপার', 'hi': 'एस. जैस्पर'}}}",True,save,fast-break,"{'x': 26.6, 'y': 57.5, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.7, 'z': 21.5}","{'x': 2.2, 'y': 50.2, 'z': 0}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895877,87,5206,"{'start': {'x': 57.5, 'y': 26.6}, 'block': {'x': 50.2, 'y': 2.2}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 78.5}}",4,194,2506,shot,,
"{'name': 'Nikola Ćirković', 'firstName': '', 'lastName': '', 'slug': 'nikola-cirkovic', 'shortName': 'N. Ćirković', 'position': 'D', 'jerseyNumber': '30', 'userCount': 9, 'gender': 'M', 'id': 814416, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا تشيركوفيتش', 'bn': 'নিকোলা সার্কোভিচ', 'hi': 'निकोला सिर्कोविक'}, 'shortNameTranslation': {'ar': 'ن. تشيركوفيتش', 'bn': 'এন. জিরকোভিচ', 'hi': 'एन. सिर्कोविक'}}}",True,goal,fast-break,"{'x': 5.8, 'y': 53.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.4, 'z': 8.2}",,"{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895774,86,5133,"{'start': {'x': 53.8, 'y': 5.8}, 'end': {'x': 53.6, 'y': 0}, 'goal': {'x': 53.6, 'y': 91.8}}",5,267,2433,shot,own,
"{'name': 'Mihailo Todosijevic', 'firstName': 'Mihailo Todosijevic', 'slug': 'mihailo-todosijevic', 'shortName': 'M. Todosijevic', 'position': 'F', 'jerseyNumber': '22', 'userCount': 19, 'gender': 'M', 'id': 1981982, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو تودوسيفيتش'}, 'shortNameTranslation': {'ar': 'م. تودوسيفيتش'}}}",False,miss,regular,"{'x': 10.2, 'y': 32.7, 'z': 0}",left-foot,left,"{'x': 0, 'y': 62.7, 'z': 9.7}",,"{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6895715,79,4720,"{'start': {'x': 32.7, 'y': 10.2}, 'end': {'x': 37.3, 'y': 0}, 'goal': {'x': 37.3, 'y': 90.3}}",12,680,2020,shot,,
"{'name': 'Nikola Jovanović', 'firstName': 'Nikola Jovanovic', 'lastName': '', 'slug': 'nikola-jovanovic', 'shortName': 'N. Jovanović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 23, 'gender': 'M', 'id': 1166015, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا يوفانوفيتش'}, 'shortNameTranslation': {'ar': 'ن. يوفانوفيتش'}}}",True,save,assisted,"{'x': 20.7, 'y': 65.7, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.9, 'z': 11.4}","{'x': 1.6, 'y': 51.6, 'z': 0}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895702,78,4628,"{'start': {'x': 65.7, 'y': 20.7}, 'block': {'x': 51.6, 'y': 1.6}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 88.6}}",13,772,1928,shot,,
"{'name': 'Davorin Tošić', 'firstName': 'Davorin Tosic', 'slug': 'davorin-tosic', 'shortName': 'D. Tošić', 'position': 'M', 'jerseyNumber': '14', 'userCount': 40, 'gender': 'M', 'id': 1544669, 'fieldTranslations': {'nameTranslation': {'ar': 'دافورين توشيش'}, 'shortNameTranslation': {'ar': 'د. توشيش'}}}",True,save,corner,"{'x': 11.4, 'y': 45.8, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.1, 'z': 17.1}","{'x': 1.4, 'y': 49.1, 'z': 0}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895705,76,4506,"{'start': {'x': 45.8, 'y': 11.4}, 'block': {'x': 49.1, 'y': 1.4}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 82.9}}",15,894,1806,shot,,
"{'name': 'Kwaku Karikari', 'firstName': '', 'lastName': '', 'slug': 'kwaku-karikari', 'shortName': 'K. Karikari', 'position': 'F', 'jerseyNumber': '70', 'userCount': 197, 'gender': 'M', 'id': 1399471, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو كاركارى'}, 'shortNameTranslation': {'ar': 'ك. كاركارى'}}}",True,goal,fast-break,"{'x': 9.8, 'y': 53.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 10.1}",,"{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895613,72,4260,"{'start': {'x': 53.8, 'y': 9.8}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 89.9}}",19,1140,1560,shot,regular,
"{'name': 'Janko Tumbasević', 'firstName': '', 'lastName': '', 'slug': 'janko-tumbasevic', 'shortName': 'J. Tumbasević', 'position': 'M', 'jerseyNumber': '8', 'userCount': 13, 'gender': 'M', 'id': 27863, 'fieldTranslations': {'nameTranslation': {'ar': 'جانكو تومباسيفيتش', 'bn': 'জানকো টাম্বাসেভিচ', 'hi': 'जान्को टुम्बासेविक'}, 'shortNameTranslation': {'ar': 'ج. تومباسيفيتش', 'bn': 'জে. টাম্বাসেভিচ', 'hi': 'जे. टुम्बासेविक'}}}",False,save,corner,"{'x': 2.9, 'y': 54.5, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.8, 'z': 21.5}","{'x': 2.2, 'y': 53.1, 'z': 0}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6895970,71,4243,"{'start': {'x': 54.5, 'y': 2.9}, 'block': {'x': 53.1, 'y': 2.2}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 78.5}}",20,1157,1543,shot,,
"{'name': 'Marko Konatar', 'firstName': '', 'lastName': '', 'slug': 'marko-konatar', 'shortName': 'M. Konatar', 'position': 'D', 'jerseyNumber': '3', 'userCount': 32, 'gender': 'M', 'id': 1017661, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو كوناتار'}, 'shortNameTranslation': {'ar': 'م. كوناتار'}}}",True,miss,corner,"{'x': 3, 'y': 47.4, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.7, 'z': 12.5}",,"{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895598,68,4075,"{'start': {'x': 47.4, 'y': 3}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 87.5}}",23,1325,1375,shot,,
"{'name': 'Kwaku Karikari', 'firstName': '', 'lastName': '', 'slug': 'kwaku-karikari', 'shortName': 'K. Karikari', 'position': 'F', 'jerseyNumber': '70', 'userCount': 197, 'gender': 'M', 'id': 1399471, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو كاركارى'}, 'shortNameTranslation': {'ar': 'ك. كاركارى'}}}",True,goal,regular,"{'x': 3.6, 'y': 50.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 3.2}",,"{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6895517,62,3686,"{'start': {'x': 50.5, 'y': 3.6}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 96.8}}",29,1714,986,shot,regular,
"{'name': 'Simão Pedro', 'firstName': 'Simão Pedro', 'slug': 'simao-pedro', 'shortName': 'S. Pedro', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 2239937, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمون بيدرو'}, 'shortNameTranslation': {'ar': 'س. بيدرو'}}}",True,save,assisted,"{'x': 9.8, 'y': 71.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 6.3}","{'x': 0.59999999999999, 'y': 53.1, 'z': 0}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6896210,62,3684,"{'start': {'x': 71.8, 'y': 9.8}, 'block': {'x': 53.1, 'y': 0.59999999999999}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 93.7}}",29,1716,984,shot,,
