match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,hitWoodwork,blockedScoringAttempt,keyPass
15280979,home,37956,FK Arsenal Tivat,957906,Igor Vukcevic,igor-vukcevic,F,9,False,22.0,11.0,4.0,0.0,0.0,4.0,7.0,7.0,15.0,0.0,0.0,5.0,9.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,82.0,40.0,6.9,19.0,0.02,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,14,13,6,7,50.0,0.0,,,,1.0,1.0,,,
15280979,home,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,F,11,True,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,25.0,12.0,6.6,5.0,0.02,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,75.0,,,50.0,,,1.0,,,
15280979,home,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,5.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,15.0,7.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,60.0,50.0,,0.0,,,,,,
15280979,home,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,True,4.0,1.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.0,7.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,25.0,,,,,,,,,
15280979,home,37956,FK Arsenal Tivat,1163504,David Sim,david-sim,D,17,True,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,2.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,0.0,,,,,,,,,
15280979,home,37956,FK Arsenal Tivat,1030480,Nikola Gluščević,nikola-gluscevic,F,21,True,2.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,8.0,3.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,,,,,,,,,
15280979,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,home,241802,FK Arsenal Tivat,1799087,Mihailo Živaljević,mihailo-zivaljevic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,home,37956,FK Arsenal Tivat,1486747,Vladimir Kašćelan,vladimir-kascelan,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
