minute,value
1.0,-6
2.0,-10
3.0,-13
4.0,-35
5.0,-22
6.0,-45
7.0,-38
8.0,-50
9.0,-31
10.0,-16
11.0,34
12.0,10
13.0,1
14.0,-53
15.0,-29
16.0,22
17.0,4
18.0,-4
19.0,6
20.0,46
21.0,53
22.0,24
23.0,-28
24.0,18
25.0,1
26.0,3
27.0,-8
28.0,-4
29.0,19
30.0,7
31.0,-43
32.0,-23
33.0,-14
34.0,-17
35.0,-12
36.0,-2
37.0,13
38.0,5
39.0,-23
40.0,-19
41.0,-14
42.0,-12
43.0,-14
44.0,-10
45.0,48
45.5,-58
46.0,68
47.0,3
48.0,25
49.0,8
50.0,-13
51.0,-13
52.0,-12
53.0,-11
54.0,-39
55.0,-30
56.0,23
57.0,2
58.0,-3
59.0,-8
60.0,-6
61.0,-58
62.0,-43
63.0,-58
64.0,-42
65.0,-23
66.0,-13
67.0,-16
68.0,-25
69.0,-33
70.0,-28
71.0,-20
72.0,-15
73.0,-11
74.0,-9
75.0,-8
76.0,-4
77.0,-6
78.0,27
79.0,-49
80.0,-24
81.0,-58
82.0,-34
83.0,27
84.0,4
85.0,-4
86.0,-4
87.0,-9
88.0,-6
89.0,-12
90.0,-7
90.5,-80
