match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAttempt,cornerKicks,dispossessed,diveSaves,dribblesPercentage,duelWonPercent,errorsLeadToGoal,errorsLeadToShot,expectedGoals,finalThirdEntries,finalThirdPhaseStatistic,fouledFinalThird,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,highClaims,hitWoodwork,interceptionWon,offsides,passes,penaltySaves,punches,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,touchesInOppBox,wonTacklePercent,yellowCards
14015396,7674,FK Napredak Kruševac,home,11,23,232,,21,42,44,2.0,2.0,0.0,6,8,8,1.0,3,46,,0.0,1.29,40,64,3.0,13,11,9,3.0,26,0.0,0,8,1.0,306,,,,7,2,13,41,10,15,5,12,26,7,3.0
14015396,25736,FK Novi Pazar,away,7,21,356,,16,58,46,4.0,3.0,1.0,13,9,9,0.0,11,54,,1.0,2.3,58,112,4.0,11,13,9,0.0,39,1.0,2,11,1.0,431,,,,7,5,15,26,12,25,13,15,27,7,1.0
14015397,308176,FK IMT Beograd,home,5,17,292,,19,53,43,3.0,2.0,1.0,10,6,10,,9,50,,0.0,2.61,55,67,4.0,10,20,6,2.0,38,,2,7,2.0,378,,0.0,,11,5,19,13,13,26,13,11,23,7,2.0
14015397,5148,FK Čukarički,away,2,26,270,,24,47,41,3.0,1.0,2.0,1,0,5,,7,50,,1.0,1.73,52,63,3.0,20,9,14,4.0,32,,0,7,4.0,343,,1.0,,6,5,20,32,7,12,5,15,17,3,4.0
14015398,25737,FK Radnički Niš,home,9,28,426,1.0,15,65,44,4.0,2.0,2.0,6,11,5,0.0,6,48,,,1.54,84,121,2.0,14,11,8,0.0,29,,1,8,0.0,496,,0.0,0.0,8,6,15,22,10,20,10,12,31,8,1.0
14015398,7771,FK Mladost Lučani,away,5,28,189,0.0,19,35,39,1.0,0.0,1.0,2,5,4,2.0,7,52,,,0.68,47,47,1.0,11,14,14,3.0,29,,0,12,2.0,264,,3.0,1.0,5,1,26,34,6,8,2,8,18,5,4.0
14015399,111127,FK Radnik Surdulica,home,6,27,225,,13,49,33,1.0,1.0,,4,8,11,0.0,5,45,,,1.22,74,90,2.0,19,20,5,1.0,40,,0,11,2.0,317,,,,12,10,26,24,15,26,11,17,39,14,2.0
14015399,263360,FK TSC Bačka Topola,away,1,20,231,,22,51,39,0.0,0.0,,0,1,10,3.0,12,55,,,0.23,47,34,5.0,20,19,18,10.0,44,,0,6,1.0,343,,,,1,1,24,35,2,2,0,15,7,6,2.0
14015400,36967,FK Spartak Subotica,home,0,13,237,,16,40,49,0.0,0.0,0.0,2,0,9,,5,48,1.0,0.0,1.1,52,36,4.0,16,17,9,5.0,38,2.0,0,11,0.0,319,,2.0,,3,5,20,23,3,10,7,16,8,14,3.0
14015400,5150,FK Vojvodina,away,6,25,381,,18,60,57,4.0,2.0,2.0,4,8,8,,8,52,0.0,1.0,1.98,54,79,1.0,17,15,4,4.0,40,0.0,1,12,2.0,458,,0.0,,5,8,24,12,10,17,7,20,25,17,4.0
