id,name,shortName,position,height,country_name,marketValue,dateOfBirth,preferredFoot,has_player_photo
603946,Matheus,Matheus,G,190.0,Brazil,2300000.0,1992-07-19,Right,True
1019333,Young-woo Seol,Y. W. Seol,D,181.0,South Korea,4600000.0,1998-12-05,Right,True
1406130,Veljko Milosavljević,V. Milosavljević,D,192.0,Serbia,18600000.0,2007-06-28,Right,True
227224,Miloš Veljković,M. Veljković,D,188.0,Serbia,2300000.0,1995-09-26,Right,True
904400,Nair Tiknizyan,N. Tiknizyan,D,180.0,Armenia,4099999.0,1999-05-12,Left,True
155449,Rade Krunić,R. Krunić,M,184.0,Bosnia & Herzegovina,3800000.0,1993-10-07,Right,True
1153956,Jovan Šljivić,J. Šljivić,M,176.0,Serbia,960000.0,2005-10-14,Right,True
939721,Milson,Milson,M,170.0,Angola,3600000.0,1999-10-12,Right,True
110701,Aleksandar Katai,A. Katai,M,182.0,Serbia,725000.0,1991-02-06,Right,True
278763,Mirko Ivanić,M. Ivanić,M,182.0,Montenegro,3800000.0,1993-09-13,Both,True
868268,Cherif Ndiaye,C. Ndiaye,F,188.0,Senegal,5400000.0,1996-01-23,Right,True
878830,Bruno Duarte,B. Duarte,F,182.0,Brazil,4300000.0,1996-03-24,Right,True
802665,Nemanja Radonjić,N. Radonjić,M,185.0,Serbia,2600000.0,1996-02-15,Both,True
289181,Peter Olayinka,P. Olayinka,M,188.0,Nigeria,3100000.0,1995-11-16,Right,True
827371,Timi Max Elšnik,T. M. Elšnik,M,182.0,Slovenia,7600000.0,1998-04-29,Left,True
1825955,Vasilije Kostov,V. Kostov,M,176.0,Serbia,10400000.0,2008-05-11,Right,True
1105074,Ebenezer Annan,E. Annan,D,178.0,Ghana,2400000.0,2002-08-21,Left,True
867608,Rodrigão,R. Prado,D,191.0,Brazil,2400000.0,1995-09-11,Right,True
797083,Omri Glazer,O. Glazer,G,190.0,Israel,2600000.0,1996-03-11,Right,True
1939193,Strahinja Stojković,S. Stojković,D,188.0,Serbia,770000.0,2007-03-08,Right,True
1029788,Vladimir Lučić,V. Lučić,M,185.0,Serbia,1600000.0,2002-06-28,Both,True
1146225,Stefan Leković,S. Leković,D,194.0,Serbia,2700000.0,2004-01-09,Right,True
834186,Nikola Vasiljević,N. Vasiljević,G,196.0,Serbia,390000.0,1996-06-24,Right,True
981518,Marko Bjeković,M. Bjeković,D,182.0,Serbia,535000.0,2000-09-21,Right,True
1153911,Dušan Ristić,D. Ristić,D,191.0,Bosnia & Herzegovina,195000.0,2000-10-04,Right,True
