match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,penaltyConceded,keyPass,hitWoodwork
15281007,away,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,23.0,16.0,2.0,1.0,0.0,7.0,10.0,9.0,13.0,0.0,0.0,0.0,1.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,72.0,32.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,69.56521739130434,50.0,,100.0,,,1.0,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,42.0,30.0,4.0,2.0,0.0,8.0,9.0,19.0,27.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,54.0,6.9,13.0,0.0,0.03,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,2,9,71.42857142857143,50.0,,,,1.0,,,,1.0,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1030476,Alden Škrijelj,alden-skrijelj,M,7,False,23.0,15.0,4.0,3.0,0.0,2.0,3.0,13.0,20.0,4.0,0.0,3.0,0.0,15.0,13.0,0.0,10.0,7.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,,,,90.0,52.0,7.9,16.0,0.22,0.18,"{'original': 7.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,3,25,13,12,65.21739130434783,75.0,0.0,70.0,,2.0,,,,2.0,
15281007,away,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,False,15.0,12.0,0.0,0.0,0.0,6.0,6.0,5.0,8.0,0.0,0.0,2.0,2.0,12.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,58.0,30.0,6.6,8.0,0.03,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,3,10,80.0,,,0.0,,,,1.0,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,28.0,16.0,5.0,2.0,0.0,2.0,3.0,13.0,24.0,6.0,0.0,0.0,0.0,16.0,14.0,0.0,12.0,8.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,63.0,7.1,21.0,0.01,0.15,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",30,0,30,14,16,57.14285714285714,40.0,0.0,66.66666666666666,,1.0,,1.0,,1.0,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1000576,Andrej Đukić,andrej-dukic,M,30,False,13.0,8.0,0.0,0.0,0.0,4.0,5.0,4.0,7.0,3.0,0.0,1.0,1.0,7.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,72.0,23.0,6.4,5.0,0.18,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,61.53846153846154,,0.0,0.0,,,1.0,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,24.0,19.0,0.0,0.0,0.0,3.0,3.0,16.0,21.0,0.0,0.0,5.0,5.0,10.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,35.0,7.7,12.0,1.2,0.0,"{'original': 7.7, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,10,7,2,5,79.16666666666666,,,100.0,,2.0,3.0,,,,2.0
15281007,away,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,M,9,True,15.0,8.0,0.0,0.0,0.0,1.0,2.0,6.0,12.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,32.0,19.0,6.7,7.0,0.0,0.01,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,53.333333333333336,,0.0,100.0,,,,,,1.0,
15281007,away,6219,FK Jedinstvo Bijelo Polje,808565,Haris Banda,haris-banda,D,24,True,7.0,5.0,2.0,2.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,18.0,11.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,71.42857142857143,100.0,100.0,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,True,6.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,18.0,6.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,2444992,Balsa Barovic,balsa-barovic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
15281007,away,6219,FK Jedinstvo Bijelo Polje,2223988,Zijad Mahmutović,zijad-mahmutovic,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
