minute,value
0.0,0
1.0,-13
2.0,-3
3.0,-2
4.0,-1
5.0,-1
6.0,-1
7.0,-23
8.0,-16
9.0,29
10.0,-31
11.0,-17
12.0,35
13.0,16
14.0,-45
15.0,-46
16.0,-28
17.0,-85
18.0,-56
19.0,-21
20.0,-11
21.0,-2
22.0,-35
23.0,-24
24.0,-51
25.0,-25
26.0,-16
27.0,-2
28.0,-26
29.0,-18
30.0,-10
31.0,-16
32.0,-64
33.0,-35
34.0,-15
35.0,-8
36.0,-4
37.0,-5
38.0,-6
39.0,-14
40.0,-48
41.0,-58
42.0,-54
43.0,-32
44.0,-13
45.0,6
45.5,0
46.0,6
47.0,4
48.0,3
49.0,7
50.0,5
51.0,3
52.0,2
53.0,12
54.0,7
55.0,-40
56.0,-21
57.0,-38
58.0,-28
59.0,-21
60.0,-10
61.0,6
62.0,3
63.0,8
64.0,6
65.0,-5
66.0,-6
67.0,-3
68.0,-67
69.0,-50
70.0,-54
71.0,-37
72.0,-22
73.0,-13
74.0,-7
75.0,-2
76.0,-5
77.0,-3
78.0,-1
79.0,-25
80.0,-19
81.0,-11
82.0,-1
83.0,11
84.0,-25
85.0,-39
86.0,-88
87.0,-58
88.0,-10
89.0,-5
90.0,-1
90.5,5
