match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,aerialLost,dispossessed,onTargetScoringAttempt,shotValueNormalized,bigChanceMissed,shotOffTarget,outfielderBlock,totalContest,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,hitWoodwork
14015568,home,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,False,15.0,11.0,,,0.0,3.0,3.0,8.0,12.0,2.0,70.0,26.0,5.9,9.0,52.008851293736,4.0,36.658475840874,"{'original': 5.9, 'alternative': 6.8}",3,-0.32,0.18,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,73.33333333333333,,,,,,,1.0,3.0,3.0,,,,,,4.0,2.0,2.0,29.117968589147,35.700786672005,1.0,1.0,,,,-0.59,,1.0,,1.0,,2.0,,1.0,,,,,
14015568,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,27.0,23.0,2.0,2.0,0.0,4.0,4.0,19.0,23.0,4.0,45.0,36.0,7.1,10.0,98.426410252118,11.0,46.706563056259,"{'original': 7.1, 'alternative': 6.8}",0,0.4,0.11,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,85.18518518518519,100.0,28.57142857142857,,,7.0,2.0,,1.0,,,,,,,,,,12.047018603657,12.07576585563,1.0,1.0,,,,,,,,1.0,,,,,,,,,
14015568,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,7.0,4.0,2.0,,0.0,2.0,2.0,2.0,5.0,1.0,35.0,12.0,6.2,6.0,44.015317504809,3.0,32.763253748236,"{'original': 6.2, 'alternative': 6.4}",1,-0.09,0.05,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,57.14285714285714,,,,,,,,3.0,1.0,,,,1.0,,1.0,,1.0,31.652843867523,36.067923269853,1.0,,1.0,,,-0.08,,,,1.0,,1.0,,,,,,,
14015568,home,37125,FK Partizan,1655273,Matija Ninić,matija-ninic,F,42,True,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,1.0,20.0,12.0,6.4,4.0,13.386039668543,2.0,10.866077009027,"{'original': 6.4, 'alternative': 6.7}",1,0.03,-0.08,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,71.42857142857143,,,50.0,,,,,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,-0.41,,,,2.0,1.0,,,,,,,,
14015568,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,13.0,11.0,,,0.0,2.0,2.0,9.0,11.0,,20.0,20.0,7.0,5.0,82.505152866979,8.0,51.501953127177,"{'original': 7, 'alternative': 6.9}",2,0.05,0.11,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,84.61538461538461,,,,,2.0,,,2.0,,,1.0,,,,,,,24.48330774943,57.009385505625,3.0,,1.0,,1.0,-0.18,,1.0,,1.0,,,,,,,,,
14015568,home,37125,FK Partizan,2235877,Marko Lekić,marko-lekic,F,46,True,7.0,6.0,,,0.0,2.0,2.0,4.0,5.0,,15.0,11.0,6.6,2.0,10.215306516972,2.0,8.0278038127897,"{'original': 6.6, 'alternative': 6.8}",1,0.03,0.03,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,85.71428571428571,,,,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,-0.11,,1.0,,,,,,,,,,,
14015568,home,37125,FK Partizan,1584966,Dušan Makević,dusan-makevic,D,88,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
