minute,value
1.0,6
2.0,-4
3.0,6
4.0,-4
5.0,3
6.0,9
7.0,8
8.0,-48
9.0,-33
10.0,-20
11.0,-57
12.0,-38
13.0,21
14.0,28
15.0,7
16.0,13
17.0,9
18.0,5
19.0,8
20.0,17
21.0,16
22.0,16
23.0,6
24.0,10
25.0,7
26.0,-4
27.0,2
28.0,3
29.0,3
30.0,3
31.0,3
32.0,8
33.0,6
34.0,4
35.0,4
36.0,4
37.0,13
38.0,19
39.0,13
40.0,14
41.0,-34
42.0,-40
43.0,-29
44.0,-11
45.0,-11
45.5,-30
46.0,2
47.0,33
48.0,-24
49.0,-7
50.0,-33
51.0,-24
52.0,-21
53.0,-10
54.0,32
55.0,44
56.0,28
57.0,-39
58.0,-63
59.0,-39
60.0,-34
61.0,-25
62.0,-16
63.0,-25
64.0,31
65.0,12
66.0,3
67.0,3
68.0,10
69.0,10
70.0,12
71.0,9
72.0,17
73.0,11
74.0,2
75.0,12
76.0,13
77.0,3
78.0,-5
79.0,-1
80.0,6
81.0,3
82.0,-15
83.0,-57
84.0,-100
85.0,-76
86.0,-50
87.0,-23
88.0,-5
89.0,-24
90.0,-1
90.5,80
