player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",True,block,throw-in-set-piece,"{'x': 4, 'y': 36, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 4, 'y': 36, 'z': 0}",0.05226,6561349,90,5.0,5646,"{'start': {'x': 36, 'y': 4}, 'block': {'x': 36, 'y': 4}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,654,246,shot,,
"{'name': 'Alden Škrijelj', 'firstName': '', 'lastName': '', 'slug': 'alden-skrijelj', 'shortName': 'A. Škrijelj', 'position': 'M', 'userCount': 7, 'gender': 'M', 'id': 1030476, 'fieldTranslations': {'nameTranslation': {'ar': 'ألدن شكيليتش'}, 'shortNameTranslation': {'ar': 'أ. شكيليتش'}}}",False,block,regular,"{'x': 24, 'y': 65, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 65, 'z': 0}",0.02367,6561348,89,,5309,"{'start': {'x': 65, 'y': 24}, 'block': {'x': 65, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",2,91,2609,shot,,
"{'name': 'Jovan Dašić', 'firstName': '', 'lastName': '', 'slug': 'jovan-dasic', 'shortName': 'J. Dašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 9, 'gender': 'M', 'id': 1005622, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان داشيتش', 'hi': 'जोवन दासिच', 'bn': 'জোভান দাসিচ'}, 'shortNameTranslation': {'ar': 'ي. داشيتش', 'hi': 'जे. दासिच', 'bn': 'জে. দাসিচ'}}}",False,goal,corner,"{'x': 7, 'y': 41, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.3, 'z': 19.4}",,0.1286,6561347,84,,4992,"{'start': {'x': 41, 'y': 7}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 80.6}}",7,408,2292,shot,regular,0.2829
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",True,miss,regular,"{'x': 22, 'y': 42, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.3, 'z': 44.7}",,0.01424,6561346,64,,3837,"{'start': {'x': 42, 'y': 22}, 'end': {'x': 56.7, 'y': 0}, 'goal': {'x': 56.7, 'y': 55.3}}",27,1563,1137,shot,,
"{'name': 'Matija Rovčanin', 'firstName': '', 'lastName': '', 'slug': 'matija-rovcanin', 'shortName': 'M. Rovčanin', 'position': 'F', 'jerseyNumber': '21', 'userCount': 9, 'gender': 'M', 'id': 1404815, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا روفشانتش'}, 'shortNameTranslation': {'ar': 'م. روفشانتش'}}}",False,miss,corner,"{'x': 8, 'y': 38, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57, 'z': 41.7}",,0.0322,6561345,58,,3461,"{'start': {'x': 38, 'y': 8}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 58.3}}",33,1939,761,shot,,
"{'name': 'Vukas Dragović', 'slug': 'vukas-dragovic', 'shortName': 'V. Dragović', 'position': 'M', 'jerseyNumber': '99', 'userCount': 9, 'gender': 'M', 'id': 1484678, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاس دراجوفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجوفيتش'}}}",False,block,regular,"{'x': 12, 'y': 54, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 12, 'y': 54, 'z': 0}",0.2305,6561344,57,,3374,"{'start': {'x': 54, 'y': 12}, 'block': {'x': 54, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",34,2026,674,shot,,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,block,regular,"{'x': 13, 'y': 60, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 13, 'y': 60, 'z': 0}",0.1685,6561343,54,,3191,"{'start': {'x': 60, 'y': 13}, 'block': {'x': 60, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",37,2209,491,shot,,
"{'name': 'Jovan Dašić', 'firstName': '', 'lastName': '', 'slug': 'jovan-dasic', 'shortName': 'J. Dašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 9, 'gender': 'M', 'id': 1005622, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان داشيتش', 'hi': 'जोवन दासिच', 'bn': 'জোভান দাসিচ'}, 'shortNameTranslation': {'ar': 'ي. داشيتش', 'hi': 'जे. दासिच', 'bn': 'জে. দাসিচ'}}}",False,block,regular,"{'x': 24, 'y': 48, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 48, 'z': 0}",0.0428,6561342,50,,2989,"{'start': {'x': 48, 'y': 24}, 'block': {'x': 48, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",41,2411,289,shot,,
"{'name': 'Vukas Dragović', 'slug': 'vukas-dragovic', 'shortName': 'V. Dragović', 'position': 'M', 'jerseyNumber': '99', 'userCount': 9, 'gender': 'M', 'id': 1484678, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاس دراجوفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجوفيتش'}}}",False,miss,regular,"{'x': 24, 'y': 27, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.7, 'z': 14.4}",,0.02888,6561341,48,,2877,"{'start': {'x': 27, 'y': 24}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 85.6}}",43,2523,177,shot,,
"{'name': 'Yann Michael Yao', 'firstName': '', 'lastName': '', 'slug': 'yann-michael-yao', 'shortName': 'Y. M. Yao', 'position': 'M', 'jerseyNumber': '11', 'userCount': 17, 'gender': 'M', 'id': 894450, 'fieldTranslations': {'nameTranslation': {'ar': 'يان ميخائيل ياو'}, 'shortNameTranslation': {'ar': 'ي. ياو'}}}",False,miss,set-piece,"{'x': 22, 'y': 40, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.9, 'z': 2.5}",,0.03261,6561340,45,1.0,2702,"{'start': {'x': 40, 'y': 22}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 97.5}}",1,2698,2,shot,,
