player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Mamadou Camara', 'firstName': '', 'lastName': '', 'slug': 'mamadou-camara', 'shortName': 'M. Camara', 'position': 'M', 'jerseyNumber': '78', 'userCount': 110, 'gender': 'M', 'id': 1134549, 'fieldTranslations': {'nameTranslation': {'ar': 'مامادو كامارا', 'bn': 'মামাদু কামারা', 'hi': 'मामादौ कैमारा'}, 'shortNameTranslation': {'ar': 'م. كامارا', 'bn': 'এম. কামারা', 'hi': 'एम. कैमारा'}}}",True,block,regular,"{'x': 15, 'y': 48, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 15, 'y': 48, 'z': 0}",0.04809,6830638,90,1.0,5403,"{'start': {'x': 48, 'y': 15}, 'block': {'x': 48, 'y': 15}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,897,3,shot,,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",True,goal,free-kick,"{'x': 28, 'y': 60, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53, 'z': 19.1}",,0.04125,6830639,79,,4723,"{'start': {'x': 60, 'y': 28}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 80.9}}",12,677,2023,shot,regular,0.1408
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,miss,corner,"{'x': 5, 'y': 43, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.2, 'z': 19.8}",,0.111,6830637,72,,4316,"{'start': {'x': 43, 'y': 5}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 80.2}}",19,1084,1616,shot,,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 13, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'bn': 'স্টেফানো নাউমোভস্কি', 'hi': 'स्टेफानो अल्मेडा'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'bn': 'এস. নাউমোভস্কি', 'hi': 'एस. अल्मेडा'}}}",True,save,regular,"{'x': 11, 'y': 76, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 48.1, 'z': 24.5}",,0.01444,6830636,59,,3499,"{'start': {'x': 76, 'y': 11}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 75.5}}",32,1901,799,shot,,0.005848
"{'name': 'Luka Uskoković', 'slug': 'luka-uskokovic', 'shortName': 'L. Uskoković', 'position': 'D', 'jerseyNumber': '4', 'userCount': 28, 'gender': 'M', 'id': 605370, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا أوسكوكوفيتش', 'bn': 'লুকা উস্কোকোভিচ', 'hi': 'लुका उसकोकोविच'}, 'shortNameTranslation': {'ar': 'ل. أوسكوكوفيتش', 'bn': 'এল. উস্কোকোভিচ', 'hi': 'एल. उसकोकोविच'}}}",True,save,set-piece,"{'x': 5, 'y': 66, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 12.1}",,0.02438,6830635,56,,3307,"{'start': {'x': 66, 'y': 5}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 87.9}}",35,2093,607,shot,,0.296
"{'name': 'Jovan Vujisic', 'slug': 'jovan-vujisic', 'shortName': 'J. Vujisic', 'position': 'D', 'jerseyNumber': '5', 'userCount': 5, 'gender': 'M', 'id': 1036138, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان فويجيسيتش'}, 'shortNameTranslation': {'ar': 'ي. فويجيسيتش'}}}",True,miss,regular,"{'x': 30, 'y': 63, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.1, 'z': 52.9}",,0.004234,6830634,48,,2856,"{'start': {'x': 63, 'y': 30}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 47.1}}",43,2544,156,shot,,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",True,block,regular,"{'x': 17, 'y': 30, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 17, 'y': 30, 'z': 0}",0.01341,6830633,42,,2505,"{'start': {'x': 30, 'y': 17}, 'block': {'x': 30, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,195,2505,shot,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,miss,regular,"{'x': 16, 'y': 50, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.8, 'z': 25.1}",,0.06615,6830632,40,,2362,"{'start': {'x': 50, 'y': 16}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 74.9}}",6,338,2362,shot,,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,save,regular,"{'x': 9, 'y': 40, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.6, 'z': 5.2}",,0.128,6830631,39,,2298,"{'start': {'x': 40, 'y': 9}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 94.8}}",7,402,2298,shot,,0.09645
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,save,regular,"{'x': 11, 'y': 46, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.3, 'z': 14.8}",,0.4784,6830630,26,,1526,"{'start': {'x': 46, 'y': 11}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 85.2}}",20,1174,1526,shot,,0.7411
