match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,shotValueNormalized,totalOffside,totalCross,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,bigChanceCreated,bigChanceMissed,outfielderBlock
14015553,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,18.0,11.0,,,1.0,7.0,7.0,4.0,11.0,4.0,4.0,5.0,,,,,90.0,34.0,6.5,12.0,32.636119874481,5.0,-4.41,3.885,,"{'original': 6.5, 'alternative': 7.1}",2,0.28,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,0,6,61.111111111111114,,,,,2.0,8.0,,,,1.0,,,,3.0,4.0,2.0,1.0,-0.36,,,,1.0,,,2.0,1.0,,
14015553,home,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,7.0,5.0,,,0.0,3.0,4.0,2.0,3.0,,3.0,3.0,,,,,45.0,15.0,6.7,4.0,33.860441301819,4.0,27.195,17.745,,"{'original': 6.7, 'alternative': 6.5}",1,-0.02,0.53,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,71.42857142857143,,,100.0,,,2.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,-0.56,,,,1.0,,,1.0,,1.0,
14015553,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,9.0,8.0,,,0.0,6.0,7.0,2.0,2.0,,,3.0,,,,,32.0,15.0,6.6,2.0,7.9768054272402,2.0,2.205,4.725,,"{'original': 6.6, 'alternative': 6.5}",0,0.07,0.06,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,88.88888888888889,,,,,1.0,4.0,,,,2.0,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,8.0,5.0,1.0,,0.0,2.0,3.0,3.0,5.0,,,1.0,,,,,32.0,12.0,6.3,4.0,60.148909375,6.0,4.62,11.97,,"{'original': 6.3, 'alternative': 6.5}",1,-0.13,0.07,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,62.5,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,0.03,,,,,1.0,,,,,
14015553,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,5.0,3.0,2.0,,0.0,1.0,1.0,2.0,4.0,,,,,,,,12.0,9.0,6.7,3.0,7.9244609280379,1.0,7.875,7.875,,"{'original': 6.7, 'alternative': 6.5}",0,0.01,0.0,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,8.0,2.0,6.7,,3.3001456028485,1.0,3.255,3.255,,"{'original': 6.7, 'alternative': 6.5}",0,0.0,0.0,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,44355,FK Novi Pazar,1417030,Burak Ingenç,burak-ingenc,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,37.0,30.0,12.0,5.0,0.0,28.0,31.0,2.0,6.0,,,7.0,,,3.0,4.0,90.0,43.0,6.9,7.0,87.067443445653,12.0,-49.035,1.365,0.2638,"{'original': 6.9, 'alternative': 6.9}",0,0.06,0.02,-0.03,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,81.08108108108108,41.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,away,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,D,11,False,36.0,34.0,5.0,5.0,0.0,22.0,23.0,12.0,13.0,1.0,6.0,4.0,1.0,,,,88.0,63.0,6.7,9.0,105.01873197568,11.0,-25.095,11.865,,"{'original': 6.7, 'alternative': 7.1}",0,0.14,0.0,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,94.44444444444444,100.0,,100.0,,,4.0,2.0,4.0,4.0,,1.0,,,2.0,2.0,,,,,3.0,,,,,,,,
14015553,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,96.0,80.0,17.0,5.0,0.0,63.0,65.0,17.0,31.0,1.0,2.0,9.0,1.0,,,,90.0,103.0,6.9,16.0,502.33607812814,43.0,-227.64,28.455,,"{'original': 6.9, 'alternative': 6.8}",1,0.36,0.24,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,83.33333333333334,29.411764705882355,,,,1.0,1.0,,,,1.0,2.0,,,,,1.0,1.0,-0.05,,,,,,,,,,
14015553,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,97.0,88.0,11.0,8.0,0.0,51.0,51.0,37.0,46.0,2.0,3.0,6.0,1.0,,,,90.0,107.0,7.7,9.0,618.92918423476,61.0,-276.36,29.4,,"{'original': 7.7, 'alternative': 7.6}",2,0.26,0.29,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,90.72164948453609,72.72727272727273,,,,,,,,,3.0,1.0,,,,,,,-0.36,,,,2.0,,,,,,1.0
14015553,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,53.0,39.0,11.0,5.0,0.0,12.0,13.0,27.0,40.0,1.0,2.0,5.0,,,,,90.0,82.0,6.9,20.0,230.06690478925,25.0,-95.655,11.445,,"{'original': 6.9, 'alternative': 7.1}",0,0.27,0.09,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,73.58490566037736,45.45454545454545,25.0,,,,2.0,1.0,,,4.0,,1.0,1.0,1.0,,,,,,4.0,1.0,,,,1.0,,,2.0
14015553,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,61.0,59.0,5.0,3.0,0.0,30.0,30.0,29.0,31.0,3.0,13.0,12.0,3.0,,,,90.0,80.0,8.0,5.0,251.59255357062,25.0,-92.19,13.23,,"{'original': 8, 'alternative': 7.7}",0,0.24,0.19,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,10,1,96.72131147540983,60.0,,100.0,,3.0,4.0,,2.0,2.0,1.0,3.0,5.0,4.0,3.0,1.0,,,,,,,,,,,,,
14015553,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,26.0,18.0,3.0,,0.0,8.0,9.0,10.0,17.0,2.0,5.0,4.0,1.0,,,,63.0,36.0,6.5,14.0,96.08099252474,9.0,20.895,18.795,,"{'original': 6.5, 'alternative': 6.6}",0,-0.13,0.09,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,69.23076923076923,,,,,1.0,4.0,,,,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,,2.0,,,
