player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Bogdan Stamenković', 'firstName': 'Bogdan', 'lastName': 'Stamenković', 'slug': 'bogdan-stamenkovic', 'shortName': 'B. Stamenković', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 877368, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان ستامينكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. ستامينكوفيتش'}}}",True,save,set-piece,"{'x': 8, 'y': 51, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.2, 'z': 29.8}",0.4497,0.6902,6793783,90,2.0,5513,"{'start': {'x': 51, 'y': 8}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 70.2}}",1,787,113,shot,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",False,block,regular,"{'x': 18, 'y': 41, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.005226,,6793782,90,,5378,"{'start': {'x': 41, 'y': 18}, 'block': {'x': 41, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,22,2678,shot,"{'x': 18, 'y': 41, 'z': 0}"
"{'name': 'Velizar Janketić', 'firstName': '', 'lastName': '', 'slug': 'velizar-janketic', 'shortName': 'V. Janketić', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 572018, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليزار جانكيتش', 'bn': 'ভেলিজার জানকেটিচ', 'hi': 'वेलिज़ार जानकेटिक'}, 'shortNameTranslation': {'ar': 'ف. جانكيتش', 'bn': 'ভি. জানকেটিক', 'hi': 'वी. जानकेटिक'}}}",True,save,regular,"{'x': 7, 'y': 70, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 9.3}",0.07646,0.5094,6793781,86,,5149,"{'start': {'x': 70, 'y': 7}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 90.7}}",5,251,2449,shot,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",False,post,regular,"{'x': 8, 'y': 34, 'z': 0}",right-foot,left,"{'x': 0, 'y': 55.4, 'z': 4.6}",0.1231,,6793780,75,,4473,"{'start': {'x': 34, 'y': 8}, 'end': {'x': 44.6, 'y': 0}, 'goal': {'x': 44.6, 'y': 95.4}}",16,927,1773,shot,
"{'name': 'Jovan Vujisic', 'slug': 'jovan-vujisic', 'shortName': 'J. Vujisic', 'position': 'D', 'jerseyNumber': '5', 'userCount': 5, 'gender': 'M', 'id': 1036138, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان فويجيسيتش'}, 'shortNameTranslation': {'ar': 'ي. فويجيسيتش'}}}",False,miss,corner,"{'x': 7, 'y': 51, 'z': 0}",head,close-high,"{'x': 0, 'y': 55.7, 'z': 54.6}",0.188,,6793779,73,,4339,"{'start': {'x': 51, 'y': 7}, 'end': {'x': 44.3, 'y': 0}, 'goal': {'x': 44.3, 'y': 45.4}}",18,1061,1639,shot,
"{'name': 'Velizar Janketić', 'firstName': '', 'lastName': '', 'slug': 'velizar-janketic', 'shortName': 'V. Janketić', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 572018, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليزار جانكيتش', 'bn': 'ভেলিজার জানকেটিচ', 'hi': 'वेलिज़ार जानकेटिक'}, 'shortNameTranslation': {'ar': 'ف. جانكيتش', 'bn': 'ভি. জানকেটিক', 'hi': 'वी. जानकेटिक'}}}",True,save,regular,"{'x': 11, 'y': 31, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 2.6}",0.2516,0.297,6793778,69,,4113,"{'start': {'x': 31, 'y': 11}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 97.4}}",22,1287,1413,shot,
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 8, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",False,save,throw-in-set-piece,"{'x': 23, 'y': 74, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 5.4}",0.02184,0.03075,6793777,55,,3296,"{'start': {'x': 74, 'y': 23}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 94.6}}",36,2104,596,shot,
"{'name': 'Bakir Nurkovic', 'firstName': 'Bakir Nurkovic', 'slug': 'bakir-nurkovic', 'shortName': 'B. Nurković', 'position': 'M', 'jerseyNumber': '30', 'userCount': 70, 'gender': 'M', 'id': 1149081, 'fieldTranslations': {'nameTranslation': {'ar': 'ليديا وارن'}, 'shortNameTranslation': {'ar': 'ل. وارن'}}}",True,miss,regular,"{'x': 28, 'y': 79, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.1, 'z': 51.7}",0.03608,,6793776,48,,2850,"{'start': {'x': 79, 'y': 28}, 'end': {'x': 57.9, 'y': 0}, 'goal': {'x': 57.9, 'y': 48.3}}",43,2550,150,shot,
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'bn': 'আন্দ্রেকো জোভানোভিচ', 'hi': 'एन्डेल्को जोवानोविक'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'bn': 'এ. জোভানোভিচ', 'hi': 'ए. जोवानोविक'}}}",False,save,corner,"{'x': 20, 'y': 30, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 6.9}",0.06805,0.02224,6793775,38,,2248,"{'start': {'x': 30, 'y': 20}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 93.1}}",8,452,2248,shot,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'M', 'jerseyNumber': '10', 'userCount': 15, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,miss,throw-in-set-piece,"{'x': 18, 'y': 71, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.9, 'z': 43.2}",0.02259,,6793774,25,,1457,"{'start': {'x': 71, 'y': 18}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 56.8}}",21,1243,1457,shot,
