match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,shotOffTarget,interceptionWon,shotValueNormalized,dispossessed,errorLeadToAShot,bigChanceCreated,blockedScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalContest,wonContest,onTargetScoringAttempt,lastManTackle,bigChanceMissed,goals,penaltyConceded,challengeLost,punches,outfielderBlock,totalOffside,penaltyWon,penaltyMiss
14015595,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,34.0,21.0,16.0,4.0,0.0,17.0,21.0,4.0,13.0,7.0,2.0,1.0,1.0,3.0,90.0,41.0,7.8,14.0,23.354194137258,3.0,10.099155935099,0.0,0.5802,"{'original': 7.8, 'alternative': 7.9}",0,-0.02,-0.02,0.15,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,61.76470588235294,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,33.0,30.0,4.0,2.0,0.0,20.0,21.0,10.0,12.0,3.0,,,,,87.0,46.0,7.0,6.0,44.953449771076,7.0,12.603008875793,0.0,,"{'original': 7, 'alternative': 6.8}",0,0.12,0.04,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,90.9090909090909,50.0,33.33333333333333,,,3.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,33.0,31.0,2.0,2.0,0.0,22.0,22.0,9.0,11.0,2.0,,,,,90.0,43.0,7.1,2.0,28.228393077555,5.0,5.716141247471,0.0,,"{'original': 7.1, 'alternative': 7.3}",2,0.1,0.01,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,10,1,1,0,93.93939393939394,100.0,,,,,,6.0,4.0,7.0,5.0,1.0,1.0,,,,4.0,2.0,2.0,-0.53,,,,,,,,,,,,,,,,,,,,
14015595,home,2321,FK Crvena zvezda,940827,Strahinja Eraković,strahinja-erakovic,D,25,False,57.0,46.0,4.0,1.0,0.0,30.0,33.0,16.0,24.0,2.0,,,,,90.0,76.0,7.1,12.0,90.114631510665,13.0,64.503015686114,0.0,,"{'original': 7.1, 'alternative': 7.1}",0,0.17,0.07,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,80.7017543859649,25.0,,,,,,5.0,4.0,8.0,7.0,2.0,1.0,,1.0,1.0,2.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,49.0,38.0,2.0,,1.0,17.0,20.0,21.0,29.0,7.0,,,,,90.0,75.0,7.5,18.0,194.9016366325,21.0,64.735355761976,2.0,,"{'original': 7.5, 'alternative': 7.8}",2,0.74,0.28,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,77.55102040816327,,33.33333333333333,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,,1.0,2.0,-0.18,,,1.0,1.0,14.940583051944,33.484023085394,2.0,,,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,34.0,25.0,4.0,2.0,0.0,9.0,11.0,16.0,23.0,4.0,,,,,87.0,53.0,7.2,15.0,69.373599478873,7.0,27.730593792451,2.0,,"{'original': 7.2, 'alternative': 6.9}",1,0.41,0.53,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,73.52941176470588,50.0,50.0,100.0,,6.0,3.0,2.0,3.0,4.0,,1.0,1.0,1.0,,1.0,,,,-0.01,2.0,,1.0,1.0,16.4775936296,34.484965521446,3.0,1.0,1.0,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,50.0,40.0,7.0,3.0,0.0,24.0,27.0,16.0,23.0,4.0,,,,,90.0,65.0,7.2,12.0,114.71271859769,14.0,19.178237272122,0.0,,"{'original': 7.2, 'alternative': 7.3}",2,0.26,0.21,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,80.0,42.857142857142854,,,,,,2.0,4.0,6.0,1.0,1.0,,1.0,3.0,4.0,,,2.0,-0.12,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,1916326,Douglas Owusu,owusu-douglas,M,35,False,22.0,18.0,1.0,1.0,0.0,8.0,9.0,10.0,13.0,5.0,,,,,79.0,36.0,6.5,10.0,89.21142932178,12.0,47.152578910479,1.0,,"{'original': 6.5, 'alternative': 7}",1,-0.1,0.04,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,81.81818181818183,100.0,,100.0,,3.0,,,3.0,3.0,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,-0.02,,,,,14.337800480339,14.433935049043,,1.0,1.0,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,23.0,19.0,,,1.0,10.0,11.0,9.0,12.0,5.0,,,,,90.0,39.0,7.2,11.0,67.648188471027,5.0,-1.7354331416759,0.0,,"{'original': 7.2, 'alternative': 8.2}",3,0.33,0.01,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,82.6086956521739,,100.0,,,1.0,1.0,1.0,6.0,4.0,,3.0,,3.0,,1.0,1.0,1.0,2.0,0.36,2.0,,,,,,3.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,
14015595,home,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,26.0,20.0,4.0,2.0,0.0,2.0,3.0,18.0,23.0,5.0,,,,,79.0,46.0,9.2,13.0,196.8294997082,19.0,87.638266742148,4.0,,"{'original': 9.2, 'alternative': 8.4}",5,0.77,0.51,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,76.92307692307693,50.0,,66.66666666666666,,4.0,,1.0,5.0,8.0,,1.0,1.0,,2.0,2.0,,1.0,,0.47,1.0,,1.0,2.0,20.745844990413,83.664276253902,1.0,6.0,4.0,2.0,,1.0,1.0,,,,,,,
