match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,bigChanceCreated,interceptionWon,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,shotValueNormalized,dispossessed,blockedScoringAttempt,challengeLost,bigChanceMissed,onTargetScoringAttempt,totalOffside,goodHighClaim,punches,outfielderBlock,goals
14015538,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,False,14.0,9.0,1.0,,0.0,4.0,4.0,5.0,10.0,,3.0,,,,,,90.0,28.0,6.4,9.0,8.3695460514603,2.0,-5.67,-1.365,,"{'original': 6.4, 'alternative': 5.8}",3,-0.05,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,64.28571428571429,,,,,,,5.0,5.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,,3.0,1.0,2.0,-0.63,,,,3.0,1.0,,,,,
14015538,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,14.0,14.0,1.0,1.0,0.0,,,14.0,14.0,,1.0,,,,,,45.0,23.0,6.6,6.0,40.985282660493,4.0,5.355,12.705,,"{'original': 6.6, 'alternative': 6.8}",1,0.08,-0.13,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,100.0,100.0,,,,3.0,,2.0,3.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,-0.25,1.0,,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,33.0,29.0,2.0,2.0,0.0,3.0,4.0,26.0,29.0,,3.0,,,,,,27.0,40.0,7.1,11.0,32.747229930581,4.0,6.615,5.985,,"{'original': 7.1, 'alternative': 6.9}",0,0.45,0.08,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,87.87878787878788,100.0,,,,7.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,
14015538,home,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,,,,27.0,8.0,6.7,1.0,21.536377683495,2.0,-1.575,2.1,,"{'original': 6.7, 'alternative': 6.8}",2,0.13,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,100.0,,,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,-0.35,,2.0,,,,1.0,,,,
14015538,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,17.0,13.0,,,0.0,2.0,2.0,11.0,15.0,,3.0,,,,,,19.0,24.0,6.6,8.0,128.59972297936,13.0,25.095,30.135,,"{'original': 6.6, 'alternative': 6.9}",1,0.1,0.27,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,76.47058823529412,,,100.0,,3.0,,1.0,3.0,1.0,1.0,,,,,,1.0,1.0,2.0,,,1.0,,-0.15,,1.0,,,,,,,,
14015538,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,True,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,,,,,,8.0,14.0,6.8,3.0,32.029796272809,3.0,-9.765,10.08,,"{'original': 6.8, 'alternative': 7.3}",1,0.26,-0.29,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,85.71428571428571,,33.33333333333333,100.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,-0.26,,1.0,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,32.0,15.0,22.0,5.0,0.0,13.0,15.0,2.0,17.0,2.0,11.0,,1.0,2.0,,,90.0,47.0,7.0,17.0,32.907345699595,5.0,3.15,4.725,0.0245,"{'original': 7, 'alternative': 7.2}",0,0.08,0.12,0.34,0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,46.875,22.727272727272727,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,4.0,1.0,,
14015538,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,18.0,13.0,4.0,1.0,0.0,5.0,7.0,8.0,11.0,4.0,2.0,,,,,,90.0,43.0,7.4,8.0,48.997445870674,6.0,-25.41,5.25,,"{'original': 7.4, 'alternative': 7.4}",0,0.02,-0.02,0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,6,2,72.22222222222221,25.0,,,,,,3.0,8.0,1.0,,,1.0,,1.0,,1.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,
14015538,away,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,29.0,21.0,10.0,4.0,0.0,15.0,18.0,6.0,11.0,12.0,2.0,,,,,,90.0,46.0,7.5,8.0,92.738560925781,15.0,-54.915,1.365,,"{'original': 7.5, 'alternative': 7.5}",0,0.21,0.1,0.68,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,72.41379310344827,40.0,,,,,,3.0,2.0,,,,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,,,,,,,2.0,
14015538,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,17.0,13.0,6.0,2.0,0.0,10.0,11.0,3.0,6.0,18.0,2.0,,,,,,90.0,42.0,7.3,4.0,43.069128109642,6.0,-22.365,0.315,,"{'original': 7.3, 'alternative': 7.4}",0,0.01,0.02,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,76.47058823529412,33.33333333333333,,,,,,2.0,3.0,,,,3.0,,1.0,,,,2.0,,,2.0,,,,,,,,,,,1.0,
14015538,away,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,15.0,8.0,6.0,4.0,0.0,5.0,10.0,3.0,5.0,9.0,3.0,,,,,,90.0,42.0,7.0,11.0,79.611353634519,10.0,1.995,11.445,,"{'original': 7, 'alternative': 7.5}",1,0.09,0.01,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,53.333333333333336,66.66666666666666,50.0,,,2.0,1.0,5.0,3.0,,,,4.0,,3.0,2.0,1.0,,2.0,,1.0,,,-0.03,,,2.0,,1.0,,,,1.0,
14015538,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,16.0,12.0,,,0.0,6.0,8.0,6.0,8.0,3.0,1.0,,,,,,90.0,27.0,7.0,4.0,52.619178944839,4.0,-7.98,16.275,,"{'original': 7, 'alternative': 6.6}",1,-0.06,0.51,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,75.0,,,,,,,2.0,3.0,,,,1.0,,,,,1.0,2.0,,,2.0,,-0.55,,,,1.0,1.0,,,,,
14015538,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,34.0,19.0,12.0,3.0,1.0,9.0,10.0,10.0,24.0,1.0,7.0,,,,,,81.0,49.0,7.1,19.0,91.096711005168,14.0,-21.63,6.09,,"{'original': 7.1, 'alternative': 7.2}",1,0.15,0.14,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,55.88235294117647,25.0,,,,2.0,,,4.0,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,0.0,,,,,,,,,,
14015538,away,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,19.0,15.0,3.0,1.0,0.0,6.0,9.0,9.0,10.0,1.0,8.0,,,,,,80.0,42.0,7.4,13.0,202.12000915349,18.0,-107.73,11.97,,"{'original': 7.4, 'alternative': 7}",1,-0.28,0.51,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,5,12,78.94736842105263,33.33333333333333,,25.0,,,,13.0,5.0,4.0,1.0,,2.0,,1.0,1.0,2.0,3.0,3.0,,1.0,,,0.51,2.0,,4.0,,1.0,,,,,1.0
14015538,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,22.0,14.0,2.0,,1.0,2.0,4.0,12.0,18.0,3.0,2.0,,,,,,89.0,34.0,6.3,15.0,89.646578199351,10.0,-57.75,4.2,,"{'original': 6.3, 'alternative': 6.6}",0,0.1,0.26,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,0,9,63.63636363636363,,100.0,,,1.0,1.0,13.0,4.0,1.0,,1.0,,,,,3.0,,2.0,1.0,4.0,4.0,,,3.0,,3.0,,,2.0,,,,
14015538,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,20.0,12.0,2.0,,0.0,6.0,9.0,6.0,11.0,3.0,6.0,,,,,,86.0,39.0,7.7,13.0,89.894262459105,10.0,-39.585,13.02,,"{'original': 7.7, 'alternative': 7.4}",1,-0.18,0.22,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,60.0,,,,,,,5.0,3.0,,,,1.0,,1.0,,2.0,2.0,1.0,,,,,0.51,3.0,,1.0,,1.0,,,,1.0,1.0
14015538,away,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,False,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,1.0,,,,,,43.0,12.0,5.4,7.0,82.033320505566,7.0,13.23,26.145,,"{'original': 5.4, 'alternative': 5.3}",0,-0.03,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,1,5,80.0,,,,,,,5.0,2.0,2.0,,,,,,,2.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,1.0,1.0,,,0.0,1.0,1.0,,,2.0,,,,,,,10.0,5.0,6.5,,3.9074088601015,1.0,3.15,3.15,,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.12,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,100.0,,,,,,,4.0,1.0,,,,,,,,,1.0,,,3.0,,,,,,1.0,,,,,,,
14015538,away,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,F,24,True,3.0,1.0,,,0.0,1.0,2.0,,1.0,1.0,1.0,,,,,,9.0,5.0,6.7,2.0,25.371772900623,4.0,4.515,6.405,,"{'original': 6.7, 'alternative': 6.5}",0,-0.04,0.26,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,33.33333333333333,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
14015538,away,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,,9.0,3.0,6.7,1.0,25.761372880072,2.0,-25.41,-12.075,,"{'original': 6.7, 'alternative': 6.4}",0,0.1,0.1,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,100.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,,,,,0.0,,,0.0,0.0,3.0,,,,,,,1.0,4.0,,,26.846568793796,1.0,-21.42,-21.42,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,100.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015538,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
