match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,outfielderBlock,totalTackle,errorLeadToAShot,fouls,keyPass,wasFouled,totalContest,wonContest,interceptionWon,wonTackle,accurateCross,penaltyConceded,dispossessed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,goals,shotValueNormalized,blockedScoringAttempt,totalOffside,penaltyWon
14015554,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,23.0,11.0,17.0,5.0,0.0,7.0,8.0,4.0,15.0,8.0,1.0,2.0,1.0,4.0,1.0,1.0,90.0,31.0,7.3,13.0,10.760128087741,2.0,9.66,6.615,0.2183,"{'original': 7.3, 'alternative': 7.1}",0,0.06,0.0,-0.03,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,47.82608695652174,29.411764705882355,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015554,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,26.0,14.0,6.0,2.0,0.0,10.0,12.0,4.0,14.0,2.0,2.0,,,,,,90.0,45.0,6.8,21.0,34.704552004695,7.0,0.41999999999998,5.04,,"{'original': 6.8, 'alternative': 6.5}",0,0.15,0.0,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,53.84615384615385,33.33333333333333,,,,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015554,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,31.0,24.0,7.0,4.0,0.0,14.0,16.0,10.0,15.0,3.0,,,,,,,90.0,39.0,6.6,7.0,120.91746026732,16.0,37.695,10.29,,"{'original': 6.6, 'alternative': 6.6}",0,0.25,0.06,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,77.41935483870968,57.14285714285714,,,,,,3.0,3.0,4.0,,5.0,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,
14015554,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,38.0,22.0,10.0,,0.0,14.0,19.0,8.0,19.0,7.0,,,,,,,90.0,54.0,6.5,17.0,150.66277572889,17.0,66.99,24.675,,"{'original': 6.5, 'alternative': 6.7}",0,0.02,0.16,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,57.89473684210527,,,50.0,,,1.0,2.0,2.0,5.0,,7.0,,2.0,,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,
14015554,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,D,17,False,20.0,14.0,5.0,2.0,1.0,7.0,8.0,7.0,12.0,4.0,1.0,,,,,,90.0,37.0,6.2,9.0,50.551509006775,7.0,-17.325,9.45,,"{'original': 6.2, 'alternative': 6.4}",0,0.32,-0.09,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,70.0,40.0,50.0,,,2.0,,,6.0,4.0,3.0,2.0,,3.0,,3.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,
14015554,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,28.0,19.0,4.0,2.0,0.0,5.0,9.0,14.0,19.0,5.0,1.0,,,,,,90.0,45.0,7.3,12.0,91.447537069952,10.0,-22.365,10.08,,"{'original': 7.3, 'alternative': 7.2}",0,0.12,0.07,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,7,5,67.85714285714286,50.0,,,,,1.0,3.0,6.0,10.0,3.0,2.0,2.0,5.0,,,,2.0,1.0,,1.0,4.0,,,1.0,,,,,,,,
14015554,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,30.0,25.0,7.0,4.0,0.0,6.0,6.0,19.0,24.0,3.0,1.0,,,,,,90.0,47.0,6.7,11.0,90.119978325387,14.0,28.98,13.02,,"{'original': 6.7, 'alternative': 7.1}",0,0.31,-0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,4,9,83.33333333333334,57.14285714285714,,33.33333333333333,,3.0,1.0,3.0,10.0,7.0,,1.0,2.0,3.0,,7.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,
14015554,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,15.0,6.0,1.0,1.0,0.0,2.0,5.0,4.0,10.0,5.0,3.0,,,,,,90.0,38.0,7.4,21.0,152.06409567184,17.0,70.875,25.2,,"{'original': 7.4, 'alternative': 7.1}",3,-0.18,0.42,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,40.0,100.0,,20.0,,3.0,3.0,2.0,8.0,5.0,,1.0,,1.0,,1.0,,1.0,5.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,0.5,,,
14015554,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,19.0,11.0,2.0,,0.0,4.0,4.0,7.0,15.0,5.0,2.0,,,,,,76.0,36.0,6.7,14.0,76.722143618347,12.0,30.45,9.24,,"{'original': 6.7, 'alternative': 6.9}",3,0.05,0.55,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,57.89473684210527,,,,,1.0,,2.0,6.0,6.0,3.0,,,2.0,,,,3.0,1.0,,1.0,,,,2.0,,2.0,,,-0.59,1.0,1.0,
14015554,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,1.0,4.0,,,,,,59.0,24.0,7.1,6.0,136.83806421382,10.0,10.5,20.265,,"{'original': 7.1, 'alternative': 7.1}",0,0.02,0.22,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,88.88888888888889,,,100.0,,,1.0,1.0,3.0,5.0,,2.0,,,,1.0,,3.0,2.0,2.0,1.0,,,,1.0,,,,,,,,
