player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Stefan Leković', 'firstName': 'Stefan Lekovic', 'slug': 'stefan-lekovic', 'shortName': 'S. Leković', 'position': 'D', 'jerseyNumber': '4', 'userCount': 892, 'gender': 'M', 'id': 1146225, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ليكوفيتش', 'bn': 'স্টেফান লেকোভিচ', 'hi': 'स्टीफ़न लेकोविच'}, 'shortNameTranslation': {'ar': 'س. ليكوفيتش', 'bn': 'এস. লেকোভিচ', 'hi': 'एस. लेकोविच'}}}",True,miss,corner,"{'x': 6.9, 'y': 38.9, 'z': 0}",head,close-right,"{'x': 0, 'y': 42, 'z': 19.4}",5978733,88,5272,"{'start': {'x': 38.9, 'y': 6.9}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 80.6}}",3,128,2572,shot,,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,block,assisted,"{'x': 12.6, 'y': 34.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 19}",5978732,88,5236,"{'start': {'x': 34.2, 'y': 12.6}, 'block': {'x': 35.6, 'y': 11.2}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 81}}",3,164,2536,shot,"{'x': 11.2, 'y': 35.6, 'z': 0}",
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,save,fast-break,"{'x': 14.4, 'y': 33.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 3.8}",5978722,87,5205,"{'start': {'x': 33.3, 'y': 14.4}, 'block': {'x': 48.2, 'y': 1.9}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 96.2}}",4,195,2505,shot,"{'x': 1.9, 'y': 48.2, 'z': 0}",
"{'name': 'Tomás Händel', 'firstName': 'Tomás Händel', 'lastName': '', 'slug': 'tomas-handel', 'shortName': 'T. Händel', 'position': 'M', 'jerseyNumber': '20', 'userCount': 976, 'gender': 'M', 'id': 1131048, 'fieldTranslations': {'nameTranslation': {'ar': 'توماس هاندل'}, 'shortNameTranslation': {'ar': 'ت. هاندل'}}}",True,miss,assisted,"{'x': 26.8, 'y': 46.9, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.3, 'z': 9.7}",6014017,86,5158,"{'start': {'x': 46.9, 'y': 26.8}, 'block': {'x': 51.1, 'y': 17.6}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 90.3}}",5,242,2458,shot,"{'x': 17.6, 'y': 51.1, 'z': 0}",
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,miss,assisted,"{'x': 9.1, 'y': 44.2, 'z': 0}",left-foot,right,"{'x': 0, 'y': 15.3, 'z': 9.7}",6014016,86,5145,"{'start': {'x': 44.2, 'y': 9.1}, 'block': {'x': 84.5, 'y': 1}, 'end': {'x': 84.7, 'y': 0}, 'goal': {'x': 84.7, 'y': 90.3}}",5,255,2445,shot,"{'x': 1, 'y': 84.5, 'z': 0}",
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,save,assisted,"{'x': 28.7, 'y': 53.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 6.3}",5978717,86,5101,"{'start': {'x': 53.2, 'y': 28.7}, 'block': {'x': 49.1, 'y': 3.2}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 93.7}}",5,299,2401,shot,"{'x': 3.2, 'y': 49.1, 'z': 0}",
"{'name': 'Luka Zarić', 'slug': 'luka-zaric', 'shortName': 'L. Zarić', 'position': 'M', 'jerseyNumber': '40', 'userCount': 479, 'gender': 'M', 'id': 1974511, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا زاريتش'}, 'shortNameTranslation': {'ar': 'ل. زاريتش'}}}",True,goal,regular,"{'x': 9.4, 'y': 56.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 7}",5978663,83,4979,"{'start': {'x': 56.8, 'y': 9.4}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 93}}",8,421,2279,shot,,regular
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,post,assisted,"{'x': 21.8, 'y': 37, 'z': 0}",right-foot,high,"{'x': 0, 'y': 47.9, 'z': 40.5}",5978674,83,4975,"{'start': {'x': 37, 'y': 21.8}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 59.5}}",8,425,2275,shot,,
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,miss,assisted,"{'x': 19.4, 'y': 43.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 40.7, 'z': 47.2}",5978647,81,4824,"{'start': {'x': 43.4, 'y': 19.4}, 'end': {'x': 59.3, 'y': 0}, 'goal': {'x': 59.3, 'y': 52.8}}",10,576,2124,shot,,
"{'name': 'Aleksa Mitić', 'firstName': 'Aleksa Mitic', 'slug': 'aleksa-mitic', 'shortName': 'A. Mitic', 'position': 'F', 'jerseyNumber': '21', 'userCount': 82, 'gender': 'M', 'id': 2319703, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس ميتش'}, 'shortNameTranslation': {'ar': 'أ. ميتش'}}}",False,goal,assisted,"{'x': 12.5, 'y': 63.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 17.7}",5978642,79,4734,"{'start': {'x': 63.2, 'y': 12.5}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 82.3}}",12,666,2034,shot,,regular
"{'name': 'Vicky Kiankaulua', 'firstName': '', 'lastName': '', 'slug': 'kiankaulua-vicky', 'shortName': 'V. Kiankaulua', 'position': 'M', 'jerseyNumber': '94', 'userCount': 20, 'gender': 'M', 'id': 1405262, 'fieldTranslations': {'nameTranslation': {'ar': 'كيانكاولو، فيكي'}, 'shortNameTranslation': {'ar': 'ف. كيانكاولو'}}}",False,save,assisted,"{'x': 12.3, 'y': 74.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 3.2}",5978640,79,4684,"{'start': {'x': 74.4, 'y': 12.3}, 'block': {'x': 52.7, 'y': 1.9}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 96.8}}",12,716,1984,shot,"{'x': 1.9, 'y': 52.7, 'z': 0}",
"{'name': 'Stefan Leković', 'firstName': 'Stefan Lekovic', 'slug': 'stefan-lekovic', 'shortName': 'S. Leković', 'position': 'D', 'jerseyNumber': '4', 'userCount': 892, 'gender': 'M', 'id': 1146225, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ليكوفيتش', 'bn': 'স্টেফান লেকোভিচ', 'hi': 'स्टीफ़न लेकोविच'}, 'shortNameTranslation': {'ar': 'س. ليكوفيتش', 'bn': 'এস. লেকোভিচ', 'hi': 'एस. लेकोविच'}}}",True,miss,corner,"{'x': 6.9, 'y': 46.6, 'z': 0}",head,left,"{'x': 0, 'y': 63.7, 'z': 6.9}",5978957,75,4459,"{'start': {'x': 46.6, 'y': 6.9}, 'block': {'x': 45.7, 'y': 3.2}, 'end': {'x': 36.3, 'y': 0}, 'goal': {'x': 36.3, 'y': 93.1}}",16,941,1759,shot,"{'x': 3.2, 'y': 45.7, 'z': 0}",
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,block,assisted,"{'x': 15.9, 'y': 41.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}",5978618,74,4419,"{'start': {'x': 41.6, 'y': 15.9}, 'block': {'x': 42.8, 'y': 13.3}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",17,981,1719,shot,"{'x': 13.3, 'y': 42.8, 'z': 0}",
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,goal,fast-break,"{'x': 7.3, 'y': 58.5, 'z': 0}",head,high-centre,"{'x': 0, 'y': 51.6, 'z': 23.4}",5978605,71,4254,"{'start': {'x': 58.5, 'y': 7.3}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 76.6}}",20,1146,1554,shot,,regular
