player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,save,regular,"{'x': 4, 'y': 35, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 10.6}",0.1316,0.2881,6645087,90,4.0,5618,"{'start': {'x': 35, 'y': 4}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 89.4}}",1,682,218,shot,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,block,regular,"{'x': 20, 'y': 60, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.05139,,6645086,89,,5322,"{'start': {'x': 60, 'y': 20}, 'block': {'x': 60, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",2,78,2622,shot,"{'x': 20, 'y': 60, 'z': 0}",
"{'name': 'Mario Gjolaj', 'firstName': '', 'lastName': '', 'slug': 'mario-gjolaj', 'shortName': 'M. Gjolaj', 'position': 'M', 'jerseyNumber': '14', 'userCount': 11, 'gender': 'M', 'id': 1063202, 'fieldTranslations': {'nameTranslation': {'ar': 'ماريو جولاي'}, 'shortNameTranslation': {'ar': 'م. جولاي'}}}",True,save,regular,"{'x': 23, 'y': 41, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.4, 'z': 2.2}",0.05136,0.1211,6645085,88,,5231,"{'start': {'x': 41, 'y': 23}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 97.8}}",3,169,2531,shot,,
"{'name': 'Nikola Furtula', 'firstName': '', 'lastName': '', 'slug': 'nikola-furtula', 'shortName': 'N. Furtula', 'position': 'F', 'jerseyNumber': '89', 'userCount': 16, 'gender': 'M', 'id': 878422, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فورتولا'}, 'shortNameTranslation': {'ar': 'ن. فورتولا'}}}",False,miss,regular,"{'x': 7, 'y': 44, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57.2, 'z': 41.5}",0.132,,6645084,87,,5176,"{'start': {'x': 44, 'y': 7}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 58.5}}",4,224,2476,shot,,
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",False,miss,regular,"{'x': 9, 'y': 45, 'z': 0}",head,close-left,"{'x': 0, 'y': 59, 'z': 10.1}",0.1433,,6645083,78,,4674,"{'start': {'x': 45, 'y': 9}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 89.9}}",13,726,1974,shot,,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",True,miss,regular,"{'x': 21, 'y': 62, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.9, 'z': 1.4}",0.053,,6645082,74,,4384,"{'start': {'x': 62, 'y': 21}, 'end': {'x': 41.1, 'y': 0}, 'goal': {'x': 41.1, 'y': 98.6}}",17,1016,1684,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,save,regular,"{'x': 12, 'y': 71, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 3.2}",0.04807,0.01469,6645081,73,,4344,"{'start': {'x': 71, 'y': 12}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 96.8}}",18,1056,1644,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,miss,regular,"{'x': 9, 'y': 70, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.7, 'z': 47.3}",0.05574,,6645080,72,,4315,"{'start': {'x': 70, 'y': 9}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 52.7}}",19,1085,1615,shot,,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",False,miss,regular,"{'x': 13, 'y': 28, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 55.9, 'z': 51.2}",0.05355,,6645079,70,,4197,"{'start': {'x': 28, 'y': 13}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 48.8}}",21,1203,1497,shot,,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",False,block,regular,"{'x': 25, 'y': 32, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.002983,,6645078,68,,4042,"{'start': {'x': 32, 'y': 25}, 'block': {'x': 32, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",23,1358,1342,shot,"{'x': 25, 'y': 32, 'z': 0}",
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",False,miss,regular,"{'x': 8, 'y': 43, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57.4, 'z': 51.1}",0.2166,,6645077,59,,3530,"{'start': {'x': 43, 'y': 8}, 'end': {'x': 42.6, 'y': 0}, 'goal': {'x': 42.6, 'y': 48.9}}",32,1870,830,shot,,
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",True,miss,regular,"{'x': 10, 'y': 38, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 55.9, 'z': 44.2}",0.207,,6645076,56,,3306,"{'start': {'x': 38, 'y': 10}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 55.8}}",35,2094,606,shot,,
