minute,value
1.0,-16
2.0,-18
3.0,-17
4.0,-27
5.0,-20
6.0,-9
7.0,-7
8.0,-2
9.0,-33
10.0,33
11.0,6
12.0,1
13.0,-4
14.0,2
15.0,-6
16.0,-7
17.0,-7
18.0,-1
19.0,-4
20.0,-4
21.0,4
22.0,-2
23.0,-23
24.0,-15
25.0,-10
26.0,-8
27.0,-11
28.0,-16
29.0,-10
30.0,45
31.0,38
32.0,22
33.0,19
34.0,5
35.0,-7
36.0,-1
37.0,-2
38.0,5
39.0,47
40.0,48
41.0,34
42.0,25
43.0,15
44.0,-30
45.0,-12
45.5,-25
46.0,-5
47.0,66
48.0,3
49.0,-5
50.0,-7
51.0,6
52.0,-4
53.0,17
54.0,11
55.0,7
56.0,9
57.0,6
58.0,3
59.0,2
60.0,1
61.0,1
62.0,-5
63.0,-3
64.0,-2
65.0,-2
66.0,5
67.0,8
68.0,10
69.0,6
70.0,4
71.0,2
72.0,1
73.0,11
74.0,12
75.0,12
76.0,8
77.0,5
78.0,22
79.0,34
80.0,20
81.0,8
82.0,-5
83.0,41
84.0,22
85.0,9
86.0,2
87.0,2
88.0,-22
89.0,-13
90.0,-12
90.5,0
