match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,dispossessed,bigChanceCreated,keyPass,blockedScoringAttempt,shotOffTarget
14147348,home,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,21.0,20.0,3.0,3.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,90.0,24.0,6.1,1.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,95.23809523809523,100.0,,,0.0,,,,,,,
14147348,home,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,False,49.0,36.0,4.0,1.0,1.0,18.0,24.0,5.0,1.0,1.0,3.0,14.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,58.0,6.7,17.0,0.0,0.55,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,4,18,5,13,73.46938775510205,25.0,20.0,,,17.0,23.0,1.0,1.0,1.0,,
14147348,home,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,81.0,73.0,8.0,4.0,0.0,60.0,62.0,0.0,0.0,1.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,93.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,90.12345679012346,50.0,,,,12.0,18.0,,,1.0,,
14147348,home,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,86.0,76.0,7.0,3.0,0.0,59.0,62.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,104.0,6.8,12.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,88.37209302325581,42.857142857142854,,,,16.0,23.0,,,,,
14147348,home,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,59.0,43.0,5.0,1.0,0.0,30.0,33.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,82.0,65.0,6.5,19.0,0.06,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,1,8,72.88135593220339,20.0,0.0,100.0,,12.0,23.0,,,,,
14147348,home,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,19.0,12.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,68.0,28.0,6.3,7.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,63.1578947368421,0.0,0.0,100.0,,8.0,14.0,1.0,,,1.0,
14147348,home,464804,FK Jezero,1218103,Hiroki Harada,hiroki-harada,M,10,False,59.0,49.0,2.0,0.0,0.0,22.0,24.0,1.0,0.0,1.0,0.0,9.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,9.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,,,,,,82.0,74.0,6.6,14.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,6,8,83.05084745762711,0.0,0.0,100.0,,27.0,34.0,,,,,
14147348,home,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,32.0,31.0,3.0,2.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,45.0,39.0,6.9,1.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,5,1,96.875,66.66666666666666,,100.0,,14.0,15.0,,,,,
14147348,home,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,25.0,17.0,3.0,1.0,0.0,7.0,8.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,90.0,45.0,6.7,12.0,0.01,0.03,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,4,12,68.0,33.33333333333333,0.0,75.0,,10.0,17.0,,,1.0,,2.0
14147348,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,38.0,30.0,1.0,0.0,0.0,10.0,13.0,0.0,0.0,2.0,1.0,17.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,,,,,,90.0,60.0,6.1,17.0,0.0,0.01,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,3,15,78.94736842105263,0.0,,0.0,,18.0,23.0,1.0,,3.0,,
