match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,challengeLost,errorLeadToAGoal,outfielderBlock,aerialLost,onTargetScoringAttempt,blockedScoringAttempt,unsuccessfulTouch,bigChanceCreated,totalOffside,bigChanceMissed,lastManTackle,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,goals,penaltyWon
14015464,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,F,33,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,21.0,17.0,9.0,5.0,0.0,15.0,18.0,2.0,3.0,,4.0,,,2.0,,4.0,90.0,31.0,6.9,4.0,0.1744,"{'original': 6.9, 'alternative': 7.3}",0,0.05,0.01,-0.16,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.95238095238095,55.55555555555556,,,100.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
14015464,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,D,88,False,22.0,11.0,5.0,1.0,0.0,3.0,6.0,8.0,16.0,12.0,5.0,,3.0,,,,90.0,56.0,6.3,22.0,,"{'original': 6.3, 'alternative': 6.8}",1,0.26,0.21,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,6,7,50.0,20.0,,,,1.0,,1.0,7.0,,2.0,,,5.0,4.0,6.0,4.0,,,-0.15,2.0,,,5.0,,1.0,5.0,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,29.0,20.0,6.0,2.0,0.0,12.0,16.0,8.0,13.0,3.0,4.0,,1.0,,,,90.0,41.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7.2}",0,0.13,0.11,0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,68.96551724137932,33.33333333333333,,,,,,3.0,8.0,,,,,5.0,,4.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,
