match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,totalContest,wonContest,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,bigChanceMissed,blockedScoringAttempt,onTargetScoringAttempt,goals,outfielderBlock,bigChanceCreated,totalOffside
14015592,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,,1.0,,,,,24.0,10.0,6.6,4.0,130.62936796078,6.0,75.057643946591,3.0,,"{'original': 6.6, 'alternative': 6.7}",3,-0.08,0.46,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,,,,,1.0,,,,2.0,,,2.0,1.0,,,,,,,-0.52,,,,26.165972642369,65.012622510731,,1.0,1.0,,,,
14015592,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,3.0,2.0,,,0.0,2.0,2.0,,1.0,,1.0,,,,,16.0,8.0,6.4,2.0,20.260120532712,1.0,1.4102265491774,0.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.01,-0.09,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,66.66666666666666,,,,,,,2.0,1.0,3.0,1.0,,,,,,,,,,-0.04,1.0,,,,,,1.0,,,,,
14015592,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,True,8.0,7.0,2.0,2.0,0.0,5.0,5.0,2.0,3.0,,,,,,,16.0,11.0,6.5,3.0,20.80592812059,2.0,-9.970578363566,0.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.03,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,87.5,100.0,33.33333333333333,,,3.0,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
14015592,home,802392,FK TSC Bačka Topola,1983676,Miloš Soprenić,milos-soprenic,F,55,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,9.0,2.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,1.0,,,,0.0,,,,1.0,,1.0,,,,,8.0,4.0,6.5,2.0,42.596105749235,1.0,-34.882859363118,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,,,,100.0,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015592,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
