player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,goal,regular,assisted,"{'x': 12.3, 'y': 64.8, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 47.6, 'z': 23.4}",5311298,89,5321,"{'start': {'x': 64.8, 'y': 12.3}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 76.6}}",2,79,2621,shot,,
"{'name': 'Timi Max Elšnik', 'slug': 'timi-max-elsnik', 'shortName': 'T. M. Elšnik', 'position': 'M', 'jerseyNumber': '21', 'userCount': 1618, 'gender': 'M', 'id': 827371, 'fieldTranslations': {'nameTranslation': {'ar': 'تيمي ماكس إلسنيك', 'bn': 'টিমি ম্যাক্স এলসনিক', 'hi': 'टिमी मैक्स एल्शनिक'}, 'shortNameTranslation': {'ar': 'ت. م. إلسنيك', 'bn': 'টি. এম. এলসনিক', 'hi': 'टी.एम. एल्शनिक'}}}",True,miss,,regular,"{'x': 20.4, 'y': 60.3, 'z': 0}",right-foot,right,"{'x': 0, 'y': 26.2, 'z': 36.1}",5311196,82,4893,"{'start': {'x': 60.3, 'y': 20.4}, 'end': {'x': 73.8, 'y': 0}, 'goal': {'x': 73.8, 'y': 63.9}}",9,507,2193,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,save,,fast-break,"{'x': 7.4, 'y': 56.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 19}",5311189,80,4742,"{'start': {'x': 56.4, 'y': 7.4}, 'block': {'x': 51.8, 'y': 1}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 81}}",11,658,2042,shot,"{'x': 1, 'y': 51.8, 'z': 0}",
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,save,,fast-break,"{'x': 3.2, 'y': 63.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 19}",5311188,80,4741,"{'start': {'x': 63.8, 'y': 3.2}, 'block': {'x': 54, 'y': 0.7}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 81}}",11,659,2041,shot,"{'x': 0.7, 'y': 54, 'z': 0}",
"{'name': 'Young-woo Seol', 'slug': 'young-woo-seol', 'shortName': 'Y. W. Seol', 'position': 'D', 'jerseyNumber': '66', 'userCount': 2096, 'gender': 'M', 'id': 1019333, 'fieldTranslations': {'nameTranslation': {'ar': 'يونغ-وو سيول', 'bn': 'ইয়ং-উ সিওল', 'hi': 'यंग-वू सेओल'}, 'shortNameTranslation': {'ar': 'ي. سيول', 'bn': 'ওয়াই. ডব্লিউ. সিওল', 'hi': 'YW सेओल'}}}",True,save,,throw-in-set-piece,"{'x': 18.5, 'y': 63.5, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 3.8}",5311160,73,4365,"{'start': {'x': 63.5, 'y': 18.5}, 'block': {'x': 52.5, 'y': 2.2}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 96.2}}",18,1035,1665,shot,"{'x': 2.2, 'y': 52.5, 'z': 0}",
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,goal,regular,assisted,"{'x': 13.2, 'y': 54.4, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54, 'z': 4.4}",5311143,70,4173,"{'start': {'x': 54.4, 'y': 13.2}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 95.6}}",21,1227,1473,shot,,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,save,,assisted,"{'x': 8.9, 'y': 42.5, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 15.8}",5311141,68,4048,"{'start': {'x': 42.5, 'y': 8.9}, 'block': {'x': 46.8, 'y': 3.5}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 84.2}}",23,1352,1348,shot,"{'x': 3.5, 'y': 46.8, 'z': 0}",
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,goal,regular,assisted,"{'x': 8.9, 'y': 49.9, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.3, 'z': 18.4}",5311130,65,3860,"{'start': {'x': 49.9, 'y': 8.9}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 81.6}}",26,1540,1160,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,miss,,corner,"{'x': 3.8, 'y': 65.6, 'z': 0}",head,left,"{'x': 0, 'y': 62, 'z': 30.6}",5311121,63,3777,"{'start': {'x': 65.6, 'y': 3.8}, 'end': {'x': 38, 'y': 0}, 'goal': {'x': 38, 'y': 69.4}}",28,1623,1077,shot,,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,block,,assisted,"{'x': 20.3, 'y': 44, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.2, 'z': 19}",5311114,61,3653,"{'start': {'x': 44, 'y': 20.3}, 'block': {'x': 45.5, 'y': 16.4}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",30,1747,953,shot,"{'x': 16.4, 'y': 45.5, 'z': 0}",
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,goal,penalty,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 0.6}",5311052,56,3324,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 99.4}}",35,2076,624,shot,,
"{'name': 'Nikola Mituljikić', 'slug': 'nikola-mituljikic', 'shortName': 'N. Mituljikić', 'position': 'M', 'jerseyNumber': '7', 'userCount': 191, 'gender': 'M', 'id': 1102965, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا ميتولجيكيتش'}, 'shortNameTranslation': {'ar': 'ن. ميتولجيكيتش'}}}",False,goal,regular,assisted,"{'x': 12.2, 'y': 70.7, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.6, 'z': 26.6}",5311044,53,3153,"{'start': {'x': 70.7, 'y': 12.2}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 73.4}}",38,2247,453,shot,,
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",True,save,,assisted,"{'x': 6.6, 'y': 41.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 1.9}",5311043,52,3117,"{'start': {'x': 41.1, 'y': 6.6}, 'block': {'x': 45.8, 'y': 2.3}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 98.1}}",39,2283,417,shot,"{'x': 2.3, 'y': 45.8, 'z': 0}",
