match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalContest,wonContest,clearanceOffLine,outfielderBlock,interceptionWon,wasFouled,totalOffside,bigChanceMissed,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,goals,keyPass,dispossessed,accurateCross,penaltyWon,bigChanceCreated,penaltyFaced,blockedScoringAttempt,penaltyConceded
14015519,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015519,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015519,home,353746,FK IMT Beograd,2334125,Daniel Akrofi,daniel-akrofi,M,35,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015519,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015519,home,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015519,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,14.0,8.0,9.0,3.0,0.0,6.0,9.0,2.0,5.0,3.0,1.0,3.0,90.0,20.0,6.5,6.0,0.3123,"{'original': 6.5, 'alternative': 6.8}",0,0.04,0.0,-0.02,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,33.33333333333333,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
14015519,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,24.0,18.0,2.0,1.0,0.0,5.0,6.0,13.0,18.0,3.0,,,83.0,50.0,6.6,13.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.08,0.1,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,75.0,50.0,50.0,,,2.0,1.0,,5.0,4.0,1.0,,2.0,2.0,1.0,,1.0,,,,1.0,2.0,1.0,,,-0.04,1.0,,1.0,2.0,1.0,,,,,
14015519,away,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,35.0,32.0,6.0,4.0,0.0,15.0,18.0,17.0,17.0,3.0,,,90.0,48.0,7.2,4.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.03,0.25,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,91.42857142857143,66.66666666666666,,,,,,,1.0,4.0,,8.0,3.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
14015519,away,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,50.0,41.0,15.0,11.0,0.0,26.0,27.0,15.0,23.0,2.0,,,90.0,59.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.28,0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,82.0,73.33333333333333,,,,1.0,3.0,,7.0,1.0,,4.0,1.0,1.0,,4.0,,,,,,,,,,,,,1.0,,,,,,,
14015519,away,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,47.0,31.0,7.0,1.0,0.0,15.0,21.0,16.0,26.0,3.0,,,90.0,83.0,7.1,24.0,,"{'original': 7.1, 'alternative': 7.2}",2,0.24,0.1,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,4,4,65.95744680851064,14.285714285714285,33.33333333333333,,,6.0,1.0,8.0,5.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,3.0,,1.0,2.0,-0.24,,,2.0,2.0,2.0,,1.0,,,
