match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelWon,interceptionWon,totalTackle,wonTackle,wasFouled,accurateLongBalls,aerialWon,outfielderBlock,aerialLost,duelLost,totalContest,wonContest,unsuccessfulTouch,fouls,dispossessed,ownGoals,challengeLost,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,totalOffside,shotValueNormalized,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,lastManTackle
14015506,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,17.0,13.0,4.0,0.0,13.0,13.0,4.0,3.0,6.0,4.0,4.0,3.0,3.0,90.0,29.0,8.0,4.0,0.8506,"{'original': 8, 'alternative': 7.1}",0,0.03,0.0,0.0,0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.47058823529412,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015506,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,9.0,6.0,1.0,0.0,5.0,6.0,3.0,2.0,,,,,,45.0,20.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.0,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,66.66666666666666,,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015506,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,33.0,28.0,6.0,0.0,23.0,23.0,10.0,2.0,,,,,,45.0,39.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.2,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,84.84848484848484,33.33333333333333,,,,5.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14015506,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,88.0,79.0,8.0,0.0,46.0,48.0,40.0,5.0,6.0,,,,,90.0,98.0,7.0,10.0,,"{'original': 7, 'alternative': 7}",0,0.38,0.28,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,89.77272727272727,37.5,,100.0,,33.0,,4.0,,2.0,2.0,,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015506,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,37.0,27.0,3.0,0.0,14.0,18.0,19.0,3.0,4.0,,,,,90.0,67.0,6.0,15.0,,"{'original': 6, 'alternative': 6.5}",0,-0.05,0.07,-0.7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,4,3,72.97297297297297,,,,,13.0,,6.0,1.0,4.0,3.0,,,2.0,,4.0,7.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,
14015506,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,40.0,35.0,4.0,0.0,14.0,17.0,23.0,2.0,8.0,,,,,90.0,54.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.01,0.2,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,87.5,50.0,,,,21.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,2.0,7.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,
14015506,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,23.0,18.0,3.0,0.0,7.0,7.0,16.0,,8.0,,,,,90.0,52.0,6.7,19.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.42,0.15,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,78.26086956521739,66.66666666666666,40.0,16.666666666666664,,11.0,5.0,2.0,,1.0,1.0,,2.0,,,1.0,8.0,6.0,1.0,4.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,0.01,,,,,
14015506,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,20.0,15.0,2.0,0.0,6.0,7.0,13.0,1.0,1.0,,,,,74.0,29.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6.2}",2,0.01,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,50.0,,,,9.0,1.0,,,,,,1.0,,,,2.0,1.0,,2.0,1.0,,,,,,,,1.0,-0.35,1.0,2.0,,,
14015506,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,21.0,19.0,,0.0,9.0,10.0,11.0,,4.0,,,,,45.0,30.0,6.4,5.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.0,0.11,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,90.47619047619048,,,,,10.0,,3.0,1.0,2.0,,1.0,,,1.0,,4.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,
14015506,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,False,10.0,6.0,1.0,0.0,2.0,3.0,7.0,,,,,,,41.0,15.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.08,0.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,60.0,,100.0,,,4.0,1.0,1.0,,,,,,1.0,,1.0,3.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,
