player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'M', 'jerseyNumber': '24', 'userCount': 36, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,miss,regular,"{'x': 4, 'y': 64, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.7, 'z': 0.4}",0.1315,6955241,90,1.0,5430,"{'start': {'x': 64, 'y': 4}, 'end': {'x': 42.3, 'y': 0}, 'goal': {'x': 42.3, 'y': 99.6}}",1,870,30,shot,,,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 16, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'bn': 'ইভান বোজোভিচ', 'hi': 'इवान बोजोविक'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'bn': 'আই. বোজোভিচ', 'hi': 'आई. बोजोविक'}}}",False,miss,regular,"{'x': 23, 'y': 27, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 40.8, 'z': 37.5}",0.03417,6955240,88,,5249,"{'start': {'x': 27, 'y': 23}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 62.5}}",3,151,2549,shot,,,
"{'name': 'Bogdan Stamenković', 'firstName': 'Bogdan', 'lastName': 'Stamenković', 'slug': 'bogdan-stamenkovic', 'shortName': 'B. Stamenković', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 877368, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان ستامينكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. ستامينكوفيتش'}}}",True,goal,regular,"{'x': 13, 'y': 40, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.5, 'z': 9.8}",0.06349,6955239,86,,5114,"{'start': {'x': 40, 'y': 13}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 90.2}}",5,286,2414,shot,regular,0.5714,
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 9, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",True,block,set-piece,"{'x': 32, 'y': 62, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.004196,6955238,82,,4880,"{'start': {'x': 62, 'y': 32}, 'block': {'x': 62, 'y': 32}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,520,2180,shot,,,"{'x': 32, 'y': 62, 'z': 0}"
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 49, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,save,regular,"{'x': 27, 'y': 46, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53, 'z': 4}",0.02202,6955237,71,,4251,"{'start': {'x': 46, 'y': 27}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 96}}",20,1149,1551,shot,,0.1085,
"{'name': 'Zarija Mugoša', 'slug': 'zarija-mugosa', 'shortName': 'Z. Mugoša', 'position': 'D', 'jerseyNumber': '16', 'userCount': 9, 'gender': 'M', 'id': 1606668, 'fieldTranslations': {'nameTranslation': {'ar': 'زاريا موغوشا'}, 'shortNameTranslation': {'ar': 'ز. موغوشا'}}}",True,save,regular,"{'x': 5, 'y': 31, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 14.3}",0.04196,6955236,67,,3970,"{'start': {'x': 31, 'y': 5}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 85.7}}",24,1430,1270,shot,,0.09795,
"{'name': 'Zarija Mugoša', 'slug': 'zarija-mugosa', 'shortName': 'Z. Mugoša', 'position': 'D', 'jerseyNumber': '16', 'userCount': 9, 'gender': 'M', 'id': 1606668, 'fieldTranslations': {'nameTranslation': {'ar': 'زاريا موغوشا'}, 'shortNameTranslation': {'ar': 'ز. موغوشا'}}}",True,goal,regular,"{'x': 9, 'y': 69, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.4, 'z': 10.9}",0.09604,6955235,64,,3803,"{'start': {'x': 69, 'y': 9}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 89.1}}",27,1597,1103,shot,regular,0.1132,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 49, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",False,miss,regular,"{'x': 6, 'y': 27, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.4, 'z': 35.1}",0.1642,6955234,54,,3212,"{'start': {'x': 27, 'y': 6}, 'end': {'x': 41.6, 'y': 0}, 'goal': {'x': 41.6, 'y': 64.9}}",37,2188,512,shot,,,
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 46, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",False,block,throw-in-set-piece,"{'x': 32, 'y': 45, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.008861,6955233,53,,3144,"{'start': {'x': 45, 'y': 32}, 'block': {'x': 45, 'y': 32}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",38,2256,444,shot,,,"{'x': 32, 'y': 45, 'z': 0}"
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 49, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",False,save,regular,"{'x': 9, 'y': 49, 'z': 0}",head,high-centre,"{'x': 0, 'y': 49.3, 'z': 22.9}",0.1454,6955232,42,,2472,"{'start': {'x': 49, 'y': 9}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 77.1}}",4,228,2472,shot,,0.1205,
"{'name': 'Luka Maraš', 'firstName': 'Luka', 'lastName': 'Maraš', 'slug': 'luka-maras', 'shortName': 'L. Maraš', 'position': 'M', 'jerseyNumber': '11', 'userCount': 2, 'gender': 'M', 'id': 813112, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ماراش'}, 'shortNameTranslation': {'ar': 'ل. ماراش'}}}",True,miss,corner,"{'x': 13, 'y': 27, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 59.2, 'z': 20.7}",0.1706,6955231,40,,2378,"{'start': {'x': 27, 'y': 13}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 79.3}}",6,322,2378,shot,,,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 49, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",False,save,set-piece,"{'x': 8, 'y': 51, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.3, 'z': 19.1}",0.1637,6955230,34,,2021,"{'start': {'x': 51, 'y': 8}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 80.9}}",12,679,2021,shot,,0.1376,
"{'name': 'Vitinho', 'slug': 'vitinho', 'shortName': 'Vitinho', 'position': 'M', 'jerseyNumber': '77', 'userCount': 12, 'gender': 'M', 'id': 1031066, 'fieldTranslations': {'nameTranslation': {'ar': 'فيتينيو'}, 'shortNameTranslation': {'ar': 'فيتينيو'}}}",True,save,throw-in-set-piece,"{'x': 19, 'y': 46, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.5, 'z': 14.9}",0.06926,6955229,32,,1894,"{'start': {'x': 46, 'y': 19}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 85.1}}",14,806,1894,shot,,0.2872,
"{'name': 'Drago Bumbar', 'firstName': '', 'lastName': '', 'slug': 'drago-bumbar', 'shortName': 'D. Bumbar', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 1103876, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغو بومبار'}, 'shortNameTranslation': {'ar': 'د. بومبار'}}}",True,save,set-piece,"{'x': 12, 'y': 31, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 8.7}",0.04404,6955228,29,,1708,"{'start': {'x': 31, 'y': 12}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 91.3}}",17,992,1708,shot,,0.1211,
"{'name': 'Stefan Golubović', 'firstName': '', 'lastName': '', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '21', 'userCount': 9, 'gender': 'M', 'id': 1185131, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",True,miss,regular,"{'x': 7, 'y': 47, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.4, 'z': 20.2}",0.2079,6955227,24,,1397,"{'start': {'x': 47, 'y': 7}, 'end': {'x': 58.6, 'y': 0}, 'goal': {'x': 58.6, 'y': 79.8}}",22,1303,1397,shot,,,
"{'name': 'Stefan Golubović', 'firstName': '', 'lastName': '', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '21', 'userCount': 9, 'gender': 'M', 'id': 1185131, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",True,miss,regular,"{'x': 8, 'y': 62, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 43.2, 'z': 43.4}",0.1396,6955226,18,,1047,"{'start': {'x': 62, 'y': 8}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 56.6}}",28,1653,1047,shot,,,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'M', 'jerseyNumber': '10', 'userCount': 16, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,miss,regular,"{'x': 26, 'y': 44, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.3, 'z': 11.6}",0.0358,6955225,17,,990,"{'start': {'x': 44, 'y': 26}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 88.4}}",29,1710,990,shot,,,
"{'name': 'Marko Čavor', 'firstName': '', 'lastName': '', 'slug': 'marko-cavor', 'shortName': 'M. Čavor', 'position': 'D', 'jerseyNumber': '29', 'userCount': 10, 'gender': 'M', 'id': 909420, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو تشافور'}, 'shortNameTranslation': {'ar': 'م. تشافور'}}}",True,save,free-kick,"{'x': 33, 'y': 25, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 7}",0.1069,6955242,4,,223,"{'start': {'x': 25, 'y': 33}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 93}}",42,2477,223,shot,,0.03991,
