match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,bigChanceMissed,shotOffTarget,totalClearance,interceptionWon,unsuccessfulTouch,fouls,shotValueNormalized,challengeLost,onTargetScoringAttempt,goals,totalTackle,wonTackle,wasFouled,keyPass,totalCross,accurateCross,bigChanceCreated,totalContest,wonContest,dispossessed,blockedScoringAttempt,outfielderBlock,totalOffside
14015514,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,12.0,8.0,,,0.0,5.0,6.0,3.0,6.0,1.0,,,,55.0,22.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.43,0.05,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,66.66666666666666,,50.0,,,,1.0,3.0,1.0,,,,,2.0,2.0,,1.0,,,,,,1.0,4.0,2.0,,,,,,,
14015514,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,15.0,15.0,2.0,2.0,0.0,7.0,7.0,8.0,8.0,4.0,,,,89.0,20.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.0,0.18,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,100.0,100.0,,,,2.0,,4.0,1.0,,1.0,,,,2.0,-0.07,,,,,,1.0,,,,,,,,,,1.0
14015514,away,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,F,22,False,9.0,7.0,1.0,,0.0,3.0,3.0,4.0,6.0,,,,,83.0,21.0,6.2,6.0,,"{'original': 6.2, 'alternative': 7}",3,0.03,0.19,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,77.77777777777779,,,,,4.0,1.0,5.0,1.0,,,1.0,1.0,3.0,1.0,0.13,,3.0,,,,,1.0,,,,,,,,,
14015514,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,15.0,13.0,3.0,2.0,0.0,6.0,6.0,7.0,9.0,3.0,,,,35.0,24.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.13,0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,86.66666666666667,66.66666666666666,25.0,,,,,4.0,1.0,,,1.0,,,2.0,,,,,1.0,,,2.0,4.0,1.0,,1.0,,1.0,,,
14015514,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,6.0,3.0,1.0,,0.0,1.0,2.0,2.0,4.0,,,,,13.0,10.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.09,-0.16,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14015514,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,4.0,2.0,,,0.0,,2.0,2.0,2.0,1.0,,,,13.0,4.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.04,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14015514,away,312342,FK Javor Ivanjica,1942888,Boasiako Francis Antwi,boasiako-francis-antwi,F,33,True,1.0,,,,0.0,,,,1.0,,,,,1.0,2.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14015514,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,0.0,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015514,away,5235,FK Javor Ivanjica,1149060,Savo Šušić,savo-susic,D,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015514,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015514,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015514,away,5160,FK Javor Ivanjica,145194,Leandro,leandro,D,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015514,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
