match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed
15281003,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,F,7,False,18.0,11.0,1.0,0.0,0.0,4.0,5.0,7.0,13.0,1.0,0.0,5.0,2.0,19.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,82.0,37.0,7.4,13.0,0.18,0.05,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,7,16,2,14,61.111111111111114,0.0,0.0,100.0,,2.0,1.0,1.0
15281003,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubovic,aleksa-golubovic,D,2,True,19.0,13.0,2.0,1.0,0.0,10.0,13.0,3.0,6.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,30.0,6.2,10.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,3,10,68.42105263157895,50.0,0.0,0.0,,,,
15281003,home,481825,FK Sutjeska Nikšić,2055858,Andrija Kecojević,andrija-kecojevic,F,30,True,11.0,8.0,1.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,33.0,19.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,72.72727272727273,0.0,,33.33333333333333,,,,
15281003,home,6224,FK Sutjeska Nikšić,1005753,Marko Mrvaljević,marko-mrvaljevic,F,99,True,6.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,7.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,33.0,9.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,2,1,83.33333333333334,,,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,5.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,6.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,100.0,,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1063207,Rados Dedic,rados-dedic,D,6,True,2.0,2.0,0.0,0.0,0.0,,,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,2.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,100.0,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukcevic,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanovic,bojan-damjanovic,D,91,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,25.0,22.0,8.0,5.0,0.0,22.0,25.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,32.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.0,62.5,,,,,,
15281003,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,28.0,23.0,5.0,4.0,0.0,9.0,9.0,13.0,18.0,1.0,0.0,3.0,2.0,7.0,7.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,40.0,7.0,11.0,0.07,0.16,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,82.14285714285714,80.0,0.0,80.0,,1.0,1.0,
15281003,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,59.0,45.0,9.0,2.0,0.0,34.0,37.0,9.0,18.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,72.0,7.0,17.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,76.27118644067797,22.22222222222222,,,,,,
15281003,away,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,68.0,54.0,11.0,2.0,0.0,43.0,47.0,10.0,19.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,87.0,6.6,15.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,79.41176470588235,18.181818181818183,,100.0,,,,1.0
15281003,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,39.0,27.0,8.0,3.0,0.0,16.0,18.0,9.0,19.0,4.0,1.0,3.0,5.0,12.0,9.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,54.0,6.7,20.0,0.0,0.07,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,8,13,4,9,69.23076923076923,37.5,25.0,33.33333333333333,,,1.0,
15281003,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,17.0,14.0,1.0,1.0,0.0,6.0,6.0,7.0,10.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,61.0,20.0,6.6,5.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,82.35294117647058,100.0,,,,,,
15281003,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,32.0,27.0,2.0,0.0,0.0,21.0,22.0,4.0,6.0,1.0,1.0,0.0,4.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,75.0,44.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,5,9,84.375,0.0,100.0,,,,,2.0
15281003,away,327162,Mladost DG,1096990,Stefan Mijović,stefan-mijovic,M,66,False,3.0,1.0,0.0,0.0,0.0,,,1.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,16.0,8.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,33.33333333333333,,,,,,,
15281003,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,36.0,27.0,3.0,0.0,0.0,16.0,16.0,11.0,20.0,1.0,0.0,2.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,51.0,6.8,17.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,75.0,0.0,0.0,,,,,1.0
