minute,value
0.0,0
1.0,-13
2.0,-15
3.0,-31
4.0,-24
5.0,-25
6.0,-20
7.0,-17
8.0,-10
9.0,-9
10.0,21
11.0,11
12.0,-10
13.0,-12
14.0,-12
15.0,-14
16.0,15
17.0,-5
18.0,-50
19.0,-34
20.0,-25
21.0,-75
22.0,-48
23.0,32
24.0,1
25.0,-4
26.0,-4
27.0,2
28.0,-5
29.0,-11
30.0,-7
31.0,-7
32.0,-13
33.0,-6
34.0,-11
35.0,-30
36.0,-26
37.0,-23
38.0,-22
39.0,-15
40.0,-9
41.0,-7
42.0,-6
43.0,9
44.0,12
45.0,6
45.5,-5
46.0,2
47.0,-7
48.0,-5
49.0,-9
50.0,-7
51.0,-5
52.0,29
53.0,-26
54.0,-7
55.0,-10
56.0,80
57.0,41
58.0,26
59.0,25
60.0,55
61.0,26
62.0,15
63.0,34
64.0,19
65.0,8
66.0,-11
67.0,-10
68.0,-3
69.0,5
70.0,-6
71.0,5
72.0,7
73.0,-36
74.0,-26
75.0,-16
76.0,25
77.0,9
78.0,12
79.0,7
80.0,-6
81.0,-9
82.0,-6
83.0,-5
84.0,10
85.0,10
86.0,6
87.0,-11
88.0,-11
89.0,-8
90.0,-11
90.5,-5
