match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,lastManTackle,totalTackle,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,interceptionWon,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,challengeLost,totalContest,wonContest,totalClearance,keyPass,aerialLost,dispossessed,clearanceOffLine,outfielderBlock,errorLeadToAShot,shotOffTarget,shotValueNormalized,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside
14015511,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,27.0,18.0,14.0,5.0,0.0,15.0,17.0,3.0,10.0,,8.0,,,,,90.0,34.0,6.6,9.0,46.891300797237,11.0,-28.455,2.52,,"{'original': 6.6, 'alternative': 6.8}",0,0.07,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,35.714285714285715,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
14015511,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,29.0,23.0,5.0,1.0,0.0,11.0,12.0,12.0,17.0,2.0,5.0,,,,,90.0,48.0,7.6,13.0,184.00660605524,16.0,-28.35,26.145,,"{'original': 7.6, 'alternative': 7.1}",0,0.68,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,79.3103448275862,20.0,50.0,,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,,1.0,1.0,,,,
14015511,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,48.0,41.0,6.0,1.0,0.0,34.0,35.0,7.0,13.0,5.0,4.0,,1.0,,,90.0,62.0,6.9,7.0,132.86865942751,18.0,-49.77,20.37,,"{'original': 6.9, 'alternative': 7}",0,0.28,0.1,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,85.41666666666666,16.666666666666664,,,,,6.0,1.0,,,2.0,5.0,2.0,,,,7.0,1.0,1.0,,,,,,,,,,,,,,,
14015511,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,False,51.0,39.0,12.0,8.0,0.0,24.0,27.0,15.0,24.0,8.0,2.0,,2.0,,,90.0,89.0,7.5,16.0,55.810410830051,9.0,-26.67,4.41,,"{'original': 7.5, 'alternative': 7.8}",0,0.34,0.03,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,5,4,76.47058823529412,66.66666666666666,,,,,7.0,4.0,2.0,2.0,3.0,3.0,3.0,,1.0,,9.0,,3.0,,,1.0,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,False,12.0,7.0,4.0,1.0,0.0,3.0,6.0,4.0,6.0,3.0,1.0,,,,,42.0,24.0,7.0,5.0,45.390565129465,5.0,6.72,7.455,,"{'original': 7, 'alternative': 6.7}",0,0.05,0.0,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,58.333333333333336,25.0,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,36.0,27.0,5.0,1.0,0.0,17.0,19.0,10.0,17.0,8.0,7.0,,3.0,,,89.0,52.0,6.9,12.0,184.1877075763,18.0,-9.66,13.755,,"{'original': 6.9, 'alternative': 6.9}",0,0.04,0.07,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,75.0,20.0,,50.0,,,6.0,3.0,3.0,1.0,,3.0,4.0,1.0,2.0,1.0,4.0,,,1.0,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,14.0,10.0,1.0,,0.0,2.0,3.0,8.0,11.0,3.0,4.0,,1.0,,,85.0,30.0,6.8,9.0,65.309433175286,8.0,-33.915,4.725,,"{'original': 6.8, 'alternative': 7.2}",4,0.31,0.11,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,71.42857142857143,,50.0,100.0,,2.0,1.0,,,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,2.0,-0.3,1.0,,,1.0,,1.0,1.0,,
14015511,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,11.0,4.0,1.0,,0.0,,3.0,4.0,8.0,3.0,2.0,,1.0,,,41.0,24.0,7.7,9.0,35.739906740216,4.0,-30.555,-1.05,,"{'original': 7.7, 'alternative': 7.3}",4,-0.08,0.28,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,36.36363636363637,,,,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,3.0,0.49,,,,,,,1.0,1.0,1.0
14015511,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,39.0,31.0,3.0,,0.0,8.0,11.0,23.0,28.0,7.0,6.0,,,,,89.0,62.0,7.9,13.0,199.94938413054,23.0,-0.84000000000002,21.63,,"{'original': 7.9, 'alternative': 8}",3,0.02,0.23,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,79.48717948717949,,,100.0,,2.0,3.0,1.0,,3.0,5.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.49,,,,,,,2.0,1.0,
14015511,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,25.0,22.0,1.0,1.0,2.0,7.0,7.0,15.0,18.0,8.0,8.0,,2.0,,,90.0,57.0,7.4,18.0,216.47349999341,21.0,-99.33,16.065,,"{'original': 7.4, 'alternative': 7.6}",0,0.42,0.36,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,0,17,8,9,88.0,100.0,66.66666666666666,50.0,,3.0,9.0,,2.0,9.0,4.0,3.0,,1.0,4.0,2.0,3.0,4.0,,3.0,,,,,,,,,2.0,,,,,
14015511,away,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,False,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,4.0,2.0,,2.0,,,90.0,26.0,5.8,10.0,72.038026145894,7.0,-37.17,6.93,,"{'original': 5.8, 'alternative': 6.6}",2,-0.73,0.46,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,8,6,3,3,77.77777777777779,,,,,,10.0,,2.0,5.0,1.0,1.0,1.0,,1.0,,,,7.0,1.0,,,,,-0.6,,,,,,1.0,2.0,,
14015511,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,12.0,9.0,,,0.0,6.0,7.0,3.0,5.0,5.0,4.0,,2.0,,,49.0,27.0,6.7,7.0,54.58607570684,6.0,-9.45,11.865,,"{'original': 6.7, 'alternative': 6.7}",0,-0.03,0.01,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,75.0,,100.0,33.33333333333333,,1.0,3.0,,2.0,2.0,,,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,
14015511,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,M,14,True,27.0,20.0,9.0,4.0,0.0,17.0,19.0,3.0,8.0,3.0,3.0,,,,,48.0,32.0,6.7,8.0,115.49556434995,11.0,-69.195,3.675,,"{'original': 6.7, 'alternative': 6.6}",0,0.08,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,74.07407407407408,44.44444444444444,,,,,3.0,1.0,,1.0,3.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,4.0,2.0,,,0.0,,,2.0,4.0,,,,,,,11.0,5.0,6.3,3.0,23.340577225611,4.0,-0.83999999999999,5.985,,"{'original': 6.3, 'alternative': 6.5}",0,-0.29,0.11,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
14015511,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,0.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14015511,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
