match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,lastManTackle,totalTackle,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,interceptionWon,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,challengeLost,totalContest,wonContest,totalClearance,keyPass,aerialLost,dispossessed,clearanceOffLine,outfielderBlock,errorLeadToAShot,shotOffTarget,shotValueNormalized,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside
14015511,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,26.0,16.0,19.0,9.0,0.0,11.0,17.0,5.0,9.0,1.0,11.0,1.0,1.0,1.0,3.0,90.0,35.0,6.9,10.0,55.795342281336,8.0,1.995,4.41,0.5718,"{'original': 6.9, 'alternative': 6.4}",0,0.07,0.0,0.37,0.35,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,61.53846153846154,47.368421052631575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,False,22.0,12.0,4.0,2.0,0.0,6.0,10.0,6.0,12.0,3.0,4.0,,2.0,,,41.0,41.0,5.9,14.0,64.660259485176,11.0,-12.705,10.185,,"{'original': 5.9, 'alternative': 6.4}",0,-0.17,-0.12,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,54.54545454545454,50.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,49.0,37.0,9.0,6.0,0.0,22.0,23.0,15.0,26.0,7.0,6.0,,4.0,,,90.0,71.0,6.9,13.0,160.75487235305,17.0,-30.345,10.605,,"{'original': 6.9, 'alternative': 7.3}",0,0.25,0.01,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,75.51020408163265,66.66666666666666,,100.0,,,3.0,4.0,4.0,1.0,,2.0,1.0,1.0,2.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,38.0,30.0,5.0,2.0,0.0,26.0,30.0,4.0,8.0,4.0,4.0,,1.0,,,90.0,49.0,6.7,11.0,122.95963303632,12.0,33.81,23.1,,"{'original': 6.7, 'alternative': 6.8}",0,-0.12,0.05,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,78.94736842105263,40.0,,,,,4.0,1.0,,1.0,,1.0,3.0,,,,3.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,44.0,33.0,13.0,4.0,0.0,25.0,28.0,8.0,16.0,4.0,6.0,,1.0,,,90.0,54.0,6.4,12.0,157.30774222329,14.0,57.33,25.2,,"{'original': 6.4, 'alternative': 6.4}",0,0.05,0.11,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,75.0,30.76923076923077,,,,,,1.0,1.0,1.0,,,3.0,,,,5.0,,,,,1.0,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,29.0,23.0,11.0,7.0,0.0,10.0,12.0,13.0,17.0,1.0,2.0,,,,,90.0,50.0,6.8,13.0,102.69882914941,13.0,25.41,12.39,,"{'original': 6.8, 'alternative': 6.5}",1,0.34,0.03,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,79.3103448275862,63.63636363636363,,,,1.0,3.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,-0.05,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,41.0,34.0,7.0,5.0,0.0,15.0,16.0,19.0,25.0,7.0,8.0,,2.0,,,90.0,63.0,6.6,20.0,199.6896305164,20.0,14.91,16.8,,"{'original': 6.6, 'alternative': 6.5}",0,0.15,0.07,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,82.92682926829268,71.42857142857143,,,,5.0,7.0,,2.0,5.0,4.0,3.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,25.0,19.0,2.0,,0.0,13.0,14.0,6.0,11.0,4.0,4.0,,2.0,,,65.0,34.0,6.4,9.0,63.391588262367,9.0,9.555,14.28,,"{'original': 6.4, 'alternative': 6.5}",0,-0.02,0.1,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,76.0,,,100.0,,,5.0,,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,
14015511,home,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,False,11.0,8.0,1.0,,0.0,6.0,6.0,2.0,5.0,3.0,1.0,,,,,41.0,19.0,6.2,6.0,46.67105218666,6.0,31.5,15.855,,"{'original': 6.2, 'alternative': 6.2}",0,-0.05,0.02,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,72.72727272727273,,,,,1.0,4.0,,,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,30.0,26.0,,,0.0,14.0,14.0,12.0,16.0,8.0,4.0,,2.0,,,80.0,49.0,6.5,13.0,143.32442242722,13.0,28.035,16.38,,"{'original': 6.5, 'alternative': 7}",0,-0.51,0.1,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,8,5,86.66666666666667,,,33.33333333333333,,,10.0,,2.0,6.0,5.0,2.0,,,3.0,1.0,,1.0,5.0,1.0,,,,,,,,,,,,,,
14015511,home,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,21.0,14.0,1.0,,0.0,4.0,6.0,10.0,15.0,8.0,1.0,,,,,80.0,33.0,6.8,13.0,70.731019010004,7.0,23.94,15.435,,"{'original': 6.8, 'alternative': 6.7}",2,0.6,-1.0,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,11,6,1,5,66.66666666666666,,,,,,9.0,,,6.0,1.0,5.0,7.0,,,,2.0,,4.0,,,,,1.0,-0.3,1.0,,,,,,,,
14015511,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,7.0,5.0,1.0,,0.0,3.0,3.0,2.0,4.0,2.0,1.0,,1.0,,,21.0,21.0,5.1,10.0,49.718986313078,1.0,32.76,32.76,,"{'original': 5.1, 'alternative': 5.4}",0,0.02,0.07,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,71.42857142857143,,,,,,4.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,True,9.0,6.0,5.0,2.0,0.0,1.0,2.0,5.0,7.0,,2.0,,,,,49.0,15.0,6.4,7.0,50.635814060845,6.0,-15.12,3.885,,"{'original': 6.4, 'alternative': 6.5}",0,-0.01,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,66.66666666666666,40.0,,,,3.0,3.0,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,True,4.0,2.0,,,0.0,,,2.0,4.0,3.0,,,1.0,,,25.0,11.0,6.5,4.0,,,,,,"{'original': 6.5, 'alternative': 6.7}",0,-0.05,,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,50.0,,,,,,3.0,,,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
14015511,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,3.0,2.0,,,0.0,,,2.0,3.0,1.0,,,,,,10.0,5.0,6.5,2.0,45.827059127706,3.0,19.11,20.79,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,0.05,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,66.66666666666666,,,,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015511,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,D,22,True,,,,,0.0,,,,,,,,,,,10.0,2.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.4}",0,,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
