match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialLost,aerialWon,interceptionWon,errorLeadToAShot,shotOffTarget,shotValueNormalized,challengeLost,errorLeadToAGoal,wasFouled,keyPass,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalOffside,goals,bigChanceCreated,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,bigChanceMissed
14015601,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,18.0,14.0,,,0.0,5.0,5.0,9.0,13.0,3.0,,,90.0,36.0,8.2,10.0,82.97695516996,10.0,28.702346112647,3.0,,"{'original': 8.2, 'alternative': 7.9}",2,-0.09,0.27,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,5,1,77.77777777777779,,,100.0,,,,3.0,7.0,2.0,,,,3.0,,12.798775661871,34.954079722498,2.0,2.0,1.0,,1.0,0.48,,,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,
14015601,home,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,F,91,True,19.0,17.0,1.0,,0.0,6.0,6.0,11.0,13.0,4.0,,,30.0,30.0,6.2,7.0,133.26998821743,16.0,85.612089102056,1.0,,"{'original': 6.2, 'alternative': 6.6}",1,-0.02,0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,89.47368421052632,,,,,2.0,,3.0,,,,,,1.0,,27.549892135276,31.115983288336,1.0,,,,1.0,-0.27,,,,,,2.0,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,36.0,30.0,6.0,4.0,0.0,9.0,9.0,21.0,27.0,3.0,,,30.0,43.0,7.0,7.0,181.70077195544,24.0,102.1442599133,1.0,,"{'original': 7, 'alternative': 7.2}",0,0.29,0.16,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,83.33333333333334,66.66666666666666,100.0,100.0,,1.0,1.0,3.0,3.0,,1.0,1.0,1.0,,,22.354768750914,22.93036632939,2.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,17.0,15.0,,,0.0,7.0,7.0,8.0,10.0,3.0,,,19.0,22.0,6.7,5.0,35.46731607807,5.0,6.1700840852179,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.05,0.07,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,88.23529411764706,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,7.0,5.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,,,,8.0,10.0,6.8,2.0,33.135067332925,3.0,20.26822667424,0.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.02,0.01,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,71.42857142857143,66.66666666666666,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,3.0,2.0,,,1.0,,,2.0,3.0,1.0,,,8.0,5.0,6.6,2.0,25.617155058045,2.0,25.395110687398,1.0,,"{'original': 6.6, 'alternative': 7.1}",0,0.16,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,,,,,,,1.0,1.0,,,,,,,20.016262833523,20.041778389155,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,
14015601,home,7674,FK Napredak Kruševac,1387178,Strahinja Ristić,strahinja-ristic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,1616139,Nikola Skrobonja,nikola-skrobonja,M,44,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,home,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015601,away,36967,FK Spartak Subotica,1893331,Dimitrije Minić,dimitrije-minic,G,23,False,30.0,13.0,24.0,8.0,0.0,5.0,7.0,8.0,23.0,11.0,1.0,1.0,90.0,36.0,6.6,17.0,20.680417379593,3.0,8.5395394222007,0.0,0.1171,"{'original': 6.6, 'alternative': 6.5}",0,0.15,-0.01,0.35,-0.54,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,43.333333333333336,33.33333333333333,,,100.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,
14015601,away,36967,FK Spartak Subotica,315190,Filip Holender,filip-holender,D,7,False,24.0,14.0,3.0,,0.0,6.0,8.0,8.0,16.0,8.0,,,68.0,48.0,6.6,14.0,64.46667010628,9.0,22.110022314106,1.0,,"{'original': 6.6, 'alternative': 7.4}",4,-0.08,0.24,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,58.333333333333336,,,,,,,2.0,1.0,7.0,,1.0,1.0,,1.0,15.262667312525,15.506685138997,1.0,,,,3.0,0.01,,,,4.0,,,,,,,,,,,1.0,
14015601,away,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,30.0,22.0,8.0,1.0,0.0,16.0,17.0,6.0,13.0,4.0,,,90.0,37.0,6.5,9.0,60.063247279051,10.0,19.58267621115,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.17,0.01,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,73.33333333333333,12.5,,,,,,2.0,3.0,5.0,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
14015601,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,27.0,14.0,10.0,1.0,0.0,8.0,12.0,6.0,15.0,1.0,,,80.0,42.0,6.5,13.0,77.45320085272,10.0,62.854056977871,0.0,,"{'original': 6.5, 'alternative': 6.8}",3,0.08,0.04,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,51.85185185185185,10.0,,,,,,6.0,5.0,9.0,,1.0,1.0,,3.0,,,3.0,4.0,,,2.0,-0.23,,,,,,,,,,,,,,,1.0,
14015601,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,14.0,13.0,2.0,1.0,0.0,9.0,9.0,4.0,5.0,1.0,,,90.0,21.0,6.3,1.0,14.592948793819,2.0,-4.3301806847738,0.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.06,0.0,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,92.85714285714286,50.0,,,,,,2.0,1.0,4.0,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
