player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Jonathan Ezequiel Rodriguez', 'firstName': 'Jonathan', 'lastName': 'Ezequiel Rodriguez', 'slug': 'jonathan-ezequiel-rodriguez', 'shortName': 'J. E. Rodriguez', 'position': 'M', 'jerseyNumber': '32', 'userCount': 0, 'gender': 'M', 'id': 2327413, 'fieldTranslations': {'nameTranslation': {'ar': 'جوناثان إزيكييل رودريغيز'}, 'shortNameTranslation': {'ar': 'ج. إ. رودريغيز'}}}",False,goal,regular,free-kick,"{'x': 24, 'y': 14, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 7}",0.05735,0.02994,6554047,88,5253,"{'start': {'x': 14, 'y': 24}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 93}}",3,147,2553,shot,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,miss,,regular,"{'x': 16, 'y': 76, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 59.1, 'z': 56.7}",0.01019,,6554045,81,4802,"{'start': {'x': 76, 'y': 16}, 'end': {'x': 40.9, 'y': 0}, 'goal': {'x': 40.9, 'y': 43.3}}",10,598,2102,shot,
"{'name': 'Momčilo Raspopović', 'slug': 'momcilo-raspopovic', 'shortName': 'M. Raspopović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 41, 'gender': 'M', 'id': 138935, 'fieldTranslations': {'nameTranslation': {'ar': 'مومسيلو راسبوبوفيتش', 'hi': 'मोमचिलो रास्पोपोविक', 'bn': 'মোমচিলো রাস্পোপোভিচ'}, 'shortNameTranslation': {'ar': 'م. راسبوبوفيتش', 'hi': 'एम. रास्पोपोविक', 'bn': 'এম. রাস্পোপোভিচ'}}}",True,save,,corner,"{'x': 7, 'y': 47, 'z': 0}",head,high-right,"{'x': 0, 'y': 46, 'z': 36.6}",0.1377,0.5072,6554044,79,4709,"{'start': {'x': 47, 'y': 7}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 63.4}}",12,691,2009,shot,
"{'name': 'Igor Ivanović', 'firstName': '', 'lastName': '', 'slug': 'igor-ivanovic', 'shortName': 'I. Ivanović', 'position': 'M', 'userCount': 21, 'gender': 'M', 'id': 128761, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور إيفانوفيتش', 'hi': 'इगोर इवानोविक', 'bn': 'ইগর ইভানোভিচ'}, 'shortNameTranslation': {'ar': 'إ. إيفانوفيتش', 'hi': 'आई. इवानोविक', 'bn': 'আই. ইভানোভিচ'}}}",True,save,,regular,"{'x': 11, 'y': 59, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 15.5}",0.4348,0.7027,6554043,78,4678,"{'start': {'x': 59, 'y': 11}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 84.5}}",13,722,1978,shot,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,miss,,regular,"{'x': 33, 'y': 47, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 48.1, 'z': 45.7}",0.004644,,6554042,78,4631,"{'start': {'x': 47, 'y': 33}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 54.3}}",13,769,1931,shot,
"{'name': 'Lazar Mijović', 'slug': 'lazar-mijovic', 'shortName': 'L. Mijović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 36, 'gender': 'M', 'id': 1005616, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميوفيتش', 'hi': 'लज़ार मिजोविक', 'bn': 'লাজার মিজোভিচ'}, 'shortNameTranslation': {'ar': 'ل. ميوفيتش', 'hi': 'एल. मिजोविक', 'bn': 'এল. মিজোভিচ'}}}",True,block,,regular,"{'x': 19, 'y': 65, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.07083,,6554041,75,4473,"{'start': {'x': 65, 'y': 19}, 'block': {'x': 65, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,927,1773,shot,"{'x': 19, 'y': 65, 'z': 0}"
"{'name': 'Stefan Radojevic', 'firstName': 'Stefan Radojevic', 'slug': 'stefan-radojevic', 'shortName': 'S. Radojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 10, 'gender': 'M', 'id': 1536333, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رادويفيتش'}, 'shortNameTranslation': {'ar': 'س. رادويفيتش'}}}",False,save,,regular,"{'x': 12, 'y': 60, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 14.1}",0.1131,0.1106,6554040,70,4152,"{'start': {'x': 60, 'y': 12}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 85.9}}",21,1248,1452,shot,
"{'name': 'Nedeljko Piščević', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-piscevic', 'shortName': 'N. Piščević', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 889060, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلجو بيشيفيتش', 'hi': 'नेडेल्ज्को पिस्चेविक', 'bn': 'নেদেলজকো পিশেভিচ'}, 'shortNameTranslation': {'ar': 'ن. بيشيفيتش', 'hi': 'एन. पिस्चेविक', 'bn': 'এন. পিসচেভিচ'}}}",True,miss,,corner,"{'x': 7, 'y': 58, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 56.9, 'z': 43.3}",0.1254,,6554039,69,4090,"{'start': {'x': 58, 'y': 7}, 'end': {'x': 43.1, 'y': 0}, 'goal': {'x': 43.1, 'y': 56.7}}",22,1310,1390,shot,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,block,,regular,"{'x': 18, 'y': 53, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02263,,6554038,65,3846,"{'start': {'x': 53, 'y': 18}, 'block': {'x': 53, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",26,1554,1146,shot,"{'x': 18, 'y': 53, 'z': 0}"
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",True,save,,regular,"{'x': 22, 'y': 66, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.4, 'z': 21.7}",0.03094,0.01389,6554037,56,3341,"{'start': {'x': 66, 'y': 22}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 78.3}}",35,2059,641,shot,
